,index,date,county,fips_code,inflow,outflow,net_flow
0,0,2020-01-11,       Albany County,36001,2367972.0,1828995.0,538977.0
1,104,2020-01-11,       Allegany County,36003,158845.0,267386.0,-108541.0
2,208,2020-01-11,       Bronx County,36005,8303420.0,9908964.0,-1605544.0
3,312,2020-01-11,       Broome County,36007,1320708.0,1193862.0,126846.0
4,416,2020-01-11,       Cattaraugus County,36009,477472.0,464473.0,12999.0
5,520,2020-01-11,       Cayuga County,36011,373510.0,460414.0,-86904.0
6,624,2020-01-11,       Chautauqua County,36013,693319.0,756736.0,-63417.0
7,728,2020-01-11,       Chemung County,36015,695516.0,576844.0,118672.0
8,832,2020-01-11,       Chenango County,36017,195913.0,270640.0,-74727.0
9,936,2020-01-11,       Clinton County,36019,416081.0,393742.0,22339.0
10,1040,2020-01-11,       Columbia County,36021,291593.0,386036.0,-94443.0
11,1144,2020-01-11,       Cortland County,36023,302839.0,285418.0,17421.0
12,1248,2020-01-11,       Delaware County,36025,155804.0,217912.0,-62108.0
13,1352,2020-01-11,       Dutchess County,36027,1873107.0,2112023.0,-238916.0
14,1456,2020-01-11,       Erie County,36029,6126371.0,5814742.0,311629.0
15,1560,2020-01-11,       Essex County,36031,181495.0,197562.0,-16067.0
16,1664,2020-01-11,       Franklin County,36033,234552.0,264473.0,-29921.0
17,1768,2020-01-11,       Fulton County,36035,236233.0,321644.0,-85411.0
18,1872,2020-01-11,       Genesee County,36037,360040.0,356104.0,3936.0
19,1976,2020-01-11,       Greene County,36039,230115.0,277820.0,-47705.0
20,2080,2020-01-11,       Hamilton County,36041,11297.0,26879.0,-15582.0
21,2184,2020-01-11,       Herkimer County,36043,260210.0,369244.0,-109034.0
22,2288,2020-01-11,       Jefferson County,36045,697430.0,701823.0,-4393.0
23,2392,2020-01-11,       Kings County,36047,15485269.0,17575005.0,-2089736.0
24,2496,2020-01-11,       Lewis County,36049,104203.0,154434.0,-50231.0
25,2600,2020-01-11,       Livingston County,36051,295793.0,379611.0,-83818.0
26,2704,2020-01-11,       Madison County,36053,311951.0,429354.0,-117403.0
27,2808,2020-01-11,       Monroe County,36055,5063263.0,4857884.0,205379.0
28,2912,2020-01-11,       Montgomery County,36057,298175.0,295483.0,2692.0
29,3016,2020-01-11,       Nassau County,36059,11352157.0,11576714.0,-224557.0
30,3120,2020-01-11,       New York County,36061,21274273.0,9030194.0,12244079.0
31,3224,2020-01-11,       Niagara County,36063,1107139.0,1378867.0,-271728.0
32,3328,2020-01-11,       Oneida County,36065,1531840.0,1429903.0,101937.0
33,3432,2020-01-11,       Onondaga County,36067,3401310.0,3107268.0,294042.0
34,3536,2020-01-11,       Ontario County,36069,814578.0,679411.0,135167.0
35,3640,2020-01-11,       Orange County,36071,2711382.0,2751311.0,-39929.0
36,3744,2020-01-11,       Orleans County,36073,127964.0,242120.0,-114156.0
37,3848,2020-01-11,       Oswego County,36075,453545.0,684102.0,-230557.0
38,3952,2020-01-11,       Otsego County,36077,312128.0,334429.0,-22301.0
39,4056,2020-01-11,       Putnam County,36079,540008.0,762819.0,-222811.0
40,4160,2020-01-11,       Queens County,36081,15706090.0,17189333.0,-1483243.0
41,4264,2020-01-11,       Rensselaer County,36083,832782.0,1052023.0,-219241.0
42,4368,2020-01-11,       Richmond County,36085,3200994.0,3962441.0,-761447.0
43,4472,2020-01-11,       Rockland County,36087,2019963.0,2438262.0,-418299.0
44,4680,2020-01-11,       Saratoga County,36091,1380855.0,1560629.0,-179774.0
45,4784,2020-01-11,       Schenectady County,36093,866492.0,929213.0,-62721.0
