,date,county,census_fips_code,retail_and_recreation_percent_change,grocery_and_pharmacy_percent_change,parks_percent_change,transit_stations_percent_change,workplaces_percent_change,residential_percent_change
0,2020-02-15,Albany County,36001.0,8.0,-4.0,45.0,4.0,0.0,0.0
61,2020-02-22,Albany County,36001.0,3.857142857142857,-3.5714285714285716,-1.2857142857142858,-1.0,-9.857142857142858,2.4285714285714284
122,2020-02-29,Albany County,36001.0,6.428571428571429,1.8571428571428572,28.428571428571427,5.285714285714286,3.2857142857142856,-0.5714285714285714
183,2020-03-07,Albany County,36001.0,8.428571428571429,12.285714285714286,29.0,5.571428571428571,4.0,-0.5714285714285714
244,2020-03-14,Albany County,36001.0,0.2857142857142857,19.571428571428573,54.0,-1.5714285714285714,-0.8571428571428571,1.4285714285714286
305,2020-03-21,Albany County,36001.0,-33.0,9.857142857142858,32.42857142857143,-30.857142857142858,-31.142857142857142,13.285714285714286
366,2020-03-28,Albany County,36001.0,-55.285714285714285,-18.857142857142858,11.142857142857142,-54.714285714285715,-49.142857142857146,20.285714285714285
427,2020-04-04,Albany County,36001.0,-53.142857142857146,-17.0,8.714285714285714,-58.142857142857146,-51.42857142857143,20.857142857142858
488,2020-04-11,Albany County,36001.0,-60.0,11.714285714285714,18.857142857142858,-56.714285714285715,-52.57142857142857,21.142857142857142
549,2020-04-18,Albany County,36001.0,-66.28571428571429,-22.428571428571427,-0.8571428571428571,-59.57142857142857,-52.142857142857146,21.285714285714285
610,2020-04-25,Albany County,36001.0,-62.42857142857143,-17.0,-13.714285714285714,-57.57142857142857,-50.285714285714285,20.142857142857142
671,2020-05-02,Albany County,36001.0,-59.857142857142854,-14.428571428571429,-11.285714285714286,-55.57142857142857,-49.57142857142857,19.0
732,2020-05-09,Albany County,36001.0,-55.285714285714285,-9.0,22.285714285714285,-52.714285714285715,-47.57142857142857,18.142857142857142
793,2020-05-16,Albany County,36001.0,-54.285714285714285,-13.142857142857142,23.428571428571427,-52.0,-45.57142857142857,17.285714285714285
854,2020-05-23,Albany County,36001.0,-47.42857142857143,-9.0,54.57142857142857,-49.0,-44.285714285714285,15.714285714285714
915,2020-05-30,Albany County,36001.0,-48.285714285714285,-10.571428571428571,44.57142857142857,-48.857142857142854,-44.57142857142857,15.428571428571429
976,2020-06-06,Albany County,36001.0,-45.142857142857146,-6.857142857142857,61.42857142857143,-45.142857142857146,-38.285714285714285,14.0
1037,2020-06-13,Albany County,36001.0,-38.857142857142854,-7.857142857142857,79.42857142857143,-36.857142857142854,-36.0,12.428571428571429
1098,2020-06-20,Albany County,36001.0,-32.857142857142854,-4.857142857142857,68.28571428571429,-27.142857142857142,-35.714285714285715,10.857142857142858
1159,2020-06-27,Albany County,36001.0,-32.57142857142857,-5.714285714285714,69.28571428571429,-27.428571428571427,-35.285714285714285,10.142857142857142
1220,2020-07-04,Albany County,36001.0,-33.142857142857146,-0.14285714285714285,39.42857142857143,-36.142857142857146,-39.0,11.285714285714286
1281,2020-07-11,Albany County,36001.0,-32.142857142857146,-2.0,78.0,-37.0,-35.857142857142854,10.285714285714286
1342,2020-07-18,Albany County,36001.0,-29.142857142857142,-1.2857142857142858,89.42857142857143,-37.0,-34.57142857142857,9.714285714285714
1403,2020-07-25,Albany County,36001.0,-29.571428571428573,-4.285714285714286,93.28571428571429,-38.142857142857146,-35.0,9.428571428571429
1464,2020-08-01,Albany County,36001.0,-28.142857142857142,-3.857142857142857,94.28571428571429,-34.42857142857143,-35.142857142857146,9.0
1525,2020-08-08,Albany County,36001.0,-27.714285714285715,-4.285714285714286,61.42857142857143,-34.42857142857143,-35.714285714285715,9.714285714285714
1586,2020-08-15,Albany County,36001.0,-27.285714285714285,-4.0,72.57142857142857,-34.42857142857143,-35.285714285714285,8.857142857142858
1647,2020-08-22,Albany County,36001.0,-26.0,-3.4285714285714284,86.0,-35.42857142857143,-35.285714285714285,8.714285714285714
1708,2020-08-29,Albany County,36001.0,-27.0,-5.428571428571429,86.0,-38.714285714285715,-35.42857142857143,9.285714285714286
1764,2020-09-05,Albany County,36001.0,-23.571428571428573,-2.5714285714285716,86.0,-32.57142857142857,-35.42857142857143,8.0
1820,2020-09-12,Albany County,36001.0,-26.714285714285715,-4.285714285714286,87.42857142857143,-35.285714285714285,-40.0,8.571428571428571
1881,2020-09-19,Albany County,36001.0,-25.571428571428573,-4.857142857142857,90.14285714285714,-38.142857142857146,-33.42857142857143,8.428571428571429
1942,2020-09-26,Albany County,36001.0,-24.428571428571427,-4.857142857142857,86.57142857142857,-38.285714285714285,-33.0,8.285714285714286
2003,2020-10-03,Albany County,36001.0,-25.571428571428573,-2.857142857142857,90.28571428571429,-39.285714285714285,-32.714285714285715,8.857142857142858
2064,2020-10-10,Albany County,36001.0,-24.428571428571427,-1.5714285714285714,68.14285714285714,-37.0,-33.0,6.571428571428571
2125,2020-10-17,Albany County,36001.0,-26.0,-4.142857142857143,84.28571428571429,-39.857142857142854,-34.0,9.714285714285714
2186,2020-10-24,Albany County,36001.0,-26.714285714285715,-5.0,81.85714285714286,-38.285714285714285,-30.857142857142858,9.428571428571429
2247,2020-10-31,Albany County,36001.0,-27.0,-3.857142857142857,40.857142857142854,-42.0,-30.857142857142858,10.142857142857142
2308,2020-11-07,Albany County,36001.0,-26.714285714285715,-5.428571428571429,56.0,-43.285714285714285,-31.428571428571427,10.428571428571429
2369,2020-11-14,Albany County,36001.0,-25.857142857142858,-3.2857142857142856,52.42857142857143,-45.42857142857143,-33.285714285714285,11.285714285714286
2430,2020-11-21,Albany County,36001.0,-28.714285714285715,-3.0,12.857142857142858,-44.142857142857146,-32.142857142857146,11.857142857142858
2491,2020-11-28,Albany County,36001.0,-33.57142857142857,-4.857142857142857,11.142857142857142,-49.57142857142857,-44.57142857142857,14.285714285714286
2552,2020-12-05,Albany County,36001.0,-29.142857142857142,-7.285714285714286,14.857142857142858,-46.285714285714285,-33.42857142857143,12.428571428571429
2613,2020-12-12,Albany County,36001.0,-28.714285714285715,-5.142857142857143,16.857142857142858,-50.0,-33.857142857142854,12.857142857142858
2674,2020-12-19,Albany County,36001.0,-34.142857142857146,-9.714285714285714,-2.5714285714285716,-51.857142857142854,-40.857142857142854,15.714285714285714
2735,2020-12-26,Albany County,36001.0,-30.428571428571427,-0.7142857142857143,-4.428571428571429,-51.42857142857143,-45.857142857142854,15.0
2796,2021-01-02,Albany County,36001.0,-32.57142857142857,-10.0,0.0,-54.0,-46.714285714285715,16.571428571428573
2857,2021-01-09,Albany County,36001.0,-35.857142857142854,-12.428571428571429,-12.0,-53.57142857142857,-36.57142857142857,14.571428571428571
2918,2021-01-16,Albany County,36001.0,-37.285714285714285,-13.142857142857142,-11.571428571428571,-53.714285714285715,-37.0,14.714285714285714
2979,2021-01-23,Albany County,36001.0,-38.42857142857143,-14.571428571428571,-10.142857142857142,-55.285714285714285,-38.857142857142854,14.571428571428571
3040,2021-01-30,Albany County,36001.0,-41.0,-16.428571428571427,-21.857142857142858,-55.714285714285715,-36.142857142857146,14.571428571428571
3101,2021-02-06,Albany County,36001.0,-38.714285714285715,-11.857142857142858,-13.714285714285714,-54.142857142857146,-36.857142857142854,14.857142857142858
3162,2021-02-13,Albany County,36001.0,-36.42857142857143,-7.857142857142857,-16.428571428571427,-51.57142857142857,-34.285714285714285,13.0
3223,2021-02-20,Albany County,36001.0,-35.42857142857143,-10.714285714285714,-12.142857142857142,-51.0,-41.0,14.714285714285714
3284,2021-02-27,Albany County,36001.0,-32.57142857142857,-8.428571428571429,-1.7142857142857142,-46.714285714285715,-34.285714285714285,12.142857142857142
3345,2021-03-06,Albany County,36001.0,-29.857142857142858,-7.142857142857143,-4.714285714285714,-46.0,-34.57142857142857,11.571428571428571
3406,2021-03-13,Albany County,36001.0,-26.285714285714285,-3.5714285714285716,43.57142857142857,-41.857142857142854,-33.857142857142854,10.571428571428571
3467,2021-03-20,Albany County,36001.0,-24.142857142857142,-3.4285714285714284,25.428571428571427,-41.714285714285715,-33.57142857142857,10.857142857142858
3528,2021-03-27,Albany County,36001.0,-21.857142857142858,-2.7142857142857144,91.0,-37.714285714285715,-33.285714285714285,9.714285714285714
3589,2021-04-03,Albany County,36001.0,-21.142857142857142,3.4285714285714284,21.0,-38.285714285714285,-34.57142857142857,10.571428571428571
3650,2021-04-10,Albany County,36001.0,-23.714285714285715,-4.571428571428571,81.28571428571429,-35.42857142857143,-40.0,8.857142857142858
3711,2021-04-17,Albany County,36001.0,-22.142857142857142,-2.7142857142857144,49.0,-35.42857142857143,-33.57142857142857,9.714285714285714
