County,Cases,pop_est,pop_04,pop_517,pop_1849,pop_5064,pop_65plus
ALBANY,928,314368,15098,42741,140670,60896,54963
ALLEGANY,287,46373,2414,7033,18587,9255,9084
BRONX,4843,1466438,101318,263068,642814,263884,195354
BROOME,1186,198199,9943,28617,81199,40147,38293
CATTARAUGUS,242,76907,4293,12888,27958,16591,15177
CAYUGA,370,76095,3691,11148,28906,17139,15211
CHAUTAUQUA,419,127424,6739,19314,47638,27397,26336
CHEMUNG,652,83882,4497,13337,32086,17684,16278
CHENANGO,314,47073,2406,7339,16573,10880,9875
CLINTON,379,79715,3752,10720,34189,16899,14155
COLUMBIA,68,61550,2463,7871,21008,14892,15316
CORTLAND,491,46723,2325,6683,20932,8944,7839
DELAWARE,173,44186,1764,5481,15359,10302,11280
DUTCHESS,534,295742,13379,41819,119530,67262,53752
ERIE,2127,953254,51032,143007,384967,199578,174670
ESSEX,140,37336,1486,4474,13344,8915,9117
FRANKLIN,329,47527,2254,7004,20022,9979,8268
FULTON,293,53160,2626,8143,19714,11973,10704
GENESEE,265,58258,2997,8982,21830,13258,11191
GREENE,62,47890,2071,5754,17991,11203,10871
HAMILTON,16,5078,138,530,1369,1386,1655
HERKIMER,323,60007,2979,9385,21679,13265,12699
JEFFERSON,1103,116134,8646,19424,52144,19238,16682
KINGS,4716,2727393,190063,432968,1251776,459875,392711
LEWIS,176,26538,1634,4470,9481,5871,5082
LIVINGSTON,256,61699,2596,8332,25805,13418,11548
MADISON,257,67890,3249,9698,26577,15376,12990
MONROE,2217,758554,40480,116878,311219,154536,135441
MONTGOMERY,348,49433,3079,8363,18579,10037,9375
NASSAU,2021,1393978,75124,227699,538184,301464,251507
NEW YORK,2603,1687834,77488,166614,860621,296261,286850
NIAGARA,364,212252,10877,31678,79672,48252,41773
ONEIDA,1393,231695,12688,37047,89956,47952,44052
ONONDAGA,2112,475653,26667,74805,192317,98175,83689
ONTARIO,404,112475,5367,16938,41683,25003,23484
ORANGE,970,401322,26821,76770,161146,79382,57203
ORLEANS,127,40236,1900,5741,15589,9427,7579
OSWEGO,545,117351,6305,18427,46068,26532,20019
OTSEGO,262,58351,2402,6816,24222,12310,12601
PUTNAM,250,97660,4403,14727,37124,23671,17735
QUEENS,4929,2395791,141686,342063,1031083,486020,394939
RENSSELAER,419,160923,8111,23197,67297,33844,28474
RICHMOND,705,495522,27742,80879,200245,104303,82353
ROCKLAND,614,338121,28238,70229,125246,61610,52798
SARATOGA,1387,235689,11187,35179,91829,52840,44654
SCHENECTADY,1151,157861,9283,25100,63881,32079,27518
SCHOHARIE,109,29720,1300,3968,10929,6736,6787
SCHUYLER,142,17857,863,2521,6216,4315,3942
SENECA,109,33715,1754,5085,13014,7180,6682
ST LAWRENCE,1344,108311,5391,16511,45000,22004,19405
STEUBEN,529,93363,5105,15101,33955,20600,18602
SUFFOLK,2193,1524099,80313,239630,594302,346344,263510
SULLIVAN,231,78643,4638,12255,29384,17336,15030
TIOGA,365,48355,2283,7755,17039,11186,10092
TOMPKINS,644,105404,3849,11704,56586,17161,16104
ULSTER,249,181687,7874,24058,71403,41271,37081
WARREN,121,65638,2850,9078,23164,15421,15125
WASHINGTON,129,61143,2789,8624,23267,14179,12284
WAYNE,372,91103,4952,14515,32514,21345,17777
WESTCHESTER,2150,1003245,53804,165110,397409,212909,174013
WYOMING,214,40401,1862,5706,16157,9117,7559
YATES,96,24709,1580,3988,8900,4993,5248
