County,Cases,pop_est,pop_04,pop_517,pop_1849,pop_5064,pop_65plus
ALBANY,849,313743,14669,42299,140789,59856,56130
ALLEGANY,213,46106,2366,6924,18477,9109,9230
BRONX,8777,1424948,95171,254493,616553,259633,199098
BROOME,1316,197240,9745,28465,81072,39151,38807
CATTARAUGUS,322,76426,4155,12684,27805,16297,15485
CAYUGA,209,75880,3678,11038,28713,16830,15621
CHAUTAUQUA,378,126807,6544,19225,47247,26981,26810
CHEMUNG,652,83045,4355,13147,31826,17251,16466
CHENANGO,207,46537,2351,7279,16256,10605,10046
CLINTON,571,79596,3666,10712,34104,16593,14521
COLUMBIA,124,61778,2402,7696,21212,14757,15711
CORTLAND,417,46311,2234,6508,20780,8866,7923
DELAWARE,329,44378,1748,5362,15554,10191,11523
DUTCHESS,2116,297112,13384,41212,120816,66695,55005
ERIE,1778,950683,49840,141996,384413,196258,178176
ESSEX,667,37268,1498,4389,13345,8773,9263
FRANKLIN,311,47456,2216,6898,20076,9843,8423
FULTON,307,53116,2540,8116,19677,11924,10859
GENESEE,187,57853,2909,8852,21641,13105,11346
GREENE,85,48499,2068,5659,18491,11126,11155
HAMILTON,22,5119,142,534,1381,1367,1695
HERKIMER,560,59937,2961,9270,21704,13115,12887
JEFFERSON,1381,116295,8474,19536,52303,19020,16962
KINGS,14108,2641052,177211,422535,1189105,452119,400082
LEWIS,271,26573,1578,4515,9476,5794,5210
LIVINGSTON,582,61578,2590,8238,25766,13189,11795
MADISON,577,67658,3212,9478,26407,15159,13402
MONROE,5636,755160,39516,115334,310069,152241,138000
MONTGOMERY,275,49558,3063,8445,18674,9904,9472
NASSAU,15840,1390907,73441,225699,537961,297968,255838
NEW YORK,5351,1576876,70153,161541,770351,285915,288916
NIAGARA,506,211653,10701,31413,79519,47275,42745
ONEIDA,2041,230274,12538,36560,89304,47247,44625
ONONDAGA,2962,473236,25920,74015,191318,96466,85517
ONTARIO,1210,112508,5178,16727,41764,24704,24135
ORANGE,4810,404525,26794,76966,163057,79144,58564
ORLEANS,108,40191,1902,5664,15617,9227,7781
OSWEGO,697,117387,6230,18327,45949,26315,20566
OTSEGO,475,58123,2376,6724,24132,12061,12830
PUTNAM,1606,97936,4404,14440,37471,23408,18213
QUEENS,10802,2331143,132236,333273,982678,478326,404630
RENSSELAER,516,160232,7928,22846,67048,33358,29052
RICHMOND,3004,493494,26958,80368,198578,103721,83869
ROCKLAND,6172,339227,28347,70780,126115,60823,53162
SARATOGA,1349,237359,10880,34939,92400,53214,45926
SCHENECTADY,500,158089,9151,25050,64284,31647,27957
SCHOHARIE,122,29863,1301,3946,11003,6689,6924
SCHUYLER,97,17752,828,2537,6113,4273,4001
SENECA,183,33688,1768,5003,13050,7016,6851
ST LAWRENCE,1131,108051,5239,16385,44868,21909,19650
STEUBEN,550,92948,5080,14967,33794,20257,18850
SUFFOLK,15865,1526344,79113,237103,596025,345011,269092
SULLIVAN,626,79806,4630,12437,30089,17331,15319
TIOGA,368,47980,2270,7541,16976,10881,10312
TOMPKINS,634,105162,3734,11393,56547,16934,16554
ULSTER,662,182951,7872,23644,72532,40938,37965
WARREN,1124,65618,2800,8912,23140,15360,15406
WASHINGTON,699,60956,2695,8523,23246,13924,12568
WAYNE,717,90923,4894,14401,32324,21086,18218
WESTCHESTER,11247,997895,52064,161774,395574,210975,177508
WYOMING,114,40491,1817,5592,16234,9077,7771
YATES,165,24613,1534,3932,8869,4975,5303
