,Week Ending Date,County,Season,FIPS,Count
0,2020-02-15,DELAWARE,2019-2020,36025,48
1,2020-02-15,STEUBEN,2019-2020,36101,151
2,2020-02-15,SCHOHARIE,2019-2020,36095,24
3,2020-02-15,ST LAWRENCE,2019-2020,36089,307
4,2020-02-15,CORTLAND,2019-2020,36023,129
5,2020-02-15,COLUMBIA,2019-2020,36021,17
6,2020-02-15,WAYNE,2019-2020,36117,92
7,2020-02-15,MONROE,2019-2020,36055,598
8,2020-02-15,ONEIDA,2019-2020,36065,340
9,2020-02-15,ULSTER,2019-2020,36111,66
10,2020-02-15,ESSEX,2019-2020,36031,19
11,2020-02-15,NASSAU,2019-2020,36059,538
12,2020-02-15,RICHMOND,2019-2020,36085,186
13,2020-02-15,HAMILTON,2019-2020,36041,4
14,2020-02-15,WYOMING,2019-2020,36121,64
15,2020-02-15,ALLEGANY,2019-2020,36003,54
16,2020-02-15,ERIE,2019-2020,36029,484
17,2020-02-15,WASHINGTON,2019-2020,36115,26
18,2020-02-15,KINGS,2019-2020,36047,1556
19,2020-02-15,GREENE,2019-2020,36039,14
20,2020-02-15,CATTARAUGUS,2019-2020,36009,70
21,2020-02-15,CAYUGA,2019-2020,36011,54
22,2020-02-15,FULTON,2019-2020,36035,66
23,2020-02-15,ROCKLAND,2019-2020,36087,146
24,2020-02-15,ONONDAGA,2019-2020,36067,414
25,2020-02-15,DUTCHESS,2019-2020,36027,130
26,2020-02-15,LEWIS,2019-2020,36049,28
27,2020-02-15,CLINTON,2019-2020,36019,57
28,2020-02-15,GENESEE,2019-2020,36037,93
29,2020-02-15,TIOGA,2019-2020,36107,104
30,2020-02-15,ORLEANS,2019-2020,36073,38
31,2020-02-15,SCHENECTADY,2019-2020,36093,142
32,2020-02-15,OTSEGO,2019-2020,36077,61
33,2020-02-15,WARREN,2019-2020,36113,20
34,2020-02-15,CHEMUNG,2019-2020,36015,151
35,2020-02-15,BRONX,2019-2020,36005,1532
36,2020-02-15,PUTNAM,2019-2020,36079,36
37,2020-02-15,TOMPKINS,2019-2020,36109,227
38,2020-02-15,CHAUTAUQUA,2019-2020,36013,93
39,2020-02-15,MADISON,2019-2020,36053,53
40,2020-02-15,SULLIVAN,2019-2020,36105,47
41,2020-02-15,ALBANY,2019-2020,36001,198
42,2020-02-15,NIAGARA,2019-2020,36063,85
43,2020-02-15,JEFFERSON,2019-2020,36045,280
44,2020-02-15,ONTARIO,2019-2020,36069,119
45,2020-02-15,OSWEGO,2019-2020,36075,104
46,2020-02-15,FRANKLIN,2019-2020,36033,73
47,2020-02-15,ORANGE,2019-2020,36071,237
48,2020-02-15,BROOME,2019-2020,36007,257
49,2020-02-15,CHENANGO,2019-2020,36017,75
50,2020-02-15,SENECA,2019-2020,36099,17
51,2020-02-15,LIVINGSTON,2019-2020,36051,94
52,2020-02-15,YATES,2019-2020,36123,19
53,2020-02-15,NEW YORK,2019-2020,36061,799
54,2020-02-15,SUFFOLK,2019-2020,36103,628
55,2020-02-15,SARATOGA,2019-2020,36091,332
