Week Ending Date,County,Count
2020-02-15,DELAWARE,48
2020-02-15,STEUBEN,151
2020-02-15,SCHOHARIE,24
2020-02-15,ST LAWRENCE,307
2020-02-15,CORTLAND,129
2020-02-15,COLUMBIA,17
2020-02-15,WAYNE,92
2020-02-15,MONROE,598
2020-02-15,ONEIDA,340
2020-02-15,ULSTER,66
2020-02-15,ESSEX,19
2020-02-15,NASSAU,538
2020-02-15,RICHMOND,186
2020-02-15,HAMILTON,4
2020-02-15,WYOMING,64
2020-02-15,ALLEGANY,54
2020-02-15,ERIE,484
2020-02-15,WASHINGTON,26
2020-02-15,KINGS,1556
2020-02-15,GREENE,14
2020-02-15,CATTARAUGUS,70
2020-02-15,CAYUGA,54
2020-02-15,FULTON,66
2020-02-15,ROCKLAND,146
2020-02-15,ONONDAGA,414
2020-02-15,DUTCHESS,130
2020-02-15,LEWIS,28
2020-02-15,CLINTON,57
2020-02-15,GENESEE,93
2020-02-15,TIOGA,104
2020-02-15,ORLEANS,38
2020-02-15,SCHENECTADY,142
2020-02-15,OTSEGO,61
2020-02-15,WARREN,20
2020-02-15,CHEMUNG,151
2020-02-15,BRONX,1532
2020-02-15,PUTNAM,36
2020-02-15,TOMPKINS,227
2020-02-15,CHAUTAUQUA,93
2020-02-15,MADISON,53
2020-02-15,SULLIVAN,47
2020-02-15,ALBANY,198
2020-02-15,NIAGARA,85
2020-02-15,JEFFERSON,280
2020-02-15,ONTARIO,119
2020-02-15,OSWEGO,104
2020-02-15,FRANKLIN,73
2020-02-15,ORANGE,237
2020-02-15,BROOME,257
2020-02-15,CHENANGO,75
2020-02-15,SENECA,17
2020-02-15,LIVINGSTON,94
2020-02-15,YATES,19
2020-02-15,NEW YORK,799
2020-02-15,SUFFOLK,628
2020-02-15,SARATOGA,332
2020-02-15,WESTCHESTER,636
2020-02-15,HERKIMER,70
2020-02-15,SCHUYLER,42
2020-02-15,RENSSELAER,90
2020-02-15,QUEENS,1746
2020-02-15,MONTGOMERY,83
2020-02-22,MADISON,49
2020-02-22,TOMPKINS,138
2020-02-22,COLUMBIA,8
2020-02-22,JEFFERSON,255
2020-02-22,PUTNAM,30
2020-02-22,SULLIVAN,45
2020-02-22,BRONX,1108
2020-02-22,YATES,8
2020-02-22,ERIE,395
2020-02-22,CHAUTAUQUA,73
2020-02-22,SENECA,18
2020-02-22,HERKIMER,56
2020-02-22,CLINTON,62
2020-02-22,WESTCHESTER,431
2020-02-22,NASSAU,327
2020-02-22,DUTCHESS,88
2020-02-22,LEWIS,40
2020-02-22,RENSSELAER,110
2020-02-22,ORLEANS,23
2020-02-22,ROCKLAND,113
2020-02-22,ONONDAGA,500
2020-02-22,CHEMUNG,102
2020-02-22,DELAWARE,30
2020-02-22,ONTARIO,63
2020-02-22,LIVINGSTON,43
2020-02-22,TIOGA,65
2020-02-22,ORANGE,223
2020-02-22,OTSEGO,36
2020-02-22,OSWEGO,98
2020-02-22,SUFFOLK,375
2020-02-22,SCHENECTADY,305
2020-02-22,GENESEE,67
2020-02-22,WARREN,22
2020-02-22,ALBANY,246
2020-02-22,NIAGARA,50
2020-02-22,ULSTER,51
2020-02-22,ESSEX,25
2020-02-22,FULTON,49
2020-02-22,NEW YORK,495
2020-02-22,BROOME,199
2020-02-22,RICHMOND,111
2020-02-22,HAMILTON,3
2020-02-22,WYOMING,62
2020-02-22,CHENANGO,70
2020-02-22,ALLEGANY,50
2020-02-22,ONEIDA,355
2020-02-22,WASHINGTON,28
2020-02-22,SCHUYLER,20
2020-02-22,KINGS,863
2020-02-22,CATTARAUGUS,47
2020-02-22,MONROE,460
2020-02-22,QUEENS,967
2020-02-22,WAYNE,67
2020-02-22,SCHOHARIE,20
2020-02-22,FRANKLIN,47
2020-02-22,SARATOGA,284
2020-02-22,GREENE,20
2020-02-22,STEUBEN,85
2020-02-22,MONTGOMERY,61
2020-02-22,CORTLAND,75
2020-02-22,CAYUGA,75
2020-02-22,ST LAWRENCE,327
2020-02-29,JEFFERSON,202
2020-02-29,COLUMBIA,5
2020-02-29,MADISON,45
2020-02-29,ONEIDA,178
2020-02-29,RENSSELAER,103
2020-02-29,SCHUYLER,21
2020-02-29,NIAGARA,51
2020-02-29,ALLEGANY,41
2020-02-29,ONONDAGA,414
2020-02-29,STEUBEN,95
2020-02-29,ULSTER,36
2020-02-29,QUEENS,756
2020-02-29,WYOMING,31
2020-02-29,LEWIS,29
2020-02-29,ALBANY,139
2020-02-29,TIOGA,75
2020-02-29,LIVINGSTON,30
2020-02-29,CHAUTAUQUA,41
2020-02-29,BRONX,740
2020-02-29,MONTGOMERY,40
2020-02-29,OTSEGO,29
2020-02-29,CATTARAUGUS,38
2020-02-29,CHEMUNG,123
2020-02-29,WAYNE,51
2020-02-29,OSWEGO,89
2020-02-29,DUTCHESS,61
2020-02-29,NEW YORK,406
2020-02-29,ERIE,312
2020-02-29,FRANKLIN,51
2020-02-29,GREENE,13
2020-02-29,SARATOGA,364
