SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,36,1,New York,Albany County,2,314368,152914,161454,15098,7719,7379,29255,15101,14154,13486,6739,6747,44748,21723,23025,263466,126772,136694,256529,123355,133174,133817,66156,67661,78849,39372,39477,77969,38254,39715,54963,24006,30957,15098,7719,7379,16260,8429,7831,16261,8350,7911,22751,11047,11704,32217,15737,16480,21597,10816,10781,19758,9895,9863,19775,9835,9940,17719,8826,8893,17073,8406,8667,19144,9470,9674,21297,10391,10906,20455,9987,10468,17849,8467,9382,14802,6824,7978,9261,4031,5230,6004,2434,3570,7047,2250,4797,38.3,37.2,39.4
50,36,1,New York,Albany County,3,313743,152519,161224,14669,7464,7205,28998,14902,14096,13301,6728,6573,44403,21468,22935,263551,126761,136790,256775,123425,133350,134294,66377,67917,79833,39894,39939,76409,37413,38996,56130,24650,31480,14669,7464,7205,16150,8325,7825,16091,8290,7801,22390,10892,11498,32071,15591,16480,21618,10865,10753,20122,9994,10128,19891,10025,9866,18202,9010,9192,16553,8098,8455,18869,9409,9460,20606,10006,10600,20381,9900,10481,18089,8608,9481,15483,7151,8332,9509,4151,5358,6129,2491,3638,6920,2249,4671,38.4,37.4,39.5
50,36,3,New York,Allegany County,2,46373,23667,22706,2414,1230,1184,4718,2445,2273,2315,1246,1069,6695,3604,3091,38115,19401,18714,36926,18746,18180,17926,9361,8565,9474,4800,4674,11673,5914,5759,9084,4428,4656,2414,1230,1184,2535,1370,1165,2741,1364,1377,4406,2422,1984,4046,2139,1907,2260,1169,1091,2389,1215,1174,2438,1209,1229,2387,1207,1180,2418,1215,1203,2698,1348,1350,3185,1614,1571,3372,1737,1635,3031,1536,1495,2492,1270,1222,1568,780,788,1023,471,552,970,371,599,39.9,38.9,41
50,36,3,New York,Allegany County,3,46106,23555,22551,2366,1216,1150,4657,2402,2255,2267,1182,1085,6678,3633,3045,37986,19376,18610,36816,18755,18061,17884,9345,8539,9483,4808,4675,11425,5786,5639,9230,4528,4702,2366,1216,1150,2516,1346,1170,2685,1334,1351,4353,2379,1974,4048,2158,1890,2244,1168,1076,2317,1170,1147,2500,1247,1253,2422,1223,1199,2316,1173,1143,2688,1352,1336,3052,1540,1512,3369,1721,1648,3073,1567,1506,2596,1309,1287,1592,819,773,1023,463,560,946,370,576,40,39,41.1
50,36,5,New York,Bronx County,2,1466438,696255,770183,101318,51658,49660,184163,93912,90251,78905,40387,38518,139271,70372,68899,1141596,530509,611087,1102052,510298,591754,615692,300447,315245,417208,199783,217425,350219,161493,188726,195354,78650,116704,101318,51658,49660,102987,52405,50582,100868,51602,49266,98572,50753,47819,99912,49911,50001,116045,56384,59661,112795,54841,57954,98321,46895,51426,90047,41663,48384,86335,40108,46227,91648,42742,48906,92004,42240,49764,80232,36403,43829,62644,27995,34649,48973,20712,28261,34534,13520,21014,23776,8788,14988,25427,7635,17792,35,33.1,36.9
50,36,5,New York,Bronx County,3,1424948,675715,749233,95171,48488,46683,177397,90425,86972,77096,39528,37568,134009,67993,66016,1113752,517005,596747,1075284,497274,578010,591911,289178,302733,400219,191565,208654,341958,157295,184663,199098,80421,118677,95171,48488,46683,98337,49942,48395,98473,50391,48082,95583,49352,46231,96109,48261,47848,106771,51793,54978,109626,53279,56347,95649,45649,50000,88173,40844,47329,82325,37953,44372,88529,41151,47378,90703,41766,48937,80401,36425,43976,63927,28609,35318,50320,21463,28857,35039,13662,21377,24164,8888,15276,25648,7799,17849,35.6,33.6,37.6
50,36,7,New York,Broome County,2,198199,98365,99834,9943,5162,4781,19552,10119,9433,9065,4724,4341,27931,14461,13470,164198,80735,83463,159639,78360,81279,78179,39980,38199,43424,21957,21467,49991,24833,25158,38293,17109,21184,9943,5162,4781,10741,5604,5137,11052,5677,5375,15205,7990,7215,19550,10033,9517,11749,6000,5749,10514,5363,5151,11068,5536,5532,10093,5058,5035,9844,4916,4928,11741,5861,5880,14102,6931,7171,14304,7125,7179,11837,5810,6027,9616,4557,5059,6637,2956,3681,4730,1949,2781,5473,1837,3636,39.7,38.1,41.4
50,36,7,New York,Broome County,3,197240,97705,99535,9745,4954,4791,19434,10076,9358,9031,4683,4348,27826,14378,13448,163562,80357,83205,159030,77992,81038,78394,40000,38394,43788,22092,21696,48609,24095,24514,38807,17427,21380,9745,4954,4791,10749,5612,5137,10936,5617,5319,14999,7860,7139,19607,10048,9559,11780,5994,5786,10615,5375,5240,11003,5507,5496,10390,5216,5174,9458,4696,4762,11522,5768,5754,13298,6506,6792,14331,7125,7206,12129,5997,6132,9961,4715,5246,6704,2984,3720,4671,1952,2719,5342,1779,3563,39.6,38.1,41.2
50,36,9,New York,Cattaraugus County,2,76907,38547,38360,4293,2259,2034,8747,4446,4301,4141,2109,2032,6787,3497,3290,61803,30790,31013,59726,29733,29993,26709,13590,13119,16820,8509,8311,20942,10534,10408,15177,7193,7984,4293,2259,2034,4679,2399,2280,5107,2572,2535,5262,2682,2580,4627,2399,2228,4071,2059,2012,4175,2107,2068,4339,2199,2140,4235,2144,2091,4351,2171,2180,4916,2490,2426,5758,2916,2842,5917,2957,2960,5183,2599,2584,4056,2015,2041,2601,1241,1360,1707,764,943,1630,574,1056,42.2,41.3,43.1
50,36,9,New York,Cattaraugus County,3,76426,38353,38073,4155,2192,1963,8547,4380,4167,4137,2124,2013,6823,3523,3300,61625,30694,30931,59587,29657,29930,26679,13605,13074,16791,8513,8278,20488,10246,10242,15485,7375,8110,4155,2192,1963,4628,2396,2232,4991,2539,2452,5206,2643,2563,4682,2449,2233,3968,2015,1953,4183,2115,2068,4342,2224,2118,4298,2159,2139,4191,2081,2110,4849,2445,2404,5577,2811,2766,5871,2909,2962,5273,2649,2624,4254,2105,2149,2636,1269,1367,1726,769,957,1596,583,1013,42.3,41.4,43.4
50,36,11,New York,Cayuga County,2,76095,39287,36808,3691,1911,1780,7540,3911,3629,3608,1882,1726,6060,3199,2861,63065,32538,30527,61256,31583,29673,27201,14683,12518,18425,10061,8364,21560,11088,10472,15211,7235,7976,3691,1911,1780,3941,2025,1916,4491,2345,2146,4382,2275,2107,4394,2347,2047,4618,2580,2038,4666,2587,2079,4779,2551,2228,4362,2343,2019,4421,2387,2034,5201,2718,2483,5990,3075,2915,5948,2908,3040,5092,2609,2483,4067,2019,2048,2576,1216,1360,1682,753,929,1794,638,1156,43.5,42.1,45.1
50,36,11,New York,Cayuga County,3,75880,39217,36663,3678,1896,1782,7428,3853,3575,3610,1868,1742,5937,3132,2805,62967,32537,30430,61164,31600,29564,27237,14742,12495,18593,10205,8388,21013,10827,10186,15621,7436,8185,3678,1896,1782,3889,2013,1876,4442,2303,2139,4305,2227,2078,4339,2310,2029,4597,2585,2012,4700,2593,2107,4814,2583,2231,4482,2444,2038,4183,2263,1920,5111,2651,2460,5768,2982,2786,5951,2931,3020,5242,2652,2590,4270,2132,2138,2650,1265,1385,1698,752,946,1761,635,1126,43.5,42.1,45.1
50,36,13,New York,Chautauqua County,2,127424,63378,64046,6739,3400,3339,13120,6657,6463,6194,3224,2970,11952,6112,5840,104519,51722,52797,101371,50097,51274,45108,23045,22063,28491,14521,13970,34592,17314,17278,26336,12150,14186,6739,3400,3339,7092,3567,3525,7557,3902,3655,8754,4398,4356,7863,4126,3737,7140,3799,3341,7454,3778,3676,7137,3610,3527,6760,3334,3426,7195,3597,3598,8062,4097,3965,9436,4705,4731,9899,4915,4984,8763,4427,4336,6624,3178,3446,4639,2126,2513,2936,1262,1674,3374,1157,2217,42.9,41.6,44.2
