name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.2478938,-78.0261758",2020-01-01,26.6,22.9,24.6,17,12.7,14.8,19.3,80.3,0.021,100,12.5,snow,0.6,1,23,13.1,253.1,1008.1,66,7.2,17.2,1.4,1,,2020-01-01T07:41:03,2020-01-01T16:50:10,0.17,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"72526604751,72515754757,KBFD,KELZ,72498894704,F6197,KDSV"
"42.2478938,-78.0261758",2020-01-02,42.9,26.5,36,37,17.5,28.8,24.5,64.1,0,0,0,,0.1,0.9,27.7,15.4,213.1,1009.5,18,9.9,41,3.4,2,,2020-01-02T07:41:08,2020-01-02T16:51:02,0.22,Clear,Clear conditions throughout the day.,snow,"72526604751,72515754757,KBFD,KELZ,72498894704,F6197,KDSV"
"42.2478938,-78.0261758",2020-01-03,45.3,39.8,42.1,43.3,34.9,39.2,40.4,94,0.049,100,20.83,rain,0,0.1,,9.2,256.6,1008.4,96.5,6.4,16.9,1.4,1,,2020-01-03T07:41:11,2020-01-03T16:51:56,0.26,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72526604751,72515754757,KBFD,KELZ,72498894704,F6197,KDSV"
"42.2478938,-78.0261758",2020-01-04,41.3,27,34,41.3,15.9,27.8,33,96.1,0.287,100,54.17,"rain,snow",0,0,26.4,15.2,335.7,1006.5,95.9,4.3,14.2,1.2,1,,2020-01-04T07:41:11,2020-01-04T16:52:51,0.31,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72526604751,72515754757,KBFD,KELZ,72498894704,F6197,KDSV"
"42.2478938,-78.0261758",2020-01-05,31.2,24.8,26.9,22.8,12.2,16.8,22,81.8,0.097,100,29.17,snow,1.8,0.6,34.5,19.2,293.4,1014,90.4,6.5,28.2,2.5,1,,2020-01-05T07:41:09,2020-01-05T16:53:48,0.36,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"72526604751,72515754757,KBFD,KELZ,72498894704,F6197,KDSV"
"42.2478938,-78.0261758",2020-01-06,34,26.6,30.9,25,17.1,21,22,70.7,0.028,100,16.67,"rain,snow",1.2,2.5,34.7,20.8,254.6,1013,52.8,8.2,42.4,3.7,3,,2020-01-06T07:41:04,2020-01-06T16:54:47,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72526604751,72515754757,KBFD,KELZ,72498894704,F6197,KDSV"
"42.2478938,-78.0261758",2020-01-07,30.8,25.4,28.3,26,17.3,21.9,21.2,74.5,0,0,0,,0,1.9,24.2,15.7,227.3,1014.9,63.5,9.9,24.9,2.1,1,,2020-01-07T07:40:57,2020-01-07T16:55:47,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72526604751,72515754757,KBFD,KELZ,72498894704,F6197,KDSV"
"42.2478938,-78.0261758",2020-01-08,28.3,14.7,21.8,20.7,0.4,9,16.3,78.9,0.092,100,33.33,snow,0.3,1.9,35.4,22.7,290.4,1018.5,78.3,4.6,39.3,3.3,2,,2020-01-08T07:40:48,2020-01-08T16:56:48,0.47,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"72526604751,72515754757,KBFD,KELZ,72498894704,F6197,KDSV"
"42.2478938,-78.0261758",2020-01-09,26.4,7.6,18,16.7,-1.8,8.5,7,63.2,0,0,0,,0.2,2.2,25.1,14.9,162.2,1035.5,22.8,9.9,47.6,4.1,2,,2020-01-09T07:40:36,2020-01-09T16:57:51,0.49,Partially cloudy,Partly cloudy throughout the day.,snow,"72526604751,72515754757,KBFD,KELZ,72498894704,F6197,KDSV"
"42.2478938,-78.0261758",2020-01-10,45.3,26.6,38.3,42.6,16.7,31.9,32.9,81.6,0.319,100,62.5,"rain,snow",0,1.6,24.2,14.1,193,1027.4,79.4,7.8,32.3,2.7,2,,2020-01-10T07:40:22,2020-01-10T16:58:55,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"72526604751,72515754757,KBFD,KELZ,72498894704,F6197,KDSV"
