name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.2448527,-78.6810055",2020-01-01,29.8,23.6,26.9,19.7,11.1,16.5,20.1,75.5,0.041,100,12.5,snow,0.7,1.8,28.2,15.4,241.3,1008.5,64.7,7.9,9,0.8,0,,2020-01-01T07:43:40,2020-01-01T16:52:48,0.17,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-02,42.5,28.9,36.7,36.7,19.7,29.1,25.1,63.6,0,0,0,,0,1.5,33.3,17.2,200.6,1008.8,31.7,9.9,32.3,2.8,1,,2020-01-02T07:43:45,2020-01-02T16:53:40,0.22,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-03,44.4,41,42.7,43.4,36.7,40.1,40,90.3,0.02,100,20.83,rain,0,0.1,16.1,8.2,230.7,1008.1,95.5,4.7,7.1,0.7,0,,2020-01-03T07:43:47,2020-01-03T16:54:34,0.26,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72526604751,KBFD,D1253,74498914747,KZAP1,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-04,40.7,28.9,34.8,38.1,18.6,28,32.2,90.3,0.206,100,50,"rain,snow",1.5,0.5,25.8,17.9,331,1007.3,91.5,5.8,13.1,1.1,1,,2020-01-04T07:43:47,2020-01-04T16:55:29,0.31,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-05,29.9,26.4,28.3,22.2,16.2,18.4,23,80.5,0.07,100,37.5,"rain,snow",1.7,2.5,26.4,15.3,266.8,1014.9,88.2,6.3,19.7,1.6,1,,2020-01-05T07:43:45,2020-01-05T16:56:26,0.36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-06,35.5,28.7,32.8,25.5,18.7,22.9,23.8,70,0.032,100,37.5,"rain,snow",0.6,3.6,32.2,19.8,252.1,1013.8,54.6,8.8,13.2,1,1,,2020-01-06T07:43:41,2020-01-06T16:57:25,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-07,34.5,24.1,29.7,28.2,19.3,23.2,21.7,72.3,0.005,100,4.17,"rain,snow",1.3,3.6,28.9,12.2,214.7,1014.9,31.9,9.6,40,3.4,2,,2020-01-07T07:43:34,2020-01-07T16:58:25,0.44,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-08,30.7,18.3,24.1,22.6,3.2,11.8,15.8,70.4,0.037,100,12.5,"rain,snow",1.6,5.4,33.6,19.8,285.4,1019.7,77.3,5.8,22.9,1.9,1,,2020-01-08T07:43:25,2020-01-08T16:59:26,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-09,31.9,9.7,21.9,20.9,1.5,13.1,9.7,60.5,0,0,0,,0.5,5.9,36.3,20.4,145.3,1033.8,22.8,9.8,53,4.7,2,,2020-01-09T07:43:13,2020-01-09T17:00:29,0.49,Partially cloudy,Partly cloudy throughout the day.,snow,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-10,47.8,32.3,41.6,43.9,21.5,35.1,35.2,79,0.35,100,91.67,"rain,snow",0,3.5,43.7,16.2,190.9,1025.8,91.3,7.6,8,0.6,0,,2020-01-10T07:42:59,2020-01-10T17:01:33,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72526604751,KBFD,D1253,74498914747,KZAP1,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-11,62.8,48.3,54.6,62.8,44.1,53.6,48.6,80.7,0.171,100,37.5,rain,0,0.3,40.9,17.2,173,1012.8,80.7,9.4,22,1.9,2,,2020-01-11T07:42:43,2020-01-11T17:02:38,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-12,58.1,29.5,37.3,58.1,19.3,31.2,31.7,80.1,0.07,100,29.17,rain,0,0,47.7,33.9,243.4,1019.6,93.6,9.4,15.3,1.2,1,,2020-01-12T07:42:24,2020-01-12T17:03:44,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-13,42.5,30.5,36.4,37.1,24,30.8,31,80.8,0,0,0,,0,0,21.8,14.4,236.6,1027.2,88.4,9.6,20.7,1.7,2,,2020-01-13T07:42:03,2020-01-13T17:04:52,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72526604751,KBFD,D1253,74498914747,KZAP1,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-14,47,29,37.2,41.5,22.3,32,31.7,80.6,0,0,0,,0,0,29.9,15,210.8,1021.6,63.6,9.2,47.6,4,3,,2020-01-14T07:41:40,2020-01-14T17:06:00,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72526604751,KBFD,D1253,74498914747,KZAP1,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-15,42.2,29.8,36.8,38,27.5,32,28.3,71.9,0.051,100,16.67,rain,0.8,0.2,19.8,12.1,244.8,1019.8,69.9,9.4,45.4,4.1,2,,2020-01-15T07:41:14,2020-01-15T17:07:10,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"72526604751,KBFD,D1253,74498914747,KZAP1,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-16,41.4,21.1,31.1,35.8,7.4,19.9,25.1,78.3,0.091,100,58.33,"rain,snow",1.9,1,33.3,21.3,293.8,1022.2,84.3,5.6,14,1,1,,2020-01-16T07:40:46,2020-01-16T17:08:20,0.69,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72526604751,E9710,KBFD,D1253,74498914747,KZAP1,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-17,21.3,13.6,16.6,21.3,0.4,8.7,7.9,68.5,0,0,0,,0.9,2.4,28.4,16.1,350,1040.4,53.6,8.1,54.3,4.6,3,,2020-01-17T07:40:16,2020-01-17T17:09:31,0.75,Partially cloudy,Partly cloudy throughout the day.,snow,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-18,38.1,16.4,26.1,28.5,7.6,15.6,19.8,77.2,0.222,100,50,"rain,snow",2,3,37.7,21.1,175.2,1017.7,85.5,6.8,13,1.1,1,,2020-01-18T07:39:44,2020-01-18T17:10:43,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-19,32.7,15.9,22.8,22.7,2.7,9.7,17.6,80.3,0.038,100,20.83,"rain,snow",3.2,5.9,34.2,20.9,268.3,1013.1,87.9,2.7,12.2,1,0,,2020-01-19T07:39:09,2020-01-19T17:11:56,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72526604751,KBFD,D1253,74498914747,KZAP1,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-20,21.2,10.2,15.2,12.1,-1.4,5.3,7.1,70.6,0,0,0,,1.3,8.1,,12.1,315.6,1030.1,53.4,8.5,49.1,4.1,3,,2020-01-20T07:38:32,2020-01-20T17:13:10,0.91,Partially cloudy,Clearing in the afternoon.,snow,"72526604751,KBFD,D1253,74498914747,KZAP1,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2020-01-21,23.3,16.5,20.5,14.2,9.1,11.4,13.3,73.5,0,0,0,,0,6.6,21.9,12.5,274.7,1032.9,95,8.8,23.5,2.1,1,,2020-01-21T07:37:53,2020-01-21T17:14:24,0.95,Overcast,Cloudy skies throughout the day.,cloudy,"72526604751,KBFD,D1253,74498914747,KZAP1,KDKK,72523504720,KJHW"
