name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.3042159,-79.4075949",2022-09-25,61.7,53.1,56.7,61.7,53.1,56.7,53,87.6,0.301,100,75,rain,0,0,26.6,13.4,222,1004.2,97,8.6,68.8,6,3,10,2022-09-25T07:08:13,2022-09-25T19:09:39,1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KERI,E9710,74498914747,72526014860,72523504720,KJHW"
"42.3042159,-79.4075949",2022-09-26,55.5,49.4,52.3,55.5,44.4,52.1,49.5,90.2,1.079,100,100,rain,0,0,36,18.5,225.8,1004.1,97.4,9.5,46.3,3.9,4,10,2022-09-26T07:09:17,2022-09-26T19:07:54,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KERI,E9710,74498914747,72526014860,F4070,72523504720,KJHW"
"42.3042159,-79.4075949",2022-09-27,54.3,51.3,52.3,54.3,51.3,52.3,49,88.5,1.2,100,95.83,rain,0,0,25.7,14.7,241.1,1010.7,99.3,9,39.2,3.4,2,10,2022-09-27T07:10:22,2022-09-27T19:06:08,0.01,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KERI,E9710,74498914747,72526014860,F4070,KDKK,72523504720,KJHW"
"42.3042159,-79.4075949",2022-09-28,57.5,51.3,53.4,57.5,51.3,53.4,48.7,84.1,0.382,100,91.67,rain,0,0,21.9,13.2,338.7,1023.3,99.6,9.6,98.9,8.6,9,10,2022-09-28T07:11:27,2022-09-28T19:04:23,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KERI,E9710,74498914747,72526014860,KDKK,72523504720,KJHW"
"42.3042159,-79.4075949",2022-09-29,56.8,44.5,51.2,56.8,42.7,50.6,42.7,73.5,0,0,0,rain,0,0,15,8.7,24.6,1031.6,64,9.9,130.6,11.4,6,10,2022-09-29T07:12:32,2022-09-29T19:02:38,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KERI,E9710,74498914747,72526014860,F4070,KDKK,72523504720,KJHW"
"42.3042159,-79.4075949",2022-09-30,59.6,35.4,48.2,59.6,35.4,47.7,39.4,73.5,0,0,0,,0,0,13.9,10.2,58.9,1027.1,2.1,9.7,111,9.6,6,10,2022-09-30T07:13:37,2022-09-30T19:00:53,0.12,Clear,Clear conditions throughout the day.,clear-day,"KERI,E9710,74498914747,72526014860,F4070,KZAP1,KDKK,72523504720,KJHW"
"42.3042159,-79.4075949",2022-10-01,60.1,46.3,53,60.1,43,52.1,43.6,71.1,0,0,0,,0,0,31.1,16.3,46.5,1020.5,0,9.9,88.3,7.6,3,10,2022-10-01T07:14:42,2022-10-01T18:59:09,0.17,Clear,Clear conditions throughout the day.,clear-day,"KERI,E9710,74498914747,72526014860,F4070,KDKK,72523504720,KJHW"
"42.3042159,-79.4075949",2022-10-02,56.7,42.5,52,56.7,37.8,51.3,43.8,74,0,0,0,rain,0,0,37.1,18.2,42.8,1024.2,48.4,9.9,151.8,13.2,6,10,2022-10-02T07:15:48,2022-10-02T18:57:25,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KERI,E9710,74498914747,72526014860,F4070,KDKK,72523504720,KJHW"
"42.3042159,-79.4075949",2022-10-03,56.8,37,46.5,56.8,34.6,44.9,36.3,69.5,0,0,0,,0,0,21.9,11.2,37.9,1027.8,0,9.9,140.6,12.2,7,10,2022-10-03T07:16:54,2022-10-03T18:55:42,0.28,Clear,Clear conditions throughout the day.,clear-day,"KERI,E9710,74498914747,72526014860,KDKK,72523504720,KJHW"
"42.3042159,-79.4075949",2022-10-04,59.6,38.8,48.9,59.6,38.8,48.2,38.7,69.7,0,0,0,,0,0,15.9,9.9,353.5,1023.1,10.7,9.9,143.8,12.3,6,10,2022-10-04T07:18:00,2022-10-04T18:53:58,0.34,Clear,Clear conditions throughout the day.,clear-day,"KERI,E9710,74498914747,72526014860,KZAP1,KDKK,72523504720,KJHW"
"42.3042159,-79.4075949",2022-10-05,65.5,39.3,52.8,65.5,39,52.1,43.5,72.9,0,0,0,rain,0,0,9.4,10.3,327.8,1019.2,1.7,9.5,165,14.3,6,10,2022-10-05T07:19:06,2022-10-05T18:52:16,0.39,Clear,Clear conditions throughout the day.,clear-day,"KERI,E9710,74498914747,72526014860,KDKK,72523504720,KJHW"
