name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"44.7527103,-73.7056478",2020-01-01,35.3,32,33.6,35.2,26.5,29,26.5,75.3,0.005,100,12.5,"rain,snow",0,1.2,22.5,7.6,254.9,1000.9,83.6,9.7,40,3.3,2,,2020-01-01T07:32:18,2020-01-01T16:24:21,0.17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-02,37.6,30.5,34.3,37.3,23.5,29.2,26.6,73.3,0,0,0,,0,1,25.3,10.7,172,1007,66.9,9.9,69.5,5.9,5,,2020-01-02T07:32:20,2020-01-02T16:25:16,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-03,40.8,38.3,39.7,40.5,32.7,36.5,33.6,79,0,0,0,,0,0.4,23,10.8,183.8,1006.3,97.3,9.9,18.5,1.4,1,,2020-01-03T07:32:20,2020-01-03T16:26:13,0.26,Overcast,Cloudy skies throughout the day.,cloudy,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-04,37.4,29.1,34,37.4,20.4,28.9,30.1,86.1,0.116,100,33.33,"rain,snow",0.8,0.3,,11.4,348.9,1006.2,93.9,7.6,13.9,1,1,,2020-01-04T07:32:18,2020-01-04T16:27:11,0.31,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-05,29.1,13.6,24.5,22.4,4,16.4,18.3,77.4,0,0,0,,0.5,1.1,26.4,12.3,328.4,1009.5,63.7,9.5,88.4,7.5,5,,2020-01-05T07:32:12,2020-01-05T16:28:11,0.36,Partially cloudy,Partly cloudy throughout the day.,snow,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-06,29.3,12.8,22.3,28.8,12.8,20.6,18.9,86.6,0.039,100,45.83,"rain,snow",2.1,1,20.8,5.3,262.7,1010.4,80.1,7.2,20,1.5,1,,2020-01-06T07:32:04,2020-01-06T16:29:13,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72622564776,CWIT,SFAN6,UVM02,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-07,30.8,25.1,28,30.5,20.5,24.9,21.6,77.1,0.013,100,12.5,"rain,snow",0.7,2.2,21.9,8.2,230.8,1013.6,73.8,9.1,30.4,2.6,2,,2020-01-07T07:31:54,2020-01-07T16:30:16,0.44,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72622564776,CWIT,SFAN6,UVM02,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-08,33.6,14.3,26.9,30.4,3.5,21.4,20.3,77.2,0.026,100,25,"rain,snow",1.3,2.7,28.2,17,302.9,1011.6,62.8,9,39,3.3,2,,2020-01-08T07:31:41,2020-01-08T16:31:22,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-09,20.3,4.1,12.2,8.3,-5.6,2.7,1.6,61.9,0,0,0,,0,3,27,11.8,203.8,1037.1,21.2,9.9,98.3,8.4,5,,2020-01-09T07:31:25,2020-01-09T16:32:28,0.49,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-10,37.4,21.7,31.5,37.3,8.5,23.7,21.5,66.9,0,0,0,,0,1.6,42.5,17.2,164,1026,82.1,9.8,16.3,1.3,1,,2020-01-10T07:31:07,2020-01-10T16:33:36,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-11,52,33.8,41.5,52,24.2,37.5,39.2,91.7,0.97,100,70.83,"rain,snow",0.2,0.4,41.4,17.3,82.1,1015.4,85,7.6,26.5,2.1,2,,2020-01-11T07:30:47,2020-01-11T16:34:46,0.51,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-12,32.8,18.8,26.5,25.1,5.9,16.9,23.8,89.6,0.499,100,62.5,"rain,snow",0,0.3,,18.3,358.6,1018.1,96.3,8.3,21.5,1.7,2,,2020-01-12T07:30:24,2020-01-12T16:35:57,0.52,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72622564776,CWIT,SFAN6,UVM02,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-13,23.1,18.8,20.8,21.4,8.9,15.3,17.7,87.8,0.012,100,12.5,snow,0.3,0.1,,8.3,358.8,1030.3,92.8,8.5,12.5,0.9,1,,2020-01-13T07:29:58,2020-01-13T16:37:09,0.55,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-14,27.1,21.2,23.5,27.1,11.9,19.7,21.1,90.1,0.004,100,8.33,snow,0.2,0.4,20.8,7.7,4.3,1025.1,98.6,5.3,15.9,1.1,1,,2020-01-14T07:29:30,2020-01-14T16:38:22,0.59,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-15,33.4,27.9,30.4,33.4,23,28.8,28.6,93,0.025,100,20.83,"rain,snow",1.1,0.7,,4.5,347.7,1018.8,94.4,4.8,17.4,1.4,1,,2020-01-15T07:28:59,2020-01-15T16:39:37,0.64,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-16,31,13.6,27,31,-1.2,18.1,22.7,84.2,0.138,100,75,"rain,snow",3,2.7,31.9,16.8,332.4,1015.6,80.1,6,36.2,3.2,3,,2020-01-16T07:28:26,2020-01-16T16:40:53,0.69,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-17,11.8,-2.1,3.8,3.4,-18.2,-7.5,-4.2,69.2,0.002,100,4.17,snow,1.4,4.5,21.9,16.9,324.7,1038.9,19.1,9.8,114.5,10,5,,2020-01-17T07:27:51,2020-01-17T16:42:09,0.75,Snow,Clear conditions throughout the day with morning snow.,snow,"72622564776,CWIT,SFAN6,KPBG,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-18,18.4,-1.6,7.8,8.8,-9.4,0.9,2.8,79.5,0.182,100,29.17,snow,1.5,4.4,29.9,17,140.1,1027.1,67.3,7.4,39.6,3.3,2,,2020-01-18T07:27:13,2020-01-18T16:43:27,0.81,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"72622564776,CWIT,SFAN6,KPBG,UVM01,71614099999,72617014742"
"44.7527103,-73.7056478",2020-01-19,22.4,12,17.3,21.2,-2,6.8,12.2,80.3,0.061,100,50,snow,0.9,6.2,19.5,14.8,347.8,1007.2,92,7.6,6.7,0.7,0,,2020-01-19T07:26:33,2020-01-19T16:44:45,0.86,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"72622564776,CWIT,SFAN6,KPBG,KBTV,UVM01,71614099999,72617014742"
