name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"44.1089711,-73.7775726",2020-01-01,32.1,29.5,30.5,27.4,21.7,23.3,24.6,78.6,0.021,100,16.67,"rain,snow",1,6.9,29.8,10.4,246.8,1001.1,88.5,7.7,128.8,11.2,1,,2020-01-01T07:30:19,2020-01-01T16:26:55,0.17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72622564776,KSLK,MVAN6,UVM03,KPBG,KBTV,72622894740,72617014742"
"44.1089711,-73.7775726",2020-01-02,37.7,26.7,32.5,33.3,17.5,25.7,24.8,73,0,0,0,,0,6.5,25.3,11.6,212.5,1007.2,66.9,9.9,161.2,14.1,4,,2020-01-02T07:30:22,2020-01-02T16:27:49,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72622564776,KSLK,MVAN6,72102899999,UVM03,KPBG,KBTV,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2020-01-03,40.5,36.9,38.6,37.7,31,34.8,31.7,76.3,0,0,0,,0.6,5.7,23,9.3,220.2,1006.5,95.3,9,118.4,10.3,0,,2020-01-03T07:30:23,2020-01-03T16:28:45,0.26,Overcast,Cloudy skies throughout the day.,snow,"KSLK,MVAN6,UVM03,KPBG,KBTV,K6B0,72622894740,72617014742"
"44.1089711,-73.7775726",2020-01-04,36,28.8,32.6,36,21.5,29,29.8,89.1,0.141,100,45.83,"rain,snow",1.3,5.2,,8.1,0.5,1005.3,92.2,6.3,172,14.7,1,,2020-01-04T07:30:21,2020-01-04T16:29:42,0.31,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KSLK,MVAN6,UVM03,KPBG,KBTV,K6B0,72622894740,72617014742"
"44.1089711,-73.7775726",2020-01-05,28.8,10.4,21.6,21.5,9.2,14.3,16.3,80.1,0.006,100,4.17,snow,1.4,6.9,20.8,10.5,327.7,1009.2,75.9,7.4,136.2,11.9,1,,2020-01-05T07:30:16,2020-01-05T16:30:41,0.36,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"KSLK,MVAN6,UVM03,KPBG,KBTV,K6B0,72622894740,72617014742"
"44.1089711,-73.7775726",2020-01-06,29.8,8.2,20.9,22,8.2,17.2,16.7,83.4,0.052,100,41.67,"rain,snow",1,7.9,27.7,11.5,230,1010,74.1,7.1,93.3,8,0,,2020-01-06T07:30:09,2020-01-06T16:31:42,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"KSLK,MVAN6,UVM03,KPBG,KBTV,K6B0,72622894740,72617014742"
"44.1089711,-73.7775726",2020-01-07,29.9,24.9,27.1,27.9,17.1,21.8,20.1,74.6,0.003,100,4.17,snow,0.4,8.1,21.2,9.4,255.1,1013.2,80.1,9.1,154.7,13.5,4,,2020-01-07T07:30:00,2020-01-07T16:32:45,0.44,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"KSLK,MVAN6,UVM03,KPBG,KBTV,K6B0,72622894740,72617014742"
"44.1089711,-73.7775726",2020-01-08,30.1,10.5,24.6,27,-2.6,16.7,18.2,76.6,0.052,100,37.5,"rain,snow",1.6,8.6,26.7,12.2,291.8,1011.5,82.6,7.6,140.8,11.8,1,,2020-01-08T07:29:48,2020-01-08T16:33:49,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"KSLK,MVAN6,UVM03,KPBG,KBTV,K6B0,72622894740,72617014742"
"44.1089711,-73.7775726",2020-01-09,16.1,-0.3,9.3,15.6,-11.4,1.7,-0.3,64.7,0,0,0,,0.4,9.6,27.7,8.4,317,1036.4,33.3,9.3,212.4,18.3,5,,2020-01-09T07:29:33,2020-01-09T16:34:55,0.49,Partially cloudy,Partly cloudy throughout the day.,snow,"KSLK,MVAN6,UVM03,KPBG,KBTV,K6B0,72622894740,72617014742"
"44.1089711,-73.7775726",2020-01-10,38.5,17,32,35.7,8,23,22.6,69.1,0.027,100,12.5,"rain,snow",0,8.5,42.5,19.6,203,1026.4,84.4,8.1,98.3,8.6,0,,2020-01-10T07:29:16,2020-01-10T16:36:02,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"KSLK,MVAN6,UVM03,KPBG,KBTV,K6B0,72622894740,72617014742"
