name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.0009096,-78.1927784",2020-01-01,30.9,28.2,29.4,22,14.5,18.1,22.3,74.7,0,0,0,,0.7,1.5,34.3,24.9,271.3,1006.3,74.1,9.7,32.2,2.7,1,,2020-01-01T07:44:12,2020-01-01T16:48:22,0.17,Partially cloudy,Partly cloudy throughout the day.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,E6481,KBUF,KDSV"
"43.0009096,-78.1927784",2020-01-02,47,29.9,40.8,41.1,21,34.2,25.7,55.5,0,0,0,,0.8,1,26.4,14.7,231.1,1006.5,22,9.9,27.8,2.3,2,,2020-01-02T07:44:16,2020-01-02T16:49:15,0.22,Partially cloudy,Becoming cloudy in the afternoon.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,E6481,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-03,46.1,39.9,43.8,42.6,37.9,40.2,38.5,81.6,0,0,0,,0.8,0.3,24.2,13.7,263.8,1007.4,83.2,9.2,7.5,0.6,0,,2020-01-03T07:44:18,2020-01-03T16:50:09,0.26,Partially cloudy,Partly cloudy throughout the day.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,E6481,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-04,39,30,33.4,36.6,20,26.1,30.6,89.6,0.178,100,62.5,"rain,snow",0.5,1.1,,14.8,319,1007.6,94.1,7.2,12.6,1.1,1,,2020-01-04T07:44:17,2020-01-04T16:51:05,0.31,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-05,32,29.1,30.6,27.2,17.5,21.2,24.7,79.1,0.005,100,20.83,"rain,snow",0.6,1.3,28,20.6,289.5,1013.5,71.4,8,29.4,2.4,2,,2020-01-05T07:44:14,2020-01-05T16:52:03,0.36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-06,36.1,29.1,33.7,26.2,19.7,23.4,25.9,73.9,0.067,100,25,"rain,snow",0.4,1.7,39,29.7,267.5,1011.1,64.3,8.8,35.8,3.1,2,,2020-01-06T07:44:09,2020-01-06T16:53:03,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-07,36.1,27.1,31.9,36.1,18.5,25.9,21.8,66.7,0,0,0,,0.6,1.4,24.2,14.8,243.8,1013.8,43.7,9.9,26,2.2,1,,2020-01-07T07:44:01,2020-01-07T16:54:04,0.44,Partially cloudy,Partly cloudy throughout the day.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-08,33.8,18.1,25.5,24.9,3.4,12.7,18.5,74.8,0.003,100,8.33,"rain,snow",0.4,1.6,33.5,25.1,287.3,1017.8,61.5,7.5,29,2.5,1,,2020-01-08T07:43:50,2020-01-08T16:55:06,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72529014768,72528014733,KGVQ,ABMN6,KROC,72528704724,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-09,34.2,16,22.6,25.7,3,13,12,64.9,0,0,0,,1.6,1.4,24.2,16.9,145.7,1033.8,39.3,9.4,39.5,3.4,2,,2020-01-09T07:43:38,2020-01-09T16:56:10,0.49,Partially cloudy,Clearing in the afternoon.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-10,48.8,36.1,44.8,46.4,28.5,39.7,37.2,76.5,0.057,100,20.83,rain,0.5,1.2,24.2,15.1,218.7,1023.7,87.2,9,10.8,1,0,,2020-01-10T07:43:22,2020-01-10T16:57:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-11,64.2,37.2,50.8,64.2,28.7,48.9,47.2,88.4,0.359,100,54.17,rain,0,0.1,35.7,20.8,175.9,1011.7,79.9,6.4,17.8,1.4,1,,2020-01-11T07:43:05,2020-01-11T16:58:21,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-12,44.1,25.2,32.1,33.9,13.7,22.2,28.8,87.7,0.085,100,20.83,rain,0,0,60.7,38.8,271.3,1018.5,97.2,8.2,14.5,1.1,1,,2020-01-12T07:42:45,2020-01-12T16:59:29,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72529014768,KGVQ,72528014733,ABMN6,KROC,72528704724,KBUF,72498894704,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-13,38.1,25.2,33.4,38.1,16.5,27.9,30.2,88.3,0,0,0,,0,0,,12.6,212.2,1027.4,88.6,9.9,17.3,1.7,1,,2020-01-13T07:42:22,2020-01-13T17:00:38,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-14,49.9,31.9,38.6,47.6,23,32.8,33.4,82.1,0,0,0,,0,0,29,21.7,231.5,1021.2,83.6,8.5,38.5,3.3,3,,2020-01-14T07:41:58,2020-01-14T17:01:48,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-15,39,34.2,36.8,38.1,26.2,30.4,28,70.5,0,0,0,,0,0,24.2,17,270.9,1019.7,91.6,9.9,29,2.5,1,,2020-01-15T07:41:31,2020-01-15T17:02:59,0.64,Overcast,Cloudy skies throughout the day.,cloudy,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-16,37.9,18.2,30.3,33.6,2,18.8,25.6,82.5,0.046,100,25,"rain,snow",0.8,0.3,36.8,23.8,301.5,1020.3,68.1,7.3,20.3,1.8,1,,2020-01-16T07:41:01,2020-01-16T17:04:11,0.69,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,E6481,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-17,17.2,10.2,13.1,16,-5.6,2.9,6.3,74.3,0,0,0,,0.8,1.3,26.4,19.5,345.9,1041.8,57.7,8.9,42.8,3.8,2,,2020-01-17T07:40:30,2020-01-17T17:05:24,0.75,Partially cloudy,Partly cloudy throughout the day.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-18,38,12,23.7,28.8,1.3,12.9,19.2,82.9,0.308,100,54.17,"rain,snow",1.3,2,45,27.6,181.9,1017.8,59.8,6.8,11.9,0.9,0,,2020-01-18T07:39:56,2020-01-18T17:06:37,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-19,33.3,15.3,24.6,22.8,1.4,12.1,21.1,86.1,0.036,100,12.5,"rain,snow",0.9,3.3,32.3,21.9,287.4,1011.1,83.2,4.3,13.4,1.2,1,,2020-01-19T07:39:20,2020-01-19T17:07:52,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,E6481,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-20,19.1,6.4,13.6,9.1,-6.3,2.7,7.3,77,0,0,0,,0.2,3.4,,12.6,276.3,1030.1,40.1,8.6,23.8,2.1,1,,2020-01-20T07:38:41,2020-01-20T17:09:07,0.91,Partially cloudy,Partly cloudy throughout the day.,snow,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2020-01-21,27,15.2,21.6,16.8,6.3,11.6,16.5,80.5,0,0,0,,0,2.6,30,18.2,261.6,1031.8,70.9,9,25.9,2.1,1,,2020-01-21T07:38:01,2020-01-21T17:10:23,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
