name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.174966,-77.639663",2020-01-01,32.4,29.4,31,24.7,17.9,21.2,21.1,66.4,0,0,0,,0.2,0.1,30.7,19.7,267.6,1006.9,76.2,9.8,70,2.6,1,,2020-01-01T07:42:34,2020-01-01T16:45:34,0.17,Partially cloudy,Partly cloudy throughout the day.,snow,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-02,47.3,28.7,39.8,42.6,19.8,33,25.2,56.5,0,0,0,,0,0,24.6,16.4,215.9,1007.4,71.9,9.9,93.7,3.4,2,,2020-01-02T07:42:38,2020-01-02T16:46:27,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-03,47.1,40.6,44.1,44.2,35.9,40.9,36.9,75.6,0,0,0,,0,0,15.2,10.3,250.5,1007.9,93.4,9.9,30.7,1.1,1,,2020-01-03T07:42:40,2020-01-03T16:47:22,0.26,Overcast,Cloudy skies throughout the day.,cloudy,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-04,39.9,32.3,34.8,34.6,24.9,28.2,30.8,85.3,0.238,100,37.5,"rain,snow",1.1,0.4,30,11.3,345,1007.9,88.3,7.7,36,1.1,1,,2020-01-04T07:42:39,2020-01-04T16:48:18,0.31,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-05,33.9,30.1,32,29.2,18.8,22.9,24.2,73,0.111,100,29.17,"rain,snow",0.6,1.6,34.2,19.7,300,1013.7,77.6,7.8,94.7,3.5,3,,2020-01-05T07:42:36,2020-01-05T16:49:16,0.36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-06,37.5,30.1,34.5,27.2,21.6,25.1,25,69.2,0.073,100,29.17,"rain,snow",0.2,1.9,36.9,23.3,265.1,1011.6,74,8,110.8,4.1,2,,2020-01-06T07:42:30,2020-01-06T16:50:16,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-07,35.5,25.4,31.6,34.5,19,26.5,21.7,66.6,0,0,0,,0,2,16.4,9.9,226.4,1014.6,75.8,9.9,74.2,2.6,1,,2020-01-07T07:42:22,2020-01-07T16:51:17,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-08,35.5,20.5,27.2,26.6,5.6,15.8,17.6,68,0.073,100,20.83,"rain,snow",2.4,2.7,35,25.8,288.6,1018,68.5,7.2,84,2.9,2,,2020-01-08T07:42:11,2020-01-08T16:52:20,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-09,34.6,13.5,22.4,24.6,7.3,13.8,11.6,64.4,0.019,100,4.17,snow,1.6,5,32.2,15.9,157.8,1035.3,74.4,8.2,109.9,3.9,2,,2020-01-09T07:41:58,2020-01-09T16:53:24,0.49,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-10,48.2,34.7,42.9,47.5,24.5,36.9,32.6,67.9,0.057,100,20.83,rain,0,2.7,27.9,16.9,210,1024.8,93.6,9.8,40.5,1.4,1,,2020-01-10T07:41:43,2020-01-10T16:54:29,0.5,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-11,64.2,37.3,50.6,64.2,28.9,48.3,45.8,84.7,0.351,100,37.5,rain,0,0.2,30.7,21.3,163.1,1012.7,83.8,7.5,50.3,1.8,1,,2020-01-11T07:41:25,2020-01-11T16:55:36,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-12,44.9,26.2,33,35.6,16.8,24.2,28,82.2,0.073,100,16.67,rain,0,0,55.7,34.6,291.4,1019.4,91.2,8.5,37.6,1.4,1,,2020-01-12T07:41:04,2020-01-12T16:56:44,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-13,39.9,26.2,34.1,38.5,18.3,29.3,28.6,80.2,0,0,0,,0,0,18.3,11.4,147.6,1028.2,87,9.9,47.2,1.4,1,,2020-01-13T07:40:42,2020-01-13T16:57:53,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-14,48.5,33.1,39.7,45.2,23.7,33.9,32.9,77,0,0,0,,0,0,32.9,21.7,200.4,1022.1,79.5,9,100,3.4,2,,2020-01-14T07:40:17,2020-01-14T16:59:03,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-15,40.1,36.3,38.4,39.5,28.4,32.8,27.6,64.9,0,0,0,,0,0,24.2,14.7,271.7,1020.6,94.2,9.9,71.7,2.6,1,,2020-01-15T07:39:49,2020-01-15T17:00:15,0.64,Overcast,Cloudy skies throughout the day.,cloudy,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-16,36.8,19.7,31,36.2,4.7,20.5,25,78.4,0.202,100,37.5,"rain,snow",1,0.4,33.6,22.8,315.2,1020.4,79.5,5.6,68.4,2.6,1,,2020-01-16T07:39:20,2020-01-16T17:01:27,0.69,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72529014768,KGVQ,AP064,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-17,18.3,11.2,14.1,16.4,-2,4.6,6,70,0.039,100,20.83,snow,0.5,1.5,27.6,18.2,341.6,1042.5,66.3,6.6,110.1,4,2,,2020-01-17T07:38:48,2020-01-17T17:02:40,0.75,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2020-01-18,37.8,12.6,22.5,27.6,0.3,11.1,16.6,77.8,0.565,100,50,"rain,snow",2.4,2.4,37.1,19.7,167,1019.8,80.3,7,36.1,1.3,1,,2020-01-18T07:38:13,2020-01-18T17:03:54,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
