name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"40.7831,-73.9712",2022-09-25,71.9,59.1,64.3,71.9,59.1,64.3,52.4,66,1.103,100,8.33,rain,0,0,27.4,11.5,210.2,1007.3,63.1,9.3,97.5,8.3,5,10,2022-09-25T06:46:22,2022-09-25T18:48:03,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-09-26,73.1,57.8,65.5,73.1,57.8,65.5,52.4,65.9,0,0,0,rain,0,0,27.7,16.4,240.2,1005.3,31.3,9.9,210.5,18.1,10,10,2022-09-26T06:47:23,2022-09-26T18:46:21,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-09-27,68.1,60.2,64.1,68.1,60.2,64.1,45.9,51.9,0,0,0,,0,0,25.3,9.2,256,1010.8,21.6,9.9,228.3,20,8,10,2022-09-27T06:48:23,2022-09-27T18:44:40,0.01,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-09-28,69.2,53.9,61.6,69.2,53.9,61.6,46.3,58.1,0,0,0,rain,0,0,21.9,13.2,295.9,1018.8,32.1,9.9,179.5,15.6,8,10,2022-09-28T06:49:23,2022-09-28T18:43:00,0.04,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-09-29,65.9,53.9,60,65.9,53.9,60,44.4,57.2,0,0,0,,0,0,25.3,14.5,23.7,1026.8,6.3,9.9,217.7,18.7,9,10,2022-09-29T06:50:24,2022-09-29T18:41:19,0.07,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-09-30,61.1,53,57.8,61.1,53,57.8,43.7,59.3,0,0,0,,0,0,20.8,11.4,54.4,1025.4,14.5,9.9,130,11.2,7,10,2022-09-30T06:51:24,2022-09-30T18:39:39,0.12,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-10-01,61.1,51.2,56.9,61.1,51.2,56.9,52.7,86.2,0.558,100,45.83,rain,0,0,32.2,16.1,49.6,1017,94.9,8.2,57.5,5.1,4,10,2022-10-01T06:52:25,2022-10-01T18:37:59,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,F8726,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-10-02,60.2,52.1,57.5,60.2,52.1,57.5,43,59,0,0,0,rain,0,0,34.7,16.1,52.1,1018.1,99.4,9.8,29.3,2.4,1,10,2022-10-02T06:53:27,2022-10-02T18:36:20,0.22,Overcast,Cloudy skies throughout the day.,cloudy,"72502594741,72505394728,KTEB,KLGA,F8726,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-10-03,52.1,47.9,50.3,52.1,43.8,48.9,39.5,67.6,0.415,100,41.67,rain,0,0,31.7,19.7,49.4,1022.5,96.7,9.2,25.4,2.1,1,10,2022-10-03T06:54:28,2022-10-03T18:34:40,0.28,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,F8726,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-10-04,55.1,46.1,50.7,55.1,40.7,49,48.2,91,1.749,100,70.83,rain,0,0,32.7,13.9,36.9,1015.6,100,6.4,18.2,1.8,1,10,2022-10-04T06:55:30,2022-10-04T18:33:02,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-10-05,59.1,53.9,56.3,59.1,53.9,56.3,53.6,90.4,0.463,100,45.83,rain,0,0,29.8,10.3,19.7,1012.7,90.4,7.8,61.6,5,3,10,2022-10-05T06:56:32,2022-10-05T18:31:23,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-10-06,73.2,53,62.9,73.2,53,62.9,48.7,62.3,0,0,0,rain,0,0,15,5.8,306.3,1014.2,12.5,9.9,208.3,17.9,7,10,2022-10-06T06:57:34,2022-10-06T18:29:46,0.43,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-10-07,75.9,60.2,66.8,75.9,60.2,66.8,50.8,57.7,0,0,0,,0,0,21.7,8.2,273.6,1014.4,24.5,9.9,195.1,16.8,7,10,2022-10-07T06:58:37,2022-10-07T18:28:08,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-10-08,60.2,48,53.6,60.2,48,53.6,37.1,54.2,0.032,100,8.33,rain,0,0,25.5,13.1,309.5,1020.3,41.8,9.9,163.5,13.9,7,10,2022-10-08T06:59:40,2022-10-08T18:26:31,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-10-09,61.1,44.9,53.2,61.1,42.4,52.7,36.6,54.4,0,0,0,rain,0,0,23.6,12.5,265.4,1020.6,4.7,9.9,197.8,17.1,7,10,2022-10-09T07:00:43,2022-10-09T18:24:55,0.5,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-10-10,66.9,53,59.3,66.9,53,59.3,38.7,47,0,0,0,,0,0,23,12.8,250.6,1022.1,26.9,9.9,193.1,16.9,7,10,2022-10-10T07:01:46,2022-10-10T18:23:20,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
"40.7831,-73.9712",2022-10-11,69.2,51.2,60.2,69.2,51.2,60.2,45,58.3,0,0,0,,0,0,31.1,6.9,268.6,1025.3,0,9.9,176.3,15.2,6,10,2022-10-11T07:02:50,2022-10-11T18:21:45,0.52,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,72503014732"
"40.7831,-73.9712",2022-10-12,69.2,57.8,62.6,69.2,57.8,62.6,46.3,55.7,0,0,0,,0,0,25.3,17.3,193.4,1022.5,0.5,9.9,169.8,14.6,6,10,2022-10-12T07:03:54,2022-10-12T18:20:11,0.54,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,72503014732"
"40.7831,-73.9712",2022-10-13,68.1,55.1,65,68.1,55.1,65,59.7,83.4,0.631,100,29.17,rain,0,0,30.9,15.1,163.9,1011.8,84.7,8.3,44.2,3.9,2,10,2022-10-13T07:04:58,2022-10-13T18:18:37,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,72503014732"
"40.7831,-73.9712",2022-10-14,66,53,58.2,66,53,58.2,46,68.1,0.327,100,20.83,rain,0,0,29.1,8.1,329.4,1011.8,42.2,8.9,147.9,12.9,6,10,2022-10-14T07:06:03,2022-10-14T18:17:04,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,72503014732"
"40.7831,-73.9712",2022-10-15,68.1,50.1,59.1,68.1,50.1,59.1,46.1,63.7,0,0,0,rain,0,0,26.4,11.4,187.7,1016,0.2,9.9,172.7,15,6,10,2022-10-15T07:07:08,2022-10-15T18:15:32,0.65,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,72503014732"
"40.7831,-73.9712",2022-10-16,64.2,53,59.1,64.2,53,59.1,44.4,59.8,0,0,0,,0,0,12.8,5.8,291.7,1013.7,8.8,9.9,136.4,11.8,7,10,2022-10-16T07:08:13,2022-10-16T18:14:01,0.7,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,72503014732"
"40.7831,-73.9712",2022-10-17,65.9,55.1,59.6,65.9,55.1,59.6,50.3,72.7,0.142,100,25,rain,0,0,25.9,12.8,219.2,1005.7,85.4,9.1,102.3,8.8,6,10,2022-10-17T07:09:19,2022-10-17T18:12:31,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,72503014732"
"40.7831,-73.9712",2022-10-18,56,47,51.6,56,43.6,50.7,33.8,51.5,0,0,0,,0,0,21.9,9.2,282.7,1004.2,54.1,9.8,127.8,10.9,6,10,2022-10-18T07:10:25,2022-10-18T18:11:01,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,72503014732"
"40.7831,-73.9712",2022-10-19,53,42.2,48,53,38.3,46.6,31.7,54.2,0,0,0,,0,0,25.3,11.4,245.9,1009.9,14.8,9.9,135.3,11.5,7,10,2022-10-19T07:11:31,2022-10-19T18:09:32,0.84,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,72503014732"
"40.7831,-73.9712",2022-10-20,57,44,50.9,57,39.6,49.3,32.4,50.5,0,0,0,,0,0,25.3,10.3,229.6,1014.7,0.2,9.9,169.7,14.7,6,10,2022-10-20T07:12:38,2022-10-20T18:08:05,0.88,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,72503014732"
"40.7831,-73.9712",2022-10-21,62,46.1,54.2,62,46.1,54.1,34.9,50.5,0,0,0,,0,0,13.6,6.9,215.4,1019.5,0.1,9.9,166.5,14.4,6,10,2022-10-21T07:13:45,2022-10-21T18:06:38,0.92,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,72503014732"
"40.7831,-73.9712",2022-10-22,65,50,57.2,65,50,57.2,40.9,55.8,0,0,0,,0,0,11.4,6.9,226,1024.2,0.3,9.9,160.9,13.6,6,10,2022-10-22T07:14:52,2022-10-22T18:05:13,0.96,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,F8726,KNYC,72503014732"
"40.7831,-73.9712",2022-10-23,61.1,55.1,57.6,61.1,55.1,57.6,46.4,66.3,0.024,100,8.33,rain,0,0,26.4,12.8,47.9,1024.7,85,9.9,33,2.8,1,10,2022-10-23T07:16:00,2022-10-23T18:03:48,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.7831,-73.9712",2022-10-24,61.1,55.1,57.6,61.1,55.1,57.6,54.8,90.5,0.365,100,25,rain,0,0,23,11.4,56.8,1021.3,100,5.3,26.6,2.2,1,10,2022-10-24T07:17:08,2022-10-24T18:02:25,1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.7831,-73.9712",2022-10-25,70,61.1,64.8,70,61.1,64.8,62.8,93.3,0.149,100,4.17,rain,0,0,16.3,7,64.3,1018.3,91.7,3.2,58,4.9,4,10,2022-10-25T07:18:16,2022-10-25T18:01:02,0,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.7831,-73.9712",2022-10-26,71.9,62,66.3,71.9,62,66.3,62,86.2,0,0,0,rain,0,0,18.8,8.8,225.5,1010.2,90.3,5.9,63.4,5.6,5,10,2022-10-26T07:19:25,2022-10-26T17:59:41,0.01,Overcast,Cloudy skies throughout the day.,cloudy,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.7831,-73.9712",2022-10-27,65,53.9,59.7,65,53.9,59.7,42.2,54.8,0,0,0,,0,0,24.2,12.8,351.8,1018.5,0.1,9.9,156.4,13.4,6,10,2022-10-27T07:20:34,2022-10-27T17:58:21,0.03,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.7831,-73.9712",2022-10-28,56,44.9,50.7,56,40.5,49.4,33.9,52.7,0,0,0,,0,0,26.4,10.4,40.5,1032.1,0.6,9.9,126,11,5,10,2022-10-28T07:21:43,2022-10-28T17:57:02,0.06,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.7831,-73.9712",2022-10-29,57.8,43.1,50.5,57.8,41.4,49.5,36.9,60.1,0,0,0,,0,0,15.2,8.1,35.7,1030.9,0.3,9.9,158.6,13.8,6,10,2022-10-29T07:22:52,2022-10-29T17:55:45,0.1,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.7831,-73.9712",2022-10-30,62,44,52.9,62,44,52.9,37.2,58.2,0,0,0,rain,0,0,7.8,4.7,32.6,1023.9,0.4,9.9,154.7,13.6,6,10,2022-10-30T07:24:02,2022-10-30T17:54:29,0.15,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.7831,-73.9712",2022-10-31,64.1,52,58,64.1,52,58,50,75.5,0.008,100,4.17,rain,0,0,18.3,10.1,208.4,1017.8,53.1,9.6,100.5,8.8,4,10,2022-10-31T07:25:12,2022-10-31T17:53:14,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
