name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.6297762,-75.028841",2022-09-25,57.8,48.8,53.9,57.8,45.8,53.5,51.6,91.9,0.344,100,33.33,rain,0,0,26.2,9.2,120.2,1004.6,97,9.5,31.8,2.8,1,10,2022-09-25T06:50:42,2022-09-25T18:52:08,1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D3501,72519664775,KRME"
"42.6297762,-75.028841",2022-09-26,62.1,50,56.3,62.1,47.2,56.2,52,86.3,0.421,100,12.5,rain,0,0,29.8,9.2,172.9,1002.6,73.6,9.6,92.9,8,10,10,2022-09-26T06:51:47,2022-09-26T18:50:22,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D3501,72519664775,KRME"
"42.6297762,-75.028841",2022-09-27,60.2,48.8,53.3,60.2,45.3,52.8,49.4,87.2,0.495,100,45.83,rain,0,0,22.4,13.9,174.1,1008.1,79.2,9.7,57.7,5,3,10,2022-09-27T06:52:53,2022-09-27T18:48:35,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D3501,72519664775,KRME"
"42.6297762,-75.028841",2022-09-28,60.2,51.2,54.7,60.2,51.2,54.7,50.3,85.6,0.203,100,16.67,rain,0,0,20.8,11.4,314.6,1019.7,97.9,9.6,104.2,9.1,7,10,2022-09-28T06:53:59,2022-09-28T18:46:49,0.04,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"AT729,D3501,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-09-29,60.2,43.1,50.7,60.2,41.5,50,42.4,74.5,0,0,0,,0,0,22.1,9.2,318.3,1030,59.3,9.9,152.5,13.3,7,10,2022-09-29T06:55:05,2022-09-29T18:45:03,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D3501,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-09-30,59,36,46.7,59,33.4,46.3,40.6,81.6,0,0,0,rain,0,0,8.9,4.7,71.3,1027.6,0,9.9,141,12.2,6,10,2022-09-30T06:56:11,2022-09-30T18:43:17,0.12,Clear,Clear conditions throughout the day.,clear-day,"D3501,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-01,66.8,44.1,53.5,66.8,43.6,53.4,45.3,76,0,0,0,,0,0,22.6,12.8,36.4,1020.7,0,9.9,109.4,9.4,8,10,2022-10-01T06:57:17,2022-10-01T18:41:32,0.17,Clear,Clear conditions throughout the day.,clear-day,"D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-02,64.1,45,53.3,64.1,43.6,53,39,59.8,0,0,0,,0,0,38.3,11.4,25.6,1023.5,9.4,9.9,52.6,4.6,3,10,2022-10-02T06:58:24,2022-10-02T18:39:47,0.22,Clear,Clear conditions throughout the day.,clear-day,"F8558,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-03,59,36,45.7,59,34.6,45.2,37.2,75.1,0,0,0,,0,0,21.7,8.1,320.9,1026.9,0,9.9,105,9.1,4,10,2022-10-03T06:59:31,2022-10-03T18:38:03,0.28,Clear,Clear conditions throughout the day.,clear-day,"D3501,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-04,56.9,39.8,48.3,56.9,37.8,48,43,83.1,0,0,0,rain,0,0,24.8,6.9,286.4,1021.8,45.6,9.9,63.5,5.5,3,10,2022-10-04T07:00:38,2022-10-04T18:36:19,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D3501,D4552,72519664775,KRME,SBFN6"
"42.6297762,-75.028841",2022-10-05,66.8,38,52.1,66.8,38,52,42.7,74,0,0,0,rain,0,0,18.1,10.3,284.8,1017.2,3.7,9.9,70.6,6.1,5,10,2022-10-05T07:01:45,2022-10-05T18:34:35,0.39,Clear,Clear conditions throughout the day.,clear-day,"AT729,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-06,70.1,41,54.3,70.1,41,54.2,47.5,80.3,0.012,100,4.17,rain,0,0,11.2,6.9,276.9,1015.4,16.9,9.9,177.2,15.2,6,10,2022-10-06T07:02:53,2022-10-06T18:32:52,0.43,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"D3501,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-07,56.9,45,53.1,56.9,40.6,52.1,48.2,84.4,0.142,100,12.5,rain,0,0,29.4,18.3,285.9,1015.7,82.2,9.5,39.6,3.4,2,10,2022-10-07T07:04:01,2022-10-07T18:31:09,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D3501,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-08,47.9,34.1,42.6,44.7,34.1,40.1,37.4,81.9,0.024,100,8.33,rain,0,0,23.3,10.3,297,1021.7,84.3,9.9,65,5.7,3,10,2022-10-08T07:05:09,2022-10-08T18:29:27,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-09,56,34.1,45.4,56,29.8,44.7,37.8,76.6,0,0,0,,0,0,28.9,21.9,285.3,1018.7,67.8,9.9,135.2,11.5,8,10,2022-10-09T07:06:18,2022-10-09T18:27:45,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D3501,E3016,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-10,56,37.1,48.1,56,37.1,47.5,42.9,83.4,0.103,100,16.67,rain,0,0,17.2,11.4,301.7,1021.7,66.9,9.6,118,10.3,7,10,2022-10-10T07:07:27,2022-10-10T18:26:04,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-11,68,30.8,46.9,68,26.4,45.9,39.9,79.9,0,0,0,,0,0,18.6,5.8,124.7,1024.8,1.1,9.9,173,14.9,6,10,2022-10-11T07:08:36,2022-10-11T18:24:24,0.52,Clear,Clear conditions throughout the day.,clear-day,"D3501,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-12,68,43.1,55.8,68,40.7,55.1,43.6,67,0,0,0,,0,0,35.3,15,136,1019.2,0,9.9,146.8,12.6,6,10,2022-10-12T07:09:45,2022-10-12T18:22:44,0.54,Clear,Clear conditions throughout the day.,clear-day,"D3501,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-13,62.1,51.2,56.5,62.1,51.2,56.5,51.1,83,0.436,100,37.5,rain,0,0,45.6,15,116,1008.8,84,8.8,29,2.5,3,10,2022-10-13T07:10:55,2022-10-13T18:21:06,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D3501,D4552,72519664775,KRME,SBFN6"
"42.6297762,-75.028841",2022-10-14,62.1,38.9,50.2,62.1,35.7,49.3,42.3,78.5,0.123,100,16.67,rain,0,0,14.8,9.7,18.5,1012.8,29.3,9.3,146.9,12.8,6,10,2022-10-14T07:12:05,2022-10-14T18:19:27,0.61,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"D3501,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-15,68,38,50,68,33.5,48.1,39.3,70.5,0,0,0,rain,0,0,31.1,20.8,149.8,1014.2,40.7,9.9,157.2,13.6,6,10,2022-10-15T07:13:15,2022-10-15T18:17:50,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D3501,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-16,61.1,34.1,46,61.1,30,44.3,36.8,74.1,0,0,0,,0,0,13.6,8.1,119.1,1014.4,20.1,9.9,146.3,12.7,6,10,2022-10-16T07:14:26,2022-10-16T18:16:14,0.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"D3501,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-17,55.1,38.9,46.8,55.1,35.5,44.6,41.9,83.3,0,0,0,rain,0,0,21.5,10.3,122.7,1004.3,57.9,9.9,25.5,2.1,1,10,2022-10-17T07:15:37,2022-10-17T18:14:38,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E3016,D4552,72519664775,KRME"
"42.6297762,-75.028841",2022-10-18,50,33.2,42.1,48.8,28.7,40.1,35.5,79.1,0,0,0,,0,0,17.9,8.1,162.7,1003.4,68.1,9.6,163.5,14.1,7,10,2022-10-18T07:16:48,2022-10-18T18:13:03,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E3016,D4552,72519664775,KRME"
