name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.7104206,-73.5138454",2020-01-01,36.1,32.9,34,27.9,24.3,26,21.9,61.1,0.004,100,8.33,"rain,snow",0,0,32.2,14.5,272.5,1004.7,86.4,9.9,26.6,2.3,1,,2020-01-01T07:24:31,2020-01-01T16:30:36,0.17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"72616654781,72518014735,E6283,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-02,44.3,28.2,35.8,40.7,21.4,30.5,22.6,59,0,0,0,,0,0,,10.2,171.9,1010.5,49.2,9.9,63.4,5.5,4,,2020-01-02T07:24:35,2020-01-02T16:31:28,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-03,45.9,37.6,41.3,45.9,34.6,40.1,31.1,67.4,0,0,0,,0,0,,8,144.2,1008.5,83.5,9.9,25.7,2.1,1,,2020-01-03T07:24:38,2020-01-03T16:32:23,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,E6283,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-04,41.5,33.7,38.7,40.8,28.2,36.5,35.5,88.2,0.206,100,75,"rain,snow",0.8,0.2,16.1,7,1.1,1004.5,90.7,5,8.7,0.7,0,,2020-01-04T07:24:37,2020-01-04T16:33:18,0.31,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-05,34.5,24.2,31.2,27.5,17.5,22.1,20.8,65.4,0.009,100,8.33,"rain,snow",0.5,1.1,35,17.4,290.4,1008.7,74.4,9.6,32.5,2.9,3,,2020-01-05T07:24:35,2020-01-05T16:34:16,0.36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-06,37.6,23.9,31.1,32.6,23.2,27.2,22.4,70.5,0.015,100,12.5,"rain,snow",0,1.2,27.1,10.1,231.5,1012.3,76.3,8.4,27,2.2,2,,2020-01-06T07:24:30,2020-01-06T16:35:15,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"72616654781,72518014735,E6283,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-07,36.4,26.7,32.7,36.4,20.2,28.6,19.5,58.3,0,0,0,,0,1.2,37.9,15,261.1,1015.2,69,9.7,54.2,4.7,3,,2020-01-07T07:24:22,2020-01-07T16:36:16,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-08,35.7,21.6,29.5,31.1,8.2,22.4,17.9,62.7,0.008,100,8.33,"rain,snow",0,1.1,39.3,21.1,280.9,1013.5,65.2,9.4,42.6,3.6,3,,2020-01-08T07:24:12,2020-01-08T16:37:17,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-09,27,12,19,23.1,-1.6,11.3,1.8,47,0,0,0,,0,0.7,31.1,15.4,299.6,1037.4,22.9,9.9,88.7,7.8,4,,2020-01-09T07:24:00,2020-01-09T16:38:21,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,E6283,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-10,41.7,27.9,36.1,40.9,17.3,30.5,23.2,60.8,0.016,100,12.5,rain,0,0.5,28.8,13.4,148.3,1030.8,73.1,9.5,18.3,1.5,1,,2020-01-10T07:23:45,2020-01-10T16:39:26,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-11,64.9,42.5,57.6,64.9,40.8,57.3,46.9,68.1,0,0,0,,0,0,33.6,19.8,197.4,1018.5,84,9.8,21.2,1.7,1,,2020-01-11T07:23:28,2020-01-11T16:40:31,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,E6283,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-12,64.9,30.6,51.1,64.9,22.4,47.7,40.4,66.9,0.243,100,25,rain,0,0,44.7,22.5,255.3,1016.1,72.8,9.6,68.3,5.8,4,,2020-01-12T07:23:09,2020-01-12T16:41:39,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-13,39.3,28,34.6,38.8,23.9,30.7,27.4,74.8,0,0,0,,0,0,26.7,13.5,135.9,1029.5,80.8,9.9,26,2.1,1,,2020-01-13T07:22:47,2020-01-13T16:42:47,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-14,43.9,35.1,39.2,39.5,31.8,35.3,30,69.9,0,0,0,,0,0,29.3,13.1,151,1024.4,86.4,9.9,50.3,4.3,3,,2020-01-14T07:22:23,2020-01-14T16:43:56,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-15,43.6,28.5,38.8,38,24.5,34.1,28.1,66.1,0.005,100,4.17,rain,0,0,24.7,12.8,271.3,1019.7,71.5,9.9,41.4,3.5,2,,2020-01-15T07:21:56,2020-01-15T16:45:07,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-16,38.1,23.7,33.3,33.6,10.8,25.7,24.2,70.1,0.229,100,50,"rain,snow",0,0,38.6,19.1,304.3,1013.7,76.7,7.6,45.1,3.8,2,,2020-01-16T07:21:27,2020-01-16T16:46:18,0.69,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-17,22.4,8.2,13.4,9.7,-6.6,0.1,-2.2,49.3,0,0,0,,0,0,27.7,16.2,302.8,1036.1,31,9.9,98.6,8.5,4,,2020-01-17T07:20:56,2020-01-17T16:47:30,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,E6283,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-18,27.2,8.1,15,18.5,-2.7,8.1,5.5,65.8,0.219,100,37.5,snow,2.4,0.8,27,14.3,104.6,1027.4,73.1,6.8,32.4,2.9,2,,2020-01-18T07:20:23,2020-01-18T16:48:43,0.81,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-19,36,16.6,29.1,30,3.6,19.8,20.2,69.8,0.011,100,8.33,"rain,snow",1.7,3.7,34.5,21.2,277,1007.1,80,8.2,41.5,3.6,2,,2020-01-19T07:19:48,2020-01-19T16:49:57,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"72616654781,72518014735,E6283,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-20,19.6,6.2,14.7,9,-2,3.1,1.6,56.3,0,0,0,,0.2,4.2,21.9,14.1,300.5,1024.9,35.6,9.7,119.7,10.2,5,,2020-01-20T07:19:10,2020-01-20T16:51:12,0.91,Partially cloudy,Partly cloudy throughout the day.,snow,"72616654781,72518014735,E6283,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-21,22.1,2.3,11.3,15.6,-4.3,6.9,0.5,62.7,0,0,0,,0,3.7,,6.5,315.1,1031,22.4,9.9,78.5,6.7,3,,2020-01-21T07:18:30,2020-01-21T16:52:27,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-22,32.5,14.5,22.8,31.8,7.7,20.2,13.3,66.7,0,0,0,,0,3.1,,6.9,240.8,1030.4,63.2,9.9,70,6.2,4,,2020-01-22T07:17:48,2020-01-22T16:53:43,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2020-01-23,37.6,8.1,22.2,37.6,8.1,22.1,12.2,67.1,0,0,0,,0,2.9,,3.3,115.9,1028.8,31.8,9.7,81.2,7,4,,2020-01-23T07:17:04,2020-01-23T16:55:00,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,E6283,KPSF,74410414763,72507554768,KDDH,KALB,KAQW,C8192"
