name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.591294,-74.4381718",2020-01-01,38.6,34.1,36,35.2,26.9,29.7,23.2,59.8,0,0,0,,0.2,0.7,29.8,14,265.2,1005.4,83,9.9,20.8,1.8,1,,2020-01-01T07:27:49,2020-01-01T16:34:41,0.17,Partially cloudy,Partly cloudy throughout the day.,snow,"APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2020-01-02,44.5,28.4,37,40.5,21.5,31.8,23.3,57.9,0,0,0,,0,0.3,,11.7,168.5,1010.8,65.7,9.9,79,6.8,4,,2020-01-02T07:27:54,2020-01-02T16:35:34,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74499404741,APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2020-01-03,46.2,39.4,42.8,45.5,36.7,40.7,32,65.9,0,0,0,,1.2,0.8,,8.2,176.4,1008.6,81.9,9.9,38.9,3.5,2,,2020-01-03T07:27:56,2020-01-03T16:36:28,0.26,Partially cloudy,Partly cloudy throughout the day.,snow,"APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2020-01-04,42.8,35.6,39.5,42.8,32.8,38.1,36.1,87.8,0.332,100,66.67,"rain,snow",0.1,0.8,,8.2,0.7,1004.6,91.5,3.7,11.2,1,1,,2020-01-04T07:27:56,2020-01-04T16:37:24,0.31,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"74499404741,AT729,APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2020-01-05,37.4,26,33.5,32.3,22.8,26,21.2,60.5,0,0,0,,0.4,0.9,36.8,19.3,289.9,1009.4,71.1,9.6,29.2,2.5,1,,2020-01-05T07:27:53,2020-01-05T16:38:21,0.36,Partially cloudy,Partly cloudy throughout the day.,snow,"AT729,74499404741,APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2020-01-06,40.3,26.8,32.9,36,23.6,29.2,23.7,69.1,0.02,100,4.17,"rain,snow",0.3,1.2,26,10.1,196.9,1012.5,76.3,8.3,63.6,5.4,2,,2020-01-06T07:27:48,2020-01-06T16:39:20,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"74499404741,APBN6,99799199999,72518014735,D7831,KALB,D3701"
"42.591294,-74.4381718",2020-01-07,39.1,25.5,33.7,39.1,20.6,31.3,20.8,59.6,0,0,0,,0.1,1.4,37.9,19.7,242.8,1015.4,69.8,9.5,96.6,8.2,3,,2020-01-07T07:27:41,2020-01-07T16:40:20,0.44,Partially cloudy,Partly cloudy throughout the day.,snow,"74499404741,APBN6,99799199999,72518014735,D7831,KALB,D3701"
"42.591294,-74.4381718",2020-01-08,38.2,23.8,30.8,32.9,11.2,23.6,19,62.9,0,0,0,,0.7,1.1,44.9,23.5,272.5,1014.1,55.5,9.6,63.1,5.3,3,,2020-01-08T07:27:31,2020-01-08T16:41:22,0.47,Partially cloudy,Partly cloudy throughout the day.,snow,"74499404741,APBN6,99799199999,72518014735,D7831,D3701,KALB"
"42.591294,-74.4381718",2020-01-09,28.6,14.8,21.8,26.3,1.7,15.1,2.7,43.3,0,0,0,,0.5,1.4,31.1,16.4,295.7,1037.9,49.3,9.9,87.4,7.5,4,,2020-01-09T07:27:19,2020-01-09T16:42:25,0.49,Partially cloudy,Becoming cloudy in the afternoon.,snow,"APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2020-01-10,45.8,29.5,37.3,42.7,19,30.7,23.6,58.5,0.012,100,4.17,rain,0.7,0.9,29.9,14.2,162.9,1030.9,87.4,10,26.1,2.1,1,,2020-01-10T07:27:05,2020-01-10T16:43:30,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"74499404741,APBN6,99799199999,72518014735,D7831,KALB"
