name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.2667252,-77.3855253",2020-01-01,32.5,22.4,30.1,25.5,17,22.6,21.7,70.9,0.004,100,4.17,"rain,snow",0.5,1.1,24.2,13.2,260.5,1007.6,72.6,8.9,17.2,1.4,1,,2020-01-01T07:38:33,2020-01-01T16:47:33,0.17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-02,47.7,22.5,36.3,44,15.5,32.2,24.1,63.4,0,0,0,,0,0.9,23,11,188.7,1009.2,10.6,9.9,41,3.4,2,,2020-01-02T07:38:38,2020-01-02T16:48:25,0.22,Clear,Clear conditions throughout the day.,clear-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-03,46.6,35.1,41.8,46.6,32.4,40.8,37.5,84.7,0,0,0,,0,0.1,,4.6,30.4,1008.4,87,8.9,16.9,1.4,1,,2020-01-03T07:38:40,2020-01-03T16:49:19,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-04,42.2,33.6,37,42.2,26.9,32.6,33.6,87.7,0.253,100,50,"rain,snow",0,0,,8.4,341.3,1006.8,94.5,6.8,14.2,1.2,1,,2020-01-04T07:38:41,2020-01-04T16:50:14,0.31,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-05,34.2,29.7,32.4,30.2,20.3,25,23.7,70.6,0.031,100,20.83,"rain,snow",0.9,0.3,26.3,16.7,294.9,1013.5,92,8.4,28.2,2.5,1,,2020-01-05T07:38:39,2020-01-05T16:51:11,0.36,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-06,39.1,30,35.3,31.3,25.7,28.6,24.1,65.2,0.052,100,25,"rain,snow",0.5,1.2,32.8,17.9,264.6,1012.3,60.4,8.8,42.4,3.7,3,,2020-01-06T07:38:34,2020-01-06T16:52:09,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-07,36.1,25.6,32,33.6,23.8,28.7,23.5,70.9,0.008,100,8.33,"rain,snow",1.4,1,21.9,9.1,333.3,1014.9,56.1,9,24.9,2.1,1,,2020-01-07T07:38:27,2020-01-07T16:53:09,0.44,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,snow,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-08,31.1,20,26.4,25.3,8.5,17,16.6,67.2,0.008,100,8.33,"rain,snow",0.5,1.7,35.7,19.8,293.9,1018,63,8.7,39.2,3.3,2,,2020-01-08T07:38:18,2020-01-08T16:54:11,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-09,30.1,16.1,23.3,21.2,7.2,14.8,9.8,57,0,0,0,,0.5,2,36.9,13.9,171.5,1036.1,36,9.8,47.6,4.1,2,,2020-01-09T07:38:06,2020-01-09T16:55:13,0.49,Partially cloudy,Clearing in the afternoon.,snow,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-10,46.9,29.6,39.2,43.1,20.7,33.9,30.6,71.6,0.018,100,16.67,rain,0.1,1.3,33.3,13.2,127.2,1027.3,76.1,9.8,32.3,2.7,2,,2020-01-10T07:37:52,2020-01-10T16:56:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-11,64.3,44,56.4,64.3,41,55.8,48.4,74.7,0.02,100,8.33,rain,0,0.2,31.3,19.2,197.7,1014.5,71.6,9.7,41.9,3.5,2,,2020-01-11T07:37:36,2020-01-11T16:57:23,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-12,61.5,29.3,43.6,61.5,27.7,39.9,34.2,70,0.035,100,29.17,rain,0,0,44.8,23.1,268.5,1018.3,67.4,9.6,51.5,4.5,3,,2020-01-12T07:37:17,2020-01-12T16:58:29,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-13,46.8,29.9,36.9,46.5,25.4,34.2,29.8,75.5,0,0,0,,0,0,,7.4,355.6,1028,81.8,9.9,39.3,3.4,2,,2020-01-13T07:36:56,2020-01-13T16:59:36,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-14,46.5,29,39,43.1,24.1,35.9,32.7,78.3,0,0,0,,0,0,23.7,13.3,177.2,1022.5,76.8,9.4,24.3,2.1,1,,2020-01-14T07:36:33,2020-01-14T17:00:45,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-15,44.9,32.8,39.2,44.9,29.8,36,28.3,65.4,0.02,100,4.17,rain,0,0,23,11.5,291.1,1020.4,75,9.6,48.2,4.2,3,,2020-01-15T07:36:07,2020-01-15T17:01:55,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-16,40.4,23.2,33.5,36.9,9.3,25.1,27,77.4,0.163,100,54.17,"rain,snow",0.8,0.2,34.6,19.4,302,1019.2,80,7.4,40.3,3.4,2,,2020-01-16T07:35:39,2020-01-16T17:03:05,0.69,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-17,21.5,9.9,15.3,11.1,0.1,5.6,6.4,67.9,0.009,100,12.5,snow,0.7,0.9,29.1,15.2,333.3,1041.1,50.1,8.3,57.9,5,3,,2020-01-17T07:35:09,2020-01-17T17:04:16,0.75,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-18,35.9,11.8,22.4,29,4.8,13.6,15.7,75.3,0.083,100,45.83,"rain,snow",1.5,1.6,27.7,15.3,152.3,1021.3,77.7,7,15.3,1.3,1,,2020-01-18T07:34:37,2020-01-18T17:05:29,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-19,36.1,18.5,28.8,29.7,6,19.2,20.5,70.7,0.017,100,16.67,"rain,snow",1.3,3.4,32.4,17.1,283.1,1010.9,77.4,7,42.9,3.6,2,,2020-01-19T07:34:02,2020-01-19T17:06:42,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2020-01-20,21.4,8.8,16.1,14.4,0.2,7.5,7.1,67.9,0,0,0,,0.3,4,18.3,10.1,326.1,1029.4,50.8,8.5,61.9,5.3,3,,2020-01-20T07:33:25,2020-01-20T17:07:55,0.91,Partially cloudy,Partly cloudy throughout the day.,snow,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
