name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"40.943554,-72.6922184",2020-01-01,40.1,32.6,37.2,33.4,26.8,29.9,23.3,57.7,0,0,0,,0,0,30.2,19.1,277.9,1006.8,71.2,9.9,39.8,3.5,2,,2020-01-01T07:15:35,2020-01-01T16:32:57,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-01-02,47.5,22.9,37.7,41.5,17.6,32.9,28.7,70.4,0,0,0,,0,0,22.9,14.9,237.8,1013.7,6.8,9.9,33.2,3,2,,2020-01-02T07:15:41,2020-01-02T16:33:48,0.22,Clear,Clear conditions throughout the day.,clear-day,"KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-01-03,46.9,43.3,44.8,45.3,39.3,42.1,42.6,92.1,0.154,100,45.83,rain,0,0,,9.1,228.9,1010.1,92,6.7,19.2,1.5,1,,2020-01-03T07:15:45,2020-01-03T16:34:40,0.26,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-01-04,49.5,41.6,46.1,47,34,44,45.3,96.8,0.139,100,54.17,rain,0,0,20.8,14.4,282.9,1003.7,94.2,3.6,12,0.9,1,,2020-01-04T07:15:46,2020-01-04T16:35:34,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-01-05,42.3,31,37.7,34.6,24.4,29,24.9,61,0.114,100,20.83,rain,0,0,36.3,21.6,314.8,1007.8,52.3,9.8,42.3,3.6,2,,2020-01-05T07:15:46,2020-01-05T16:36:30,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-01-06,45.2,26.3,35,39.3,25,30.7,24.9,67.8,0,0,0,,0,0,26.3,17.1,265.3,1014.8,54.9,9.9,24.3,2,2,,2020-01-06T07:15:43,2020-01-06T16:37:26,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-01-07,42.4,27.8,35.6,41.6,24.9,31.9,24,64.4,0.147,100,20.83,"rain,snow",0,0,,9.3,316.8,1016.1,26.5,9.1,48.4,4.1,2,,2020-01-07T07:15:38,2020-01-07T16:38:25,0.44,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,rain,"KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-01-08,40.9,28.7,34.1,32.3,14.6,25.1,23.1,67.3,0.008,100,4.17,"rain,snow",0,0,39.3,26.3,283.6,1014.8,41.8,9.5,39.2,3.4,2,,2020-01-08T07:15:30,2020-01-08T16:39:24,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-01-09,31.7,20.5,25.8,27,11.5,18.2,8.7,49.1,0,0,0,,0,0,34.4,21.2,318.8,1037.8,6,9.9,26.5,2.2,2,,2020-01-09T07:15:21,2020-01-09T16:40:25,0.49,Clear,Clear conditions throughout the day.,clear-day,"KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2020-01-10,49,21.4,43.4,45.3,21.4,39.1,37.5,79.9,0,0,0,,0,0,20.8,10.8,215.3,1034.7,68.2,9.9,24.8,2.1,1,,2020-01-10T07:15:09,2020-01-10T16:41:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TT587,KFOK,KISP,72209864761,E4141,72501654790,74486514719,KHWV"
