name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.4532811,-76.4737116",2020-01-01,30.8,21.8,28.6,21.6,13.3,19.5,22.8,78.7,0,0,0,,0.2,0.4,24.1,15,255.5,1007.1,81.5,9.1,22,1.8,1,,2020-01-01T07:35:31,2020-01-01T16:43:17,0.17,Partially cloudy,Partly cloudy throughout the day.,snow,"KITH,E8599,72515594761,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2020-01-02,46.1,23,36.2,40.3,16.1,29.5,24.6,64.2,0,0,0,,0,0.3,20.8,13.8,178.5,1009.6,4.3,9.9,51.6,4.6,4,,2020-01-02T07:35:35,2020-01-02T16:44:10,0.22,Clear,Clear conditions throughout the day.,clear-day,"KITH,72515594761,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2020-01-03,46.1,41,43.3,44,36.6,41,37.7,82.1,0.019,100,4.17,rain,0,0,,11.3,197.5,1008.3,71.3,8.7,16.1,1.2,1,,2020-01-03T07:35:38,2020-01-03T16:45:04,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KITH,E8599,72515594761,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2020-01-04,41,30,34.9,39.8,20.1,28.6,34.9,99.8,0.308,100,41.67,"rain,snow",0.8,0.3,23,14.9,310.3,1005.9,97.6,2.9,8.3,0.9,1,,2020-01-04T07:35:38,2020-01-04T16:45:59,0.31,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"KITH,E8599,72515594761,KELM,TT284,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2020-01-05,30.8,28,28.8,28.1,14.7,19.9,25.3,86.7,0.085,100,25,"rain,snow",1.1,1.4,29.2,20.7,310,1012.7,95.4,7.4,24.6,2,1,,2020-01-05T07:35:35,2020-01-05T16:46:56,0.36,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KITH,F1825,72515594761,72519454778,KELM,72515614748,72515004725,KPEO,KBGM,F6085"
"42.4532811,-76.4737116",2020-01-06,37.1,28.1,32.3,28.5,18.8,24,24.4,74.3,0.012,100,4.17,"rain,snow",0.4,2,30.6,20.8,247.7,1012.1,71.4,9.1,26.8,2.4,1,,2020-01-06T07:35:31,2020-01-06T16:47:55,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"KITH,72515594761,72519454778,KELM,72515614748,72515004725,KPEO,KBGM,F6085"
"42.4532811,-76.4737116",2020-01-07,33.2,19.2,28.6,30.8,14.3,23.9,23.6,81.8,0,0,0,,1.1,1.8,22.5,9.1,160.9,1015.2,59.2,8.6,30.4,2.7,1,,2020-01-07T07:35:23,2020-01-07T16:48:55,0.44,Partially cloudy,Partly cloudy throughout the day.,snow,"KITH,72515594761,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2020-01-08,29.9,18,25.8,22.8,-0.1,14.2,19.5,77.7,0,0,0,,0.6,3.1,34.1,25.1,289.2,1016.8,78.6,9.2,41,3.4,3,,2020-01-08T07:35:14,2020-01-08T16:49:57,0.47,Partially cloudy,Partly cloudy throughout the day.,snow,"KITH,72515594761,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2020-01-09,26.1,12,20.4,20,0.5,10,10.6,66.4,0,0,0,,0,2.8,31.7,21.8,147.8,1036.4,38.6,9,54.6,4.7,3,,2020-01-09T07:35:02,2020-01-09T16:51:00,0.49,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KITH,72515594761,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2020-01-10,43,26.9,35.1,37.3,13.9,26.5,28.2,76.2,0.118,100,25,"rain,snow",0,1.2,28.3,19.5,167.2,1028.4,79.2,9.9,18.5,1.6,1,,2020-01-10T07:34:48,2020-01-10T16:52:04,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"KITH,E8599,72515594761,KELM,72515614748,72515004725,KBGM,F6085"
