name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.3123766,-73.4394282",2020-01-01,33.9,30.8,32.4,31.9,22,25.3,23.5,69.6,0,0,0,,2,1.8,25.3,13.6,238.7,1004,82.8,9.9,40.4,3.3,2,,2020-01-01T07:26:14,2020-01-01T16:28:18,0.17,Partially cloudy,Partly cloudy throughout the day.,snow,"VTW09,KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2020-01-02,39.6,26.9,32.3,35.9,19.9,27.6,23.4,69.9,0,0,0,,0,1.3,20.8,7.9,209.7,1010.2,31.3,9.9,63.7,5.3,3,,2020-01-02T07:26:18,2020-01-02T16:29:11,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VTW09,KGFL,D4722,72522014750,KRUT,72516594737,72616654781,E9444,VTW10,KDDH"
"43.3123766,-73.4394282",2020-01-03,42.8,32.8,38.7,42.8,32.3,37.2,30.2,71.8,0,0,0,,0,0.4,,7.9,221.3,1008.4,79.1,9.9,31.8,2.6,2,,2020-01-03T07:26:19,2020-01-03T16:30:05,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,VTW09,D4722,72522014750,KRUT,72516594737,72616654781,VTW10,KDDH"
"43.3123766,-73.4394282",2020-01-04,38.2,31.9,35.5,37.7,27,32.3,33.6,92.7,0.246,100,66.67,"rain,snow",0.3,0.1,,9.6,9.6,1005.1,94.2,6.3,13.1,0.8,1,,2020-01-04T07:26:18,2020-01-04T16:31:02,0.31,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"VTW09,KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2020-01-05,31.7,18.1,28.5,30.8,13.4,21.7,20.6,73,0.001,100,4.17,"rain,snow",0.5,0.5,21.7,13.4,339.6,1009.3,65.5,9.6,37,2.9,2,,2020-01-05T07:26:15,2020-01-05T16:32:00,0.36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"VTW09,KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2020-01-06,35.6,16.2,26.4,28.8,16.1,23.1,21.4,81.8,0.033,100,25,"rain,snow",1.2,1.1,17.2,9.7,206.8,1012.2,67.4,7.6,26.3,2.1,1,,2020-01-06T07:26:09,2020-01-06T16:33:00,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"VTW09,KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2020-01-07,33.9,28.3,30.5,29.9,21,25.7,21.2,68.5,0,0,0,,0.9,2.2,27,12.4,222.8,1015.1,83.1,9.9,50.6,4.2,3,,2020-01-07T07:26:01,2020-01-07T16:34:02,0.44,Partially cloudy,Partly cloudy throughout the day.,snow,"VTW09,KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2020-01-08,34.7,21.4,28.1,29.5,9.8,21,17.4,66,0.002,100,8.33,"rain,snow",0,1.5,36.5,20.7,266.8,1013.3,63.2,9.6,51,4.4,2,,2020-01-08T07:25:50,2020-01-08T16:35:04,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"VTW09,KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2020-01-09,20.8,9.6,16.1,18.7,-4,8.3,3.1,56.4,0,0,0,,1.8,2.2,19.7,11.7,341.8,1038.1,4.3,9.9,94.5,8.1,4,,2020-01-09T07:25:37,2020-01-09T16:36:09,0.49,Clear,Clear conditions throughout the day.,snow,"VTW09,KGFL,D4722,72522014750,KRUT,72516594737,72616654781,E9444,KDDH"
"43.3123766,-73.4394282",2020-01-10,34.7,18.4,29,34.7,13.9,26.9,22.3,76.7,0.026,100,25,"rain,snow",0,1.8,23,7.4,237,1030.9,69.7,9.5,20,1.6,1,,2020-01-10T07:25:21,2020-01-10T16:37:14,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"VTW09,KGFL,72522014750,KRUT,72516594737,72616654781,E9444,KDDH"
