name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"40.8448,-73.8648",2022-09-25,74.3,59.8,64.7,74.3,59.8,64.7,51.3,62.4,0.746,100,8.33,rain,0,0,29.9,12.3,210.6,1007.2,76.7,9.4,85.1,7.3,4,10,2022-09-25T06:45:57,2022-09-25T18:47:37,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.8448,-73.8648",2022-09-26,74.3,59.4,66.7,74.3,59.4,66.7,51,60.1,0.012,100,4.17,rain,0,0,27.7,16.3,237.3,1005.2,42.2,9.9,209.7,18.1,8,10,2022-09-26T06:46:57,2022-09-26T18:45:55,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.8448,-73.8648",2022-09-27,68.9,61.2,65.2,68.9,61.2,65.2,44.6,47.5,0,0,0,,0,0,25.3,12.9,257.8,1010.7,48.7,9.9,194.3,16.7,7,10,2022-09-27T06:47:58,2022-09-27T18:44:14,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.8448,-73.8648",2022-09-28,69.3,53.7,62.4,69.3,53.7,62.4,45.9,55.5,0,0,0,rain,0,0,21.9,13.4,301.8,1018.7,39.5,9.9,194.3,16.7,8,10,2022-09-28T06:48:58,2022-09-28T18:42:33,0.04,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.8448,-73.8648",2022-09-29,66.1,54.6,60.4,66.1,54.6,60.4,43.8,54.9,0,0,0,,0,0,25.3,15.5,21.5,1026.7,37.6,9.9,215.1,18.7,8,10,2022-09-29T06:49:59,2022-09-29T18:40:53,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.8448,-73.8648",2022-09-30,62.2,52.6,57.8,62.2,52.6,57.8,43.7,59.4,0,0,0,,0,0,18.6,12.7,49.6,1025.3,62.4,9.9,114,9.9,5,10,2022-09-30T06:51:00,2022-09-30T18:39:12,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,72503014732"
"40.8448,-73.8648",2022-10-01,61.2,52.4,57.9,61.2,52.4,57.9,52.1,81.4,0.576,100,66.67,rain,0,0,33.5,20.6,41.8,1016.9,97.9,8.4,32.7,2.8,1,10,2022-10-01T06:52:01,2022-10-01T18:37:32,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D9152,72502594741,72505394728,KTEB,F7223,KLGA,KNYC,72503014732"
"40.8448,-73.8648",2022-10-02,61.3,53,58,61.3,53,58,43.3,58.5,0.04,100,16.67,rain,0,0,41,22.9,43.5,1018,97.4,9.5,21.9,1.8,1,10,2022-10-02T06:53:03,2022-10-02T18:35:53,0.22,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"D9152,72502594741,72505394728,KTEB,F7223,KLGA,KNYC,72503014732"
"40.8448,-73.8648",2022-10-03,53.2,49.2,51.4,53.2,43.8,50.6,38.9,62.9,0.376,100,41.67,rain,0,0,34.8,19.8,36.9,1022.5,96,9.6,20,1.7,1,10,2022-10-03T06:54:04,2022-10-03T18:34:13,0.28,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D9152,72502594741,72505394728,KTEB,F7223,KLGA,KNYC,72503014732"
"40.8448,-73.8648",2022-10-04,56.3,46,51.2,56.3,39.7,48.8,47.1,86.1,1.552,100,70.83,rain,0,0,36,18.2,26,1015.5,100,6.8,17.4,1.5,1,10,2022-10-04T06:55:06,2022-10-04T18:32:34,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D9152,72502594741,72505394728,KTEB,0826W,F7223,KLGA,KNYC,72503014732"
