name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.1619773,-75.830291",2022-09-25,60.3,51.1,53.9,60.3,51.1,53.9,50,87.1,0.391,100,25,rain,0,0,26.9,15.2,207.5,1004.9,83.9,9.6,50.6,4.4,4,10,2022-09-25T06:53:53,2022-09-25T18:55:22,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KITH,F8458,99999964758,72515594761,KN03,72515004725,KBGM"
"42.1619773,-75.830291",2022-09-26,60.6,49.1,54.2,60.6,44.9,54,49.8,86.2,0.026,100,12.5,rain,0,0,37.8,15.5,230.5,1003.8,60.4,9.8,129.4,11.1,7,10,2022-09-26T06:54:57,2022-09-26T18:53:37,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KITH,F8458,99999964758,72515594761,KN03,72515004725,KBGM"
"42.1619773,-75.830291",2022-09-27,56.1,47.4,51.2,56.1,42.8,49.4,46.5,84,0.108,100,25,rain,0,0,26,12.2,234.6,1009.6,83.7,9.5,94.9,8.2,5,10,2022-09-27T06:56:01,2022-09-27T18:51:52,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KITH,F8458,99999964758,72515594761,KN03,72515004725,KBGM"
"42.1619773,-75.830291",2022-09-28,56.1,46.6,50.5,56.1,42.7,49,48.1,91.5,0.108,100,37.5,rain,0,0,21.7,13.4,296.9,1020.4,95.2,9.8,91.8,7.9,5,10,2022-09-28T06:57:06,2022-09-28T18:50:07,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KITH,F8458,99999964758,72515594761,KN03,72515004725,KBGM"
"42.1619773,-75.830291",2022-09-29,55.2,41.9,48.3,55.2,37.2,45.6,42.4,81.4,0,0,0,rain,0,0,19.7,12.4,359.5,1029.6,59.9,9.9,127.2,10.9,7,10,2022-09-29T06:58:10,2022-09-29T18:48:23,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KITH,F8458,99999964758,72515594761,KN03,72515004725,KBGM"
"42.1619773,-75.830291",2022-09-30,57,35.8,45.7,57,32.1,44.3,40.9,84.9,0,0,0,"rain,freezingrain",0,0,7.8,5.4,40.6,1026.9,14.1,8.7,118.1,10.1,5,10,2022-09-30T06:59:15,2022-09-30T18:46:39,0.12,Clear,Clear conditions throughout the day.,clear-day,"KITH,F8458,99999964758,72515594761,KN03,72515004725,KBGM"
"42.1619773,-75.830291",2022-10-01,63,44.2,53,63,40,52,41.9,68.1,0,0,0,,0,0,22.6,10,49.3,1019.4,58.9,9.9,120.5,10.4,6,10,2022-10-01T07:00:20,2022-10-01T18:44:55,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KITH,F8458,99999964758,72515594761,72515004725,KBGM"
"42.1619773,-75.830291",2022-10-02,54.3,44.8,49.9,54.3,40.2,47.9,43.4,78.7,0,0,0,,0,0,28,12.2,39.7,1021.8,56.3,9.9,94.4,8.1,4,10,2022-10-02T07:01:25,2022-10-02T18:43:11,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KITH,F8458,99999964758,72515594761,72515004725,KBGM"
"42.1619773,-75.830291",2022-10-03,54.1,37.9,45.3,54.1,33,42.3,35.7,70,0,0,0,,0,0,15.2,10.8,34.2,1025.6,0.2,9.9,120.3,10.3,6,10,2022-10-03T07:02:31,2022-10-03T18:41:28,0.28,Clear,Clear conditions throughout the day.,clear-day,"KITH,F8458,99999964758,72515594761,72515004725,KBGM"
"42.1619773,-75.830291",2022-10-04,53.1,42.4,46.9,53.1,36.5,43.8,39.8,76.9,0.224,100,33.33,rain,0,0,29.1,13.5,10.1,1020.7,84.6,9.6,48.4,4.1,2,10,2022-10-04T07:03:37,2022-10-04T18:39:45,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KITH,C1631,F8458,99999964758,72515594761,72515004725,KBGM,F2977"
"42.1619773,-75.830291",2022-10-05,66.8,45.7,53.4,66.8,41.8,52.1,41.5,66.5,0.124,100,12.5,rain,0,0,18.8,11.2,359.8,1016.7,67,9.8,131.3,11.3,6,10,2022-10-05T07:04:43,2022-10-05T18:38:03,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KITH,F8458,99999964758,72515594761,72515004725,KBGM"
"42.1619773,-75.830291",2022-10-06,71.1,46.6,58.2,71.1,44.4,57.7,46.9,67.2,0,0,0,,0,0,6.7,8.9,259.9,1015.6,11.7,9.9,163.8,14.2,6,10,2022-10-06T07:05:49,2022-10-06T18:36:21,0.43,Clear,Clear conditions throughout the day.,clear-day,"KITH,F8458,99999964758,72515594761,72515004725,KBGM"
"42.1619773,-75.830291",2022-10-07,57.8,43.1,51.6,57.8,39.2,50.4,46.8,83.8,0.049,100,8.33,rain,0,0,22.1,14.6,287.4,1016.1,84.2,9.9,45.4,3.9,2,10,2022-10-07T07:06:55,2022-10-07T18:34:40,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KITH,F8458,99999964758,72515594761,72515004725,KBGM"
"42.1619773,-75.830291",2022-10-08,47.1,37.3,41.7,42.7,31.4,37,33.3,73.1,0,0,0,rain,0,0,22.1,11.1,301.7,1021.7,78.9,9.9,101.7,8.7,5,10,2022-10-08T07:08:02,2022-10-08T18:32:59,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KITH,F8458,99999964758,72515594761,72515004725,KBGM"
"42.1619773,-75.830291",2022-10-09,54.1,36.3,45.3,54.1,30.5,42.7,35.9,70.2,0,0,0,rain,0,0,23.3,15.6,258.5,1019.7,70.6,9.9,127.2,10.9,6,10,2022-10-09T07:09:09,2022-10-09T18:31:19,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KITH,F8458,99999964758,72515594761,72515004725,KBGM"
