name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.2448527,-78.6810055",2022-09-25,60.5,53.3,56.6,60.5,53.3,56.6,51.9,84.5,0.362,100,75,rain,0,0,24.4,12.3,232.3,1004.3,96.9,8.7,39.2,3.3,4,10,2022-09-25T07:05:18,2022-09-25T19:06:45,1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72526604751,KBFD,D1253,74498914747,72523504720,KJHW"
"42.2448527,-78.6810055",2022-09-26,56.1,49.9,52.7,56.1,46.3,52.6,48.6,85.9,0.742,100,100,rain,0,0,36.5,17.1,232,1004.2,92.2,9.7,57.9,5.1,3,10,2022-09-26T07:06:22,2022-09-26T19:05:00,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72526604751,KBFD,D1253,74498914747,72523504720,F7070,KJHW"
"42.2448527,-78.6810055",2022-09-27,53.1,50.4,51.4,53.1,50.4,51.4,47.7,87,0.772,100,95.83,rain,0,0,25.7,12.3,245,1010.7,99.5,9.1,88.7,7.8,9,10,2022-09-27T07:07:27,2022-09-27T19:03:15,0.01,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2022-09-28,57.5,50.2,52.8,57.5,50.2,52.8,47.7,83,0.265,100,91.67,rain,0,0,20.8,11.9,327.1,1022.9,97.5,9.5,59.4,5.3,3,10,2022-09-28T07:08:31,2022-09-28T19:01:30,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2022-09-29,57.2,42.9,50.5,57.2,42.9,49.7,41.9,73,0,0,0,rain,0,0,16.1,9.2,21.6,1031.2,61.2,9.9,172.1,14.9,10,10,2022-09-29T07:09:36,2022-09-29T18:59:45,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2022-09-30,59.4,33.6,47.1,59.4,33.6,46.7,38.6,74,0,0,0,freezingrain,0,0,9.6,8.2,55.5,1026.9,1.9,9.5,153.4,13.1,5,10,2022-09-30T07:10:41,2022-09-30T18:58:00,0.12,Clear,Clear conditions throughout the day.,clear-day,"72526604751,KBFD,D1253,74498914747,KZAP1,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2022-10-01,61.5,46.8,53.3,61.5,44.4,52.4,42.8,68.2,0,0,0,,0,0,35.8,15.7,47.1,1019.9,12.1,9.9,103.3,9,6,10,2022-10-01T07:11:46,2022-10-01T18:56:16,0.17,Clear,Clear conditions throughout the day.,clear-day,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2022-10-02,57.2,42.2,51.8,57.2,38.3,51,43.3,73,0,0,0,rain,0,0,40,16.4,41.1,1023.4,48.1,9.9,98,8.4,5,10,2022-10-02T07:12:52,2022-10-02T18:54:32,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2022-10-03,56.8,35.1,45.8,56.8,33.5,44.5,35.4,69,0,0,0,,0,0,15.9,11,33.8,1027.5,0,9.9,139,12.1,7,10,2022-10-03T07:13:58,2022-10-03T18:52:49,0.28,Clear,Clear conditions throughout the day.,clear-day,"72526604751,KBFD,D1253,74498914747,KDKK,72523504720,KJHW"
"42.2448527,-78.6810055",2022-10-04,58.7,38.3,48.4,58.7,38.2,47.6,38.5,70.3,0,0,0,,0,0,17,10,353.8,1022.8,23.7,9.9,164.9,14.1,7,10,2022-10-04T07:15:04,2022-10-04T18:51:06,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72526604751,KBFD,D1253,74498914747,KZAP1,KDKK,72523504720,F7070,KJHW"
