name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.1552807,-76.7471788",2022-09-25,64.8,51.8,56.3,64.8,51.8,56.3,53.3,90,0.351,100,29.17,rain,0,0,31.1,17.2,253.4,1004.2,79.9,9,68,5.9,3,10,2022-09-25T06:57:33,2022-09-25T18:59:02,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KITH,72515594761,72519454778,C3806,KELM,72515614748,KPEO"
"42.1552807,-76.7471788",2022-09-26,64.9,48.6,56.4,64.9,48.6,56.4,50.3,81,0.039,100,33.33,rain,0,0,35.4,19.9,244.6,1003.3,63.1,9.7,150.5,13.1,8,10,2022-09-26T06:58:37,2022-09-26T18:57:17,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KITH,72515594761,72519454778,C3806,KELM,72515614748,KPEO"
"42.1552807,-76.7471788",2022-09-27,60.8,51.4,55.1,60.8,51.4,55.1,48.3,78.2,0.048,100,12.5,rain,0,0,24.8,15.9,240,1009.1,83.5,9.9,100.9,8.7,4,10,2022-09-27T06:59:41,2022-09-27T18:55:32,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KITH,72515594761,72519454778,C3806,KELM,72515614748,KPEO"
"42.1552807,-76.7471788",2022-09-28,59.8,50.1,54,59.8,50.1,54,49.3,84.2,0.084,100,29.17,rain,0,0,22.1,13.4,305.8,1020.8,95,9.5,93,7.8,7,10,2022-09-28T07:00:46,2022-09-28T18:53:47,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KITH,72515594761,72519454778,C3806,KELM,72515614748,KPEO"
"42.1552807,-76.7471788",2022-09-29,58.8,39.9,51.1,58.8,37.9,50.8,44.3,79.4,0,0,0,rain,0,0,19.5,12.4,2.9,1030,61.4,9.9,121.5,10.6,6,10,2022-09-29T07:01:50,2022-09-29T18:52:03,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KITH,72515594761,72519454778,C3806,KELM,72515614748,KPEO"
"42.1552807,-76.7471788",2022-09-30,59.9,37.9,46.9,59.9,34.4,46,42.3,85.8,0,0,0,"rain,freezingrain",0,0,9.6,6.8,7.2,1027,37,6.5,144.6,12.6,6,10,2022-09-30T07:02:55,2022-09-30T18:50:19,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KITH,72515594761,72519454778,C3806,KELM,72515614748,KPEO"
"42.1552807,-76.7471788",2022-10-01,65.9,46.3,54.9,65.9,46,54.8,46.4,75.4,0,0,0,,0,0,25.5,14.3,26.9,1019.5,47.2,9.9,146.4,12.6,6,10,2022-10-01T07:04:00,2022-10-01T18:48:35,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KITH,72515594761,72519454778,C3806,KELM,72515614748,KPEO"
"42.1552807,-76.7471788",2022-10-02,59,46.6,53.2,59,43.5,52.8,44.6,72.9,0,0,0,rain,0,0,25.7,16.3,26.8,1022.3,21,9.9,124.4,10.8,5,10,2022-10-02T07:05:05,2022-10-02T18:46:51,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KITH,72515594761,72519454778,C3806,KELM,72515614748,KPEO"
"42.1552807,-76.7471788",2022-10-03,56,36.9,46.2,56,35.7,46,39.1,78.2,0,0,0,,0,0,13.9,10.2,351.1,1026.3,0.5,9.9,114.5,9.7,5,10,2022-10-03T07:06:11,2022-10-03T18:45:08,0.28,Clear,Clear conditions throughout the day.,clear-day,"KITH,72515594761,72519454778,C3806,KELM,72515614748,E5609,KPEO"
"42.1552807,-76.7471788",2022-10-04,53.3,44.1,48.4,53.3,43.5,47.9,44.7,87.2,0.084,100,25,rain,0,0,21.5,5.5,289.6,1021.4,78,9.9,59.1,5.2,2,10,2022-10-04T07:07:17,2022-10-04T18:43:25,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KITH,GMFN6,72515594761,72519454778,C3806,E4221,KELM,72515614748,KPEO"
