name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.489732,-75.6049051",2022-09-25,60.8,51.1,54.4,60.8,51.1,54.4,50.6,87,0.329,100,37.5,rain,0,0,24.7,12.5,209.4,1004.7,87,9.5,55.5,4.8,3,10,2022-09-25T06:53:00,2022-09-25T18:54:27,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KITH,72515594761,72519014771,KN03,72515004725,KBGM,SBFN6"
"42.489732,-75.6049051",2022-09-26,61.8,50.3,55,61.8,50.3,55,49.9,83.5,0.061,100,16.67,rain,0,0,37.8,14.2,228.9,1003.6,66.9,9.8,131.8,11.5,5,10,2022-09-26T06:54:05,2022-09-26T18:52:41,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KITH,72515594761,72519014771,KN03,72515004725,KBGM,SBFN6"
"42.489732,-75.6049051",2022-09-27,56.4,48.8,52.3,56.4,44.6,51.3,47.1,82.7,0.153,100,41.67,rain,0,0,25.7,11.9,228.2,1009.2,82.7,9.5,77.5,6.7,3,10,2022-09-27T06:55:10,2022-09-27T18:50:55,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KITH,72515594761,72519014771,KN03,72515004725,KBGM,SBFN6"
"42.489732,-75.6049051",2022-09-28,56.5,48.2,51.5,56.5,45,50.3,48.6,90,0.193,100,54.17,rain,0,0,20.8,11.9,294.7,1020.5,96.8,9.5,113,9.7,5,10,2022-09-28T06:56:15,2022-09-28T18:49:09,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KITH,72515594761,72519014771,KN03,72515004725,KBGM,SBFN6"
"42.489732,-75.6049051",2022-09-29,55.4,41.2,48.6,55.4,37.7,46.7,42.7,81.1,0,0,0,rain,0,0,19.7,11.3,351.6,1029.9,61.3,9.9,153.8,13.3,7,10,2022-09-29T06:57:21,2022-09-29T18:47:23,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KITH,72515594761,72519014771,KN03,72515004725,KBGM,SBFN6"
"42.489732,-75.6049051",2022-09-30,57.6,36,45.8,57.6,33,45.3,40.9,84.4,0,0,0,rain,0,0,7.4,4.3,25.5,1027,16.2,8.6,141.9,12.3,6,10,2022-09-30T06:58:27,2022-09-30T18:45:38,0.12,Clear,Clear conditions throughout the day.,clear-day,"KITH,72515594761,72519014771,KN03,72515004725,KBGM,SBFN6"
"42.489732,-75.6049051",2022-10-01,63.8,44.9,53.2,63.8,42,52.6,43.3,71.2,0,0,0,,0,0,21.7,8.6,33,1019.8,48.5,9.8,152.5,13,6,10,2022-10-01T06:59:33,2022-10-01T18:43:53,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KITH,C1631,72515594761,72519014771,KN03,72515004725,KBGM,SBFN6"
"42.489732,-75.6049051",2022-10-02,56.2,43.2,50.3,56.2,40.7,48.9,43.2,77.2,0,0,0,,0,0,30.9,10.6,28.6,1022.3,44.1,9.9,86.5,7.3,4,10,2022-10-02T07:00:39,2022-10-02T18:42:09,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KITH,72515594761,72519014771,KN03,72515004725,KBGM,SBFN6"
"42.489732,-75.6049051",2022-10-03,54.4,37.4,45.1,54.4,34.6,43.4,36.4,73,0,0,0,,0,0,15,9.3,18.5,1025.9,1.4,9.9,153.9,13.2,6,10,2022-10-03T07:01:45,2022-10-03T18:40:25,0.28,Clear,Clear conditions throughout the day.,clear-day,"KITH,72515594761,72519014771,KN03,72515004725,KBGM,SBFN6"
"42.489732,-75.6049051",2022-10-04,53.9,43.1,47.4,53.9,38.9,45.5,40.7,78,0.169,100,37.5,rain,0,0,20.6,11.3,0.2,1021.1,81.1,9.8,64.4,5.5,3,10,2022-10-04T07:02:52,2022-10-04T18:38:41,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KITH,C1631,72515594761,72519014771,KN03,72515004725,KBGM,SBFN6"
