name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"44.1089711,-73.7775726",2022-09-25,56.8,41.3,51,56.8,41.3,51,47.9,89.6,0.239,100,41.67,rain,0,0,25.7,6.4,119.1,1005,69.9,9.1,63.8,5,1,10,2022-09-25T06:45:46,2022-09-25T18:47:02,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"AT188,KSLK,MVAN6,72102899999,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-09-26,62.9,51.4,56.1,62.9,51.4,56.1,52.6,88.9,0.204,100,45.83,rain,0,0,37.4,10.5,197.9,1001.5,74.4,9.2,133.7,11.3,6,10,2022-09-26T06:46:56,2022-09-26T18:45:10,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"AT188,KSLK,MVAN6,72102899999,KPBG,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-09-27,55.9,50.6,53.2,55.9,50.6,53.2,49.1,86.3,0.132,100,33.33,rain,0,0,38.5,12.7,194.2,1006.8,71.5,9.2,103.9,9.5,3,10,2022-09-27T06:48:06,2022-09-27T18:43:20,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"AT188,KSLK,MVAN6,72102899999,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-09-28,56.4,47.5,52.8,56.4,47.5,52.8,49.9,90.3,0.24,100,50,rain,0,0,32,8,325.7,1018.3,79.3,8.9,112.6,10.2,3,10,2022-09-28T06:49:16,2022-09-28T18:41:29,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"AT188,KSLK,MVAN6,72102899999,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-09-29,53.2,36.1,46.7,53.2,36.1,45.7,40.1,79.2,0.01,100,8.33,rain,0,0,29.5,8.3,357,1029.4,53.9,9.8,194.1,17.1,6,10,2022-09-29T06:50:27,2022-09-29T18:39:38,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"AT188,KSLK,MVAN6,72102899999,KPBG,KBTV,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-09-30,60.6,29.5,44.6,60.6,29.5,44.6,35.9,75.5,0,0,0,rain,0,0,9.2,2.6,21.8,1027.5,20.1,9,172.9,15.4,6,10,2022-09-30T06:51:38,2022-09-30T18:37:48,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AT188,KSLK,MVAN6,KPBG,KBTV,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-10-01,63.2,36.5,48.4,63.2,36.5,48.2,41.8,79.8,0,0,0,,0,0,29.3,9.2,14.2,1022.2,16.2,9.4,124.3,10.8,5,10,2022-10-01T06:52:49,2022-10-01T18:35:58,0.17,Clear,Clear conditions throughout the day.,clear-day,"AT188,KSLK,MVAN6,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-10-02,53.1,34,44,53.1,31.1,40.6,33.9,69.6,0,0,0,"rain,freezingrain",0,0,29.5,15.5,24.9,1026.3,12.4,9.9,167.4,14.4,7,10,2022-10-02T06:54:00,2022-10-02T18:34:09,0.22,Clear,Clear conditions throughout the day.,clear-day,"AT188,KSLK,MVAN6,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-10-03,57,26.9,40.7,57,26.9,40.4,30.8,72.9,0,0,0,,0,0,15.2,9.9,28,1027.6,4.1,9.9,180.3,15.8,7,10,2022-10-03T06:55:11,2022-10-03T18:32:20,0.28,Clear,Clear conditions throughout the day.,clear-day,"AT188,KSLK,MVAN6,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-10-04,60.6,30.7,44.2,60.6,30.7,44.2,35,74.4,0,0,0,,0,0,7.2,7.6,22.4,1022.4,15.3,9.8,156.5,13.5,8,10,2022-10-04T06:56:23,2022-10-04T18:30:31,0.34,Clear,Clear conditions throughout the day.,clear-day,"AT188,KSLK,MVAN6,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-10-05,69.1,36.5,50.2,69.1,36.5,50.2,39.1,71.8,0,0,0,,0,0,13.9,4.5,4.8,1017.2,11.9,9.5,163.7,14.1,7,10,2022-10-05T06:57:35,2022-10-05T18:28:43,0.39,Clear,Clear conditions throughout the day.,clear-day,"KSLK,AT188,MVAN6,72102899999,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-10-06,72.5,36.2,53.6,72.5,36.2,53.6,44.5,74.9,0.003,100,4.17,rain,0,0,17.2,7.6,237.2,1014.6,23.4,9.3,183.5,15.7,7,10,2022-10-06T06:58:47,2022-10-06T18:26:55,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"AT188,KSLK,MVAN6,72102899999,K6B0,72622894740,72617014742"
"44.1089711,-73.7775726",2022-10-07,60.2,41.8,53,60.2,38.3,52.1,49,86.6,0.421,100,62.5,rain,0,0,30.4,10.2,268.6,1013.7,85.8,8.9,61.7,5.5,2,10,2022-10-07T07:00:00,2022-10-07T18:25:08,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"AT188,KSLK,MVAN6,72102899999,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-10-08,48.3,33.8,41.1,44.7,30.4,37.6,32.1,71.4,0.001,100,4.17,"rain,snow",0.1,0,30.4,9,290.1,1019.6,70.1,9.9,149.8,13.1,7,10,2022-10-08T07:01:12,2022-10-08T18:23:21,0.49,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"AT188,KSLK,MVAN6,72102899999,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-10-09,48.3,33.2,42.7,46.4,33.2,39.5,37.5,82.1,0.068,100,12.5,rain,0.2,0,36.2,11.7,204.3,1016.6,78.6,8.9,78.3,6.5,3,10,2022-10-09T07:02:26,2022-10-09T18:21:35,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"AT188,KSLK,MVAN6,72102899999,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-10-10,51.1,32,40.6,51.1,32,40.5,35.9,84.8,0.037,100,20.83,rain,0,0,20.1,4.6,349.7,1021.5,60.7,9.6,98.7,8.8,4,10,2022-10-10T07:03:39,2022-10-10T18:19:50,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"AT188,KSLK,MVAN6,72102899999,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-10-11,60.6,27.4,43.2,60.6,27.4,42.8,34.8,76,0,0,0,,0,0,22.1,9.7,200.3,1024.2,19.3,8.9,167.8,14.5,7,10,2022-10-11T07:04:53,2022-10-11T18:18:05,0.52,Clear,Clear conditions throughout the day.,clear-day,"AT188,KSLK,MVAN6,72102899999,K6B0,72622894740,72617014742,99999900425"
"44.1089711,-73.7775726",2022-10-12,66.5,39.9,54,66.5,39,53.9,41.5,66.1,0,0,0,,0,0,37.4,16,184.9,1019.5,10,9.9,141.3,12.5,6,10,2022-10-12T07:06:07,2022-10-12T18:16:21,0.54,Clear,Clear conditions throughout the day.,clear-day,"AT188,KSLK,MVAN6,72102899999,K6B0,72622894740,72617014742,99999900425"
