name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"44.5943743,-74.3106698",2022-09-25,58.4,41.1,50.5,58.4,41.1,50.5,46.4,86.7,0.176,100,37.5,rain,0,0,16.8,6.6,105.2,1004.6,86,8.7,55.8,4.8,3,10,2022-09-25T06:47:55,2022-09-25T18:49:07,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KMSS,CWBZ,KSLK,MVAN6,BFAN6,72622394725,71712099999,72622894740"
"44.5943743,-74.3106698",2022-09-26,61.4,49.3,54.1,61.4,48.3,54.1,50.1,86.8,0.173,100,45.83,rain,0,0,23,11,222.1,1001.2,89.2,8.4,100.4,8.6,5,10,2022-09-26T06:49:07,2022-09-26T18:47:15,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KMSS,CWBZ,KSLK,MVAN6,BFAN6,72622394725,71712099999,72622894740"
"44.5943743,-74.3106698",2022-09-27,57.7,47.8,52.4,57.7,45.8,52.1,48.5,86.9,0.222,100,62.5,rain,0,0,32.7,13.3,212.8,1006.1,95.5,8.5,52.6,4.3,4,10,2022-09-27T06:50:18,2022-09-27T18:45:22,0.01,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KMSS,CWBZ,KSLK,SFAN6,BFAN6,72622394725,71712099999,72622894740"
"44.5943743,-74.3106698",2022-09-28,53.5,48.5,51.4,53.5,47.7,51.2,48,88.2,0.352,100,33.33,rain,0,0,21,7.1,294.7,1018.6,100,8.1,52.5,4.5,2,10,2022-09-28T06:51:30,2022-09-28T18:43:30,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KMSS,CWBZ,KSLK,SFAN6,BFAN6,72622394725,71712099999,72622894740"
"44.5943743,-74.3106698",2022-09-29,52.7,33.1,45.2,52.7,33.1,44.6,38.2,77.9,0.018,100,8.33,rain,0,0,21,6,313.1,1029.8,63.3,9.8,140.4,12.2,7,10,2022-09-29T06:52:42,2022-09-29T18:41:38,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KMSS,CWBZ,KSLK,BFAN6,72622394725,71712099999,72622894740"
"44.5943743,-74.3106698",2022-09-30,60.6,28,42.9,60.6,28,42.9,33.9,75.8,0,0,0,,0,0,7.4,4.7,287,1027.6,21.5,8.3,167.5,14.5,7,10,2022-09-30T06:53:55,2022-09-30T18:39:46,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KMSS,CWBZ,KSLK,MVAN6,BFAN6,72622394725,71712099999,72622894740"
"44.5943743,-74.3106698",2022-10-01,62.1,33.8,47.5,62.1,33.8,47.2,40.2,78,0,0,0,,0,0,33.3,12.7,32,1022.5,19.3,9.4,84,7.3,3,10,2022-10-01T06:55:07,2022-10-01T18:37:55,0.17,Clear,Clear conditions throughout the day.,clear-day,"KMSS,CWBZ,KSLK,BFAN6,72622394725,71712099999,72622894740"
"44.5943743,-74.3106698",2022-10-02,52.5,30.1,42.8,52.5,30,39.1,30.9,65,0,0,0,,0,0,26.8,16.2,53,1027,0.3,9.9,172.5,15,7,10,2022-10-02T06:56:20,2022-10-02T18:36:04,0.22,Clear,Clear conditions throughout the day.,clear-day,"KMSS,CWBZ,KSLK,MVAN6,BFAN6,72622394725,71712099999,72622894740"
"44.5943743,-74.3106698",2022-10-03,57.9,23.2,39,57.9,23.2,38.8,27.5,69.6,0,0,0,,0,0,13.2,9.5,64.7,1027.9,0.5,9.8,172.3,14.8,7,10,2022-10-03T06:57:33,2022-10-03T18:34:13,0.28,Clear,Clear conditions throughout the day.,clear-day,"KMSS,CWBZ,KSLK,MVAN6,BFAN6,72622394725,71712099999,72622894740"
"44.5943743,-74.3106698",2022-10-04,62.8,25.3,42.1,62.8,25.3,42,29.9,68.7,0,0,0,,0,0,8.3,7.2,50.2,1022.6,13.9,9.9,149.6,12.9,6,10,2022-10-04T06:58:46,2022-10-04T18:32:23,0.34,Clear,Clear conditions throughout the day.,clear-day,"KMSS,CWBZ,KSLK,SFAN6,BFAN6,72622394725,71712099999,72622894740"
"44.5943743,-74.3106698",2022-10-05,71.6,27.6,47.9,71.6,27.6,47.9,33.3,66.5,0.001,100,4.17,"rain,snow",0,0,7.4,5.6,343.9,1017.4,0,9.9,161.9,14,6,10,2022-10-05T07:00:00,2022-10-05T18:30:33,0.39,"Snow, Rain",Clear conditions throughout the day with early morning snow or rain.,rain,"KMSS,CWBZ,KSLK,BFAN6,72622394725,71712099999,72622894740"
