name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.1156093,-74.4236782",2022-09-25,60.1,46.4,54.5,60.1,46.4,54.4,50,85,0.096,100,45.83,rain,0,0,25.3,9.2,105.1,1005.6,81.6,9.3,49.2,4.2,3,10,2022-09-25T06:48:18,2022-09-25T18:49:41,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,AT729,74499404741,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-09-26,66.5,52.8,59,66.5,52.8,59,53.7,83.5,0.199,100,20.83,rain,0,0,24.2,10.7,173.8,1002.9,72.6,9.2,105.8,9.1,5,10,2022-09-26T06:49:25,2022-09-26T18:47:53,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,AT729,74499404741,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-09-27,63.3,46.8,54.5,63.3,43.8,54,48.9,82.1,0.097,100,45.83,rain,0,0,26.8,10.3,175.7,1008.7,71.3,9,104.2,9,6,10,2022-09-27T06:50:32,2022-09-27T18:46:05,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,AT729,74499404741,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-09-28,65.3,52.4,56.7,65.3,52.4,56.7,51.5,83.3,0.131,100,45.83,rain,0,0,34.2,9,278.2,1018.5,90.8,9.8,134,11.4,7,10,2022-09-28T06:51:39,2022-09-28T18:44:17,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KGFL,AT729,74499404741,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-09-29,59.5,42.9,52.9,59.5,42.9,52.8,44.5,74.1,0,0,0,rain,0,0,22.6,8.1,358,1028.8,66.1,10.3,173.9,15,8,10,2022-09-29T06:52:47,2022-09-29T18:42:30,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,74499404741,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-09-30,60.4,37.2,47.5,60.4,37.2,47.4,40.6,79.1,0,0,0,,0,0,7.2,4.7,3.5,1027.5,33.2,9.2,146.1,12.5,5,10,2022-09-30T06:53:54,2022-09-30T18:40:43,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,74499404741,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-01,66.1,43.4,53.4,66.1,42.7,53.1,44.6,74.8,0,0,0,,0,0,31.1,11.5,1.5,1020.8,38.2,9.5,148.7,12.8,7,10,2022-10-01T06:55:02,2022-10-01T18:38:56,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-02,58.8,45,51.7,58.8,41.4,50.1,40.1,65,0,0,0,,0,0,39.1,14.4,19.3,1023.7,44.5,9.9,100.9,8.8,6,10,2022-10-02T06:56:10,2022-10-02T18:37:10,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-03,56.3,37.2,46.6,56.3,34.6,45.8,35.9,68.2,0,0,0,,0,0,21.5,8.4,358,1026.8,43.2,9.9,139.3,11.9,5,10,2022-10-03T06:57:19,2022-10-03T18:35:24,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-04,58.6,44.4,50.6,58.6,42,50.1,41.2,71.1,0.01,100,8.33,rain,0,0,18.3,8.6,356.3,1021.2,67.4,9.9,93.6,8,4,10,2022-10-04T06:58:27,2022-10-04T18:33:38,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-05,64,47.2,53.8,64,45.5,53.3,46.3,77.2,0.182,100,29.17,rain,0,0,13.2,6.3,343.8,1016.4,59.8,9.3,125.8,10.8,6,10,2022-10-05T06:59:36,2022-10-05T18:31:53,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-06,71.9,40.4,54.7,71.9,40.4,54.7,47.8,79.6,0.002,100,4.17,rain,0,0,13.6,6.6,125.3,1014.8,23.9,9.3,153.2,13.2,7,10,2022-10-06T07:00:45,2022-10-06T18:30:08,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-07,66,48.8,56.4,66,45.1,56.1,49.4,78.6,0.075,100,20.83,rain,0,0,29.3,16.1,268.1,1014.6,68.7,9.1,83.4,7.3,5,30,2022-10-07T07:01:55,2022-10-07T18:28:24,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-08,53,38.5,46,53,34.7,43.7,35.3,67.5,0.004,100,8.33,rain,0,0,25.5,10.7,291.1,1020.6,57.6,9.9,123.3,10.5,5,10,2022-10-08T07:03:05,2022-10-08T18:26:41,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB,D3701"
"43.1156093,-74.4236782",2022-10-09,59.1,37,46.7,59.1,31.8,44.8,37.3,71.9,0,0,0,,0,0,28.9,13.5,229.9,1018.6,63.9,9.8,114.6,10,7,10,2022-10-09T07:04:14,2022-10-09T18:24:58,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,72522014750,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-10,55.7,39.8,48.2,55.7,39.8,47.9,43.3,83.5,0.127,100,37.5,rain,0,0,23.5,7.2,130.5,1021.6,81.7,8.9,60.3,5.2,4,10,2022-10-10T07:05:25,2022-10-10T18:23:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-11,64.1,36,47.5,64.1,36,47.4,41.6,81.9,0,0,0,,0,0,20.8,5.5,112.3,1025.1,35.9,7,148.8,12.9,6,10,2022-10-11T07:06:35,2022-10-11T18:21:33,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,72522014750,LPSN6,72518014735,KRME,E4767,KALB,D3701"
"43.1156093,-74.4236782",2022-10-12,68.5,39.7,54.4,68.5,39.7,54.3,43.5,70.2,0,0,0,,0,0,25.1,15.2,158.1,1020.7,34.3,9.2,136.5,11.6,7,10,2022-10-12T07:07:46,2022-10-12T18:19:52,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,72522014750,LPSN6,72518014735,KRME,KALB,D3701"
"43.1156093,-74.4236782",2022-10-13,65.3,52.4,58.2,65.3,52.4,58.2,52.9,82.9,0.957,100,41.67,rain,0,0,30.5,15.2,145.6,1010.7,84.7,8.4,38.2,3.3,2,10,2022-10-13T07:08:57,2022-10-13T18:18:12,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,AT729,72522014750,LPSN6,72518014735,KRME,KALB,D3701"
"43.1156093,-74.4236782",2022-10-14,64.2,43.2,53.3,64.2,43.2,53.2,46.2,79.4,0.339,100,33.33,rain,0,0,13.6,8.6,351,1012.6,55.9,8.4,148.5,12.9,7,10,2022-10-14T07:10:09,2022-10-14T18:16:32,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-15,67.7,37.9,51.2,67.7,37.9,51.1,41.1,72.1,0,0,0,,0,0,27.8,16.8,170.3,1015.1,38.5,7.8,145,12.5,6,10,2022-10-15T07:11:21,2022-10-15T18:14:53,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-16,58.9,36.7,47.9,58.9,36.7,47.7,38.9,73,0,0,0,,0,0,15.2,7,28,1014.4,30.1,9.4,141.5,12.2,6,10,2022-10-16T07:12:33,2022-10-16T18:13:15,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,72522014750,72518014735,KRME,E4767,KALB"
"43.1156093,-74.4236782",2022-10-17,52.2,36.2,44.9,52.2,36.2,44.7,42.8,92.1,0.508,100,41.67,rain,0,0,18.3,8.5,52.9,1005.8,80.5,6.5,33.9,2.8,2,10,2022-10-17T07:13:45,2022-10-17T18:11:38,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,AT729,72522014750,72518014735,KRME,E4767,KALB"
"43.1156093,-74.4236782",2022-10-18,54.8,39.6,47.1,54.8,38.2,46.4,39,75.4,0.005,100,4.17,rain,0,0,15.7,6.9,255.2,1003.1,68.7,7.7,123,10.7,6,10,2022-10-18T07:14:58,2022-10-18T18:10:02,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KGFL,AT729,72522014750,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-19,49.5,31.7,41.1,45.8,31.7,38.4,32.2,72.4,0,0,0,rain,0,0,25.3,12.7,173.3,1007.7,64.8,9.3,69.6,5.9,3,10,2022-10-19T07:16:11,2022-10-19T18:08:27,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,72522014750,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-20,54.7,37.5,44.7,54.7,31.8,41.6,30.3,60.5,0,0,0,,0,0,27.3,14.5,193,1011.6,44,9.9,121.7,10.3,6,10,2022-10-20T07:17:25,2022-10-20T18:06:52,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,72522014750,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-21,59,30.7,43.9,59,30.7,43.5,29.7,61.5,0,0,0,,0,0,19.7,12,152.9,1018.7,18.7,9.9,125,10.9,6,10,2022-10-21T07:18:38,2022-10-21T18:05:19,0.92,Clear,Clear conditions throughout the day.,clear-day,"KGFL,AT729,72522014750,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-22,68.7,35.3,49.4,68.7,33.2,49,34.7,59.7,0,0,0,,0,0,13.6,9.4,134.4,1023,8.7,9.9,125.6,11,6,10,2022-10-22T07:19:53,2022-10-22T18:03:47,0.96,Clear,Clear conditions throughout the day.,clear-day,"KGFL,AT729,72522014750,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-23,62.4,36.2,49.1,62.4,36.2,49,40.7,74.5,0,0,0,,0,0,10.1,4.7,355.9,1026.7,39.9,9.7,88.9,7.9,4,10,2022-10-23T07:21:07,2022-10-23T18:02:15,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,AT729,72522014750,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-24,60.4,52.6,56.2,60.4,52.6,56.2,51.2,83.3,0.167,100,29.17,rain,0,0,16.1,7.1,353.4,1023.5,91,8.7,55.7,4.6,3,10,2022-10-24T07:22:22,2022-10-24T18:00:45,1,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
"43.1156093,-74.4236782",2022-10-25,72.1,58,63.9,72.1,58,63.9,60.1,87.9,0.24,100,37.5,rain,0,0,22.8,7.2,124.8,1018.6,90.5,7.8,50.6,4.4,3,10,2022-10-25T07:23:37,2022-10-25T17:59:16,0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KGFL,AT729,72522014750,APBN6,LPSN6,72518014735,KRME,KALB"
