name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.0009096,-78.1927784",2022-09-25,62.2,54.1,56.8,62.2,54.1,56.8,53.2,88.1,0.274,100,62.5,rain,0,0,24.6,14.7,221.9,1002.9,95.8,9.6,20.4,1.7,1,10,2022-09-25T07:03:23,2022-09-25T19:04:45,1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72529014768,KGVQ,72528014733,E7794,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2022-09-26,57,52.1,53.9,57,52.1,53.9,50.8,89.4,0.389,100,66.67,rain,0,0,37.4,17.4,224.6,1001.6,81.4,9.4,27.8,2.3,2,10,2022-09-26T07:04:29,2022-09-26T19:02:57,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,E0811,C4954"
"43.0009096,-78.1927784",2022-09-27,61,52.1,54.9,61,52.1,54.9,50.3,85,0.05,100,25,rain,0,0,32.9,18.2,249.8,1007.9,97.4,9.8,37.4,3.1,3,10,2022-09-27T07:05:36,2022-09-27T19:01:10,0.01,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72529014768,KGVQ,72528014733,KIAG,ABMN6,KROC,72528704724,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2022-09-28,55.1,52.1,53,55.1,52.1,53,50.1,90.2,0.009,100,25,rain,0,0,20.8,13.8,303,1022,99.9,9.5,16.8,1.4,1,10,2022-09-28T07:06:43,2022-09-28T18:59:22,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72529014768,KGVQ,72528014733,ABMN6,KIAG,KROC,72528704724,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2022-09-29,55.2,41,49.8,55.2,39.3,48.9,41.3,74.2,0.001,100,4.17,rain,0,0,20.8,8,331.3,1031.4,56.8,9.9,56.6,5,2,10,2022-09-29T07:07:50,2022-09-29T18:57:35,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2022-09-30,59,36.1,48.3,59,33.5,47.3,41.5,79.3,0,0,0,,0,0,10.5,6.9,106.5,1027.4,1.8,9.9,44.8,3.7,2,10,2022-09-30T07:08:58,2022-09-30T18:55:49,0.12,Clear,Clear conditions throughout the day.,clear-day,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2022-10-01,60.3,44.2,52.4,60.3,44.2,52.2,46.6,81.8,0,0,0,,0,0,34.4,15,52.2,1021.4,4.9,9.9,32.3,2.5,1,10,2022-10-01T07:10:05,2022-10-01T18:54:02,0.17,Clear,Clear conditions throughout the day.,clear-day,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2022-10-02,56.1,44.2,50.4,56.1,40.9,48.1,42.1,73.6,0,0,0,rain,0,0,31.4,19.6,48.2,1025.2,61.7,9.9,41.8,3.4,2,10,2022-10-02T07:11:13,2022-10-02T18:52:16,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2022-10-03,54.1,32,44.1,54.1,28.9,43.5,37.5,79,0,0,0,,0,0,15.9,10.3,39.3,1027.7,5.7,9.9,41,3.5,2,10,2022-10-03T07:12:21,2022-10-03T18:50:31,0.28,Clear,Clear conditions throughout the day.,clear-day,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
"43.0009096,-78.1927784",2022-10-04,61.1,37.2,48,61.1,34.5,46.6,39,73.9,0,0,0,,0,0,11,10.2,304.8,1022.7,1.8,9.9,66.3,5.7,2,10,2022-10-04T07:13:29,2022-10-04T18:48:45,0.34,Clear,Clear conditions throughout the day.,clear-day,"72529014768,KGVQ,72528014733,ABMN6,KROC,KBUF,KDSV,C4954"
