name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"40.6782,-73.9442",2022-09-25,73.4,60,65.2,73.4,60,65.2,51.6,62.2,0.945,100,8.33,rain,0,0,32.2,13.9,209.1,1007.2,72.2,9.4,103.6,8.9,8,10,2022-09-25T06:46:16,2022-09-25T18:47:57,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KLGA,F8726,KNYC,72503014732"
"40.6782,-73.9442",2022-09-26,74,59.4,66.7,74,59.4,66.7,51.2,60.7,0.009,100,4.17,rain,0,0,27.7,17.2,233.6,1005.3,40.7,9.9,154.9,13.3,7,10,2022-09-26T06:47:15,2022-09-26T18:46:16,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"72505394728,KLGA,F8726,KNYC,72503014732"
"40.6782,-73.9442",2022-09-27,68.6,61.5,65.3,68.6,61.5,65.3,44.7,47.5,0,0,0,,0,0,25.3,10.8,255.9,1010.8,41.9,9.9,182.5,15.5,7,10,2022-09-27T06:48:15,2022-09-27T18:44:35,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,F8726,KNYC,72503014732"
"40.6782,-73.9442",2022-09-28,69.2,54.5,62.4,69.2,54.5,62.4,45.9,55.6,0,0,0,rain,0,0,21.9,13.9,299.9,1018.8,37.3,9.9,162.8,14.2,8,10,2022-09-28T06:49:15,2022-09-28T18:42:55,0.04,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KLGA,F8726,KNYC,72503014732"
"40.6782,-73.9442",2022-09-29,65.9,54.9,60.4,65.9,54.9,60.4,43.9,55.1,0,0,0,,0,0,26.8,17.2,23.5,1026.8,31.4,9.9,177.6,15.2,7,10,2022-09-29T06:50:16,2022-09-29T18:41:14,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,F8726,KNYC,72503014732"
"40.6782,-73.9442",2022-09-30,62,53.1,58,62,53.1,58,43.7,59,0,0,0,,0,0,20.4,12.6,53.1,1025.3,52.4,9.9,100.8,8.8,5,10,2022-09-30T06:51:16,2022-09-30T18:39:34,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KLGA,F8726,KNYC,72503014732"
"40.6782,-73.9442",2022-10-01,61.5,52.1,57.7,61.5,52.1,57.7,52.4,82.6,0.552,100,58.33,rain,0,0,33.1,19.2,45.5,1017,97.4,8.3,56.3,5,3,10,2022-10-01T06:52:17,2022-10-01T18:37:55,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D9152,72505394728,KLGA,F8726,KNYC,72503014732"
"40.6782,-73.9442",2022-10-02,61.1,53,57.9,61.1,53,57.9,43.4,59.1,0.03,100,16.67,rain,0,0,38.1,21,46.9,1018.1,99.1,9.6,29.5,2.3,1,10,2022-10-02T06:53:18,2022-10-02T18:36:16,0.22,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"72505394728,KLGA,F8726,KNYC,72503014732"
"40.6782,-73.9442",2022-10-03,53,48.9,51.1,53,43.8,50.1,39.3,64.7,0.405,100,41.67,rain,0,0,31.5,20.2,41.4,1022.5,98.1,9.4,25.5,2.2,1,10,2022-10-03T06:54:19,2022-10-03T18:34:37,0.28,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KLGA,F8726,KNYC,72503014732"
"40.6782,-73.9442",2022-10-04,56.4,46.1,51.2,56.4,40.1,49,47.6,87.2,1.677,100,70.83,rain,0,0,34,16.9,31.2,1015.5,100,6.9,22.4,1.8,1,10,2022-10-04T06:55:20,2022-10-04T18:32:58,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D9152,72505394728,KLGA,F8726,KNYC,72503014732"
