name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.174966,-77.639663",2022-09-25,62.9,54.8,57.9,62.9,54.8,57.9,53.9,86.7,0.218,100,37.5,rain,0,0,15,9.4,226.6,1003.6,94.7,9.3,91.1,3.9,2,,2022-09-25T07:01:10,2022-09-25T19:02:32,1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2022-09-26,60.9,53,56.1,60.9,53,56.1,51.1,83.9,0.219,100,33.33,rain,0,0,38.1,23.5,229,1002.1,78.2,9.8,162.8,7.7,8,,2022-09-26T07:02:18,2022-09-26T19:00:43,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72529014768,KGVQ,AT880,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2022-09-27,61.8,53.6,56.8,61.8,53.6,56.8,50.7,80.1,0.019,100,4.17,rain,0,0,26.9,16.4,253.5,1008.1,93.6,9.9,245.9,11.7,9,,2022-09-27T07:03:25,2022-09-27T18:58:55,0.01,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"72529014768,KGVQ,AT880,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2022-09-28,56.1,52,54.3,56.1,52,54.3,50.6,87.4,0.26,100,41.67,rain,0,0,27.7,13.2,320.5,1022,98.6,9.2,85.6,3.7,2,,2022-09-28T07:04:32,2022-09-28T18:57:07,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2022-09-29,55.4,43.5,51.5,55.4,43.5,51.2,43.1,74.6,0.075,100,16.67,rain,0,0,23,12.9,353.2,1031.7,52.8,9.6,427.7,18.7,9,,2022-09-29T07:05:40,2022-09-29T18:55:20,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72529014768,KGVQ,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2022-09-30,60.3,38.5,49.1,60.3,33.9,47.8,42.3,78.8,0,0,0,,0,0,13.9,6.9,139,1028,51.2,9.9,280.8,12.2,5,,2022-09-30T07:06:48,2022-09-30T18:53:33,0.12,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72529014768,KGVQ,AT880,KROC,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2022-10-01,61.1,46.1,54.3,61.1,43.6,54.1,47.2,78,0,0,0,,0,0,34.4,23.8,47,1021.8,82.2,9.9,108.4,9.3,5,10,2022-10-01T07:07:56,2022-10-01T18:51:46,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,KROC,GVAN6,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2022-10-02,57.2,49.5,53,57.2,45.1,52.8,42.8,68.6,0,0,0,,0,0,35.5,25.3,52.3,1025.6,77.2,9.9,107.9,9.4,5,10,2022-10-02T07:09:04,2022-10-02T18:49:59,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,AT880,KROC,GVAN6,C0736,99800999999,72498894704,KDSV"
"43.174966,-77.639663",2022-10-03,54.9,37.3,46.8,54.9,32.3,44.9,37.2,70,0,0,0,,0,0,28.9,12.4,26.8,1028,59.2,9.9,154.8,13.4,5,10,2022-10-03T07:10:13,2022-10-03T18:48:13,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,ABMN6,KROC,C0736,99800999999,72498894704,F5947,KDSV"
"43.174966,-77.639663",2022-10-04,59.6,40.3,49,59.6,36.8,47.8,38.5,70.7,0,0,0,,0,0,10.3,9.9,320.4,1023,82.8,9.9,142.8,12.4,5,10,2022-10-04T07:11:22,2022-10-04T18:46:27,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,AT880,F2101,KROC,GVAN6,C0736,99800999999,72498894704,KDSV"
