name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"41.4024096,-74.3062522",2022-09-25,67,48.1,57,67,48.1,57,51.4,82.1,0.002,100,4.17,rain,0,0,25.1,12.8,209.7,1006.4,57.4,9.9,84.7,7.5,4,10,2022-09-25T06:47:45,2022-09-25T18:49:20,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KFWN,72503614757,74000154793,72501504789,KMGJ,KPOU,D4669"
"41.4024096,-74.3062522",2022-09-26,70.4,51.2,59,70.4,51.2,59,53.8,84.5,0.209,100,25,rain,0,0,24.9,14,221.6,1004.5,54.4,9.7,214.3,18.5,9,10,2022-09-26T06:48:47,2022-09-26T18:47:37,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KFWN,72503614757,74000154793,72501504789,KMGJ,KPOU,D4669"
"41.4024096,-74.3062522",2022-09-27,62.4,44.4,52.9,62.4,43.7,52.5,46.9,81.8,0.01,100,4.17,rain,0,0,16.3,10.7,233.1,1010.4,37,9.4,136.3,11.9,8,10,2022-09-27T06:49:49,2022-09-27T18:45:55,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KFWN,72503614757,74000154793,72514554746,72501504789,KMGJ,KMSV,KPOU,D4669"
"41.4024096,-74.3062522",2022-09-28,67.3,43,54.8,67.3,39.8,54.3,46.8,76.5,0.002,100,4.17,rain,0,0,24.6,12,291.7,1019,32.5,9.8,171.8,15,9,10,2022-09-28T06:50:51,2022-09-28T18:44:12,0.04,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"KFWN,72503614757,74000154793,72514554746,72501504789,KMGJ,KMSV,KPOU,D4669"
"41.4024096,-74.3062522",2022-09-29,63.3,40.8,52.2,63.3,40.8,52.2,43.9,75.8,0,0,0,,0,0,21.9,9.9,19.5,1027.5,10.9,9.9,208.8,18.2,8,10,2022-09-29T06:51:53,2022-09-29T18:42:30,0.07,Clear,Clear conditions throughout the day.,clear-day,"KFWN,72503614757,74000154793,72514554746,72501504789,KMGJ,KPOU,D4669"
"41.4024096,-74.3062522",2022-09-30,60.5,40.5,50.1,60.5,39.6,49.9,43.8,80.2,0,0,0,,0,0,17.2,9.8,31.8,1026.2,0.3,9.9,107.8,9.2,5,10,2022-09-30T06:52:56,2022-09-30T18:40:48,0.12,Clear,Clear conditions throughout the day.,clear-day,"KFWN,72503614757,74000154793,72514554746,72501504789,KPOU,D4669"
"41.4024096,-74.3062522",2022-10-01,61,49.5,55.5,61,45.9,55.2,46.3,72.6,0.054,100,25,rain,0,0,25.1,16.3,30.4,1018.3,87.8,9.9,66.4,5.8,3,10,2022-10-01T06:53:58,2022-10-01T18:39:06,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KFWN,72503614757,74000154793,72501504789,KPOU,D4669,TS745"
"41.4024096,-74.3062522",2022-10-02,58.9,50.7,54.6,58.9,50.7,54.6,45.5,71.3,0,0,0,rain,0,0,29.8,16.8,35.1,1019.9,70.5,9.9,47.5,3.9,2,10,2022-10-02T06:55:01,2022-10-02T18:37:25,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F2294,KFWN,72503614757,74000154793,72501504789,KPOU,D4669,TS745"
"41.4024096,-74.3062522",2022-10-03,51.7,46.7,49,51.7,40.4,45.5,36.6,62.3,0.01,100,4.17,rain,0,0,28.6,16.1,31.1,1024,27.3,9.9,46,3.9,2,10,2022-10-03T06:56:05,2022-10-03T18:35:44,0.28,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"KFWN,72503614757,74000154793,72501504789,KMGJ,KPOU,D4669,TS745"
"41.4024096,-74.3062522",2022-10-04,51.4,46.3,48.4,51.4,39.9,43.9,41.9,78.6,0.572,100,95.83,rain,0,0,34,19.5,31.7,1017.6,99.9,9.4,25,2.3,1,10,2022-10-04T06:57:08,2022-10-04T18:34:03,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"WALN4,KFWN,72503614757,74000154793,72501504789,KMGJ,KPOU,D4669,TS745"
"41.4024096,-74.3062522",2022-10-05,58.4,50.2,53.2,58.4,50.2,53.2,50.6,91,0.698,100,70.83,rain,0,0,32.2,15.4,34.4,1014.2,98.8,8.9,41.5,3.7,2,10,2022-10-05T06:58:12,2022-10-05T18:32:23,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"F2294,KFWN,72503614757,74000154793,72501504789,KMGJ,KPOU,D4669"
"41.4024096,-74.3062522",2022-10-06,70.8,44.5,54.9,70.8,44.5,54.9,49.8,85.2,0.001,100,4.17,rain,0,0,7.6,4.7,236.6,1014.6,43.6,6.1,188.3,16.4,7,10,2022-10-06T06:59:16,2022-10-06T18:30:44,0.43,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KFWN,72503614757,74000154793,72501504789,KMGJ,KPOU,F6987,D4669"
"41.4024096,-74.3062522",2022-10-07,72.4,49.9,59.2,72.4,48.8,59.2,50.5,75.1,0,0,0,rain,0,0,23.9,13,281,1014.4,38.4,9.7,148.4,12.8,7,10,2022-10-07T07:00:20,2022-10-07T18:29:05,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"F2294,KFWN,72503614757,74000154793,72501504789,KMGJ,KPOU,D4669,TS745"
