name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"40.7282,-73.7949",2022-09-25,74,61.2,65.9,74,61.2,65.9,52.8,63.5,0.513,100,12.5,rain,0,0,40.5,13.9,211.6,1007.5,80.3,9.6,33.4,2.9,2,10,2022-09-25T06:45:40,2022-09-25T18:47:21,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
"40.7282,-73.7949",2022-09-26,74.3,59.5,66.8,74.3,59.5,66.8,53.2,63.8,0.116,100,4.17,rain,0,0,29.6,19.1,228.9,1005.5,47.3,9.8,42,3.6,6,60,2022-09-26T06:46:40,2022-09-26T18:45:40,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
"40.7282,-73.7949",2022-09-27,70,62.2,66,70,62.2,66,45.3,47.4,0,0,0,,0,0,25.3,14.9,253,1010.9,57.7,9.9,42.1,3.6,6,10,2022-09-27T06:47:40,2022-09-27T18:43:59,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
"40.7282,-73.7949",2022-09-28,70.4,54.5,63.2,70.4,54.5,63.2,46.1,54.5,0,0,0,rain,0,0,23.9,13.3,298.6,1018.8,42.7,9.9,42.1,3.5,6,10,2022-09-28T06:48:40,2022-09-28T18:42:18,0.04,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
"40.7282,-73.7949",2022-09-29,66.3,55.7,61,66.3,55.7,61,44.2,54.3,0,0,0,,0,0,26.2,16.7,16.5,1026.7,55.8,9.9,47.6,4.1,6,10,2022-09-29T06:49:41,2022-09-29T18:40:38,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
"40.7282,-73.7949",2022-09-30,62.8,53.5,58.4,62.8,53.5,58.4,45,61.1,0,0,0,,0,0,21.9,13.9,42.3,1025.3,83.1,9.9,39.1,3.3,2,10,2022-09-30T06:50:41,2022-09-30T18:38:58,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
"40.7282,-73.7949",2022-10-01,61.1,52.8,57.9,61.1,52.8,57.9,52.9,83.8,0.72,100,58.33,rain,0,0,33.6,21.7,40,1016.8,99.1,8.2,17.9,1.4,1,10,2022-10-01T06:51:42,2022-10-01T18:37:18,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
"40.7282,-73.7949",2022-10-02,61,52.2,57.4,61,52.2,57.4,44.8,63.4,0.105,100,29.17,rain,0,0,38.6,26.3,41,1018,99.3,9.2,14.1,1.1,1,10,2022-10-02T06:52:43,2022-10-02T18:35:39,0.22,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
"40.7282,-73.7949",2022-10-03,52.1,49.2,51,52.1,43.5,50.1,40.6,67.9,0.501,100,62.5,rain,0,0,32.9,21.7,32.4,1022.3,99.4,9.6,11.4,0.9,0,10,2022-10-03T06:53:44,2022-10-03T18:34:00,0.28,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
"40.7282,-73.7949",2022-10-04,56.3,46.5,51.4,56.3,40.7,49.1,48.3,89.3,1.566,100,75,rain,0,0,33.3,21,25.7,1015.3,100,7,12.5,0.9,0,10,2022-10-04T06:54:46,2022-10-04T18:32:21,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D9152,72505394728,0826W,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
