name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.7104206,-73.5138454",2022-09-25,64.2,47.4,56.1,64.2,47.4,56,50.3,81.8,0.027,100,16.67,rain,0,0,25.9,11,146.5,1006,78.3,9.8,53.7,4.4,4,10,2022-09-25T06:44:38,2022-09-25T18:46:05,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"AV597,72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-09-26,69.7,52.2,59.7,69.7,52.2,59.7,53.5,81.3,0.205,100,12.5,rain,0,0,33.4,9.8,154.6,1003.4,73.1,9.1,97.6,8.3,4,10,2022-09-26T06:45:44,2022-09-26T18:44:18,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"AV597,72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-09-27,65.3,47.3,55.5,65.3,45.7,55.2,48.7,79.2,0.047,100,16.67,rain,0,0,17.7,9.4,192.8,1009.2,57.1,9.8,126.7,11,7,10,2022-09-27T06:46:50,2022-09-27T18:42:31,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"AV597,72616654781,72518014735,F7290,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-09-28,64.6,53.4,56.8,64.6,53.4,56.8,51.3,82.4,0.056,100,20.83,rain,0,0,20.8,7.1,274.5,1018.3,91.1,9.8,94.9,8.3,7,10,2022-09-28T06:47:56,2022-09-28T18:40:45,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"AV597,72616654781,72518014735,F7290,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-09-29,59.2,43.2,52.6,59.2,43.2,52.6,44.8,75.6,0,0,0,rain,0,0,20.1,9.2,328.3,1028.4,69.7,9.9,111.5,9.6,6,10,2022-09-29T06:49:02,2022-09-29T18:38:59,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AV597,72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-09-30,59.9,38.5,48.1,59.9,38.5,48,41.3,79.7,0,0,0,,0,0,15.4,5.8,337.3,1027.3,42.9,8.9,139.7,11.9,8,10,2022-09-30T06:50:08,2022-09-30T18:37:13,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AV597,72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-01,66,43.5,53.3,66,43.5,53.2,45.3,76.8,0,0,0,rain,0,0,21.9,7.4,356.3,1020.5,70.4,9.4,117.8,10.2,8,10,2022-10-01T06:51:15,2022-10-01T18:35:27,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AV597,72616654781,72518014735,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-02,57.3,44.7,51.7,57.3,41.2,50.9,42.5,71.3,0,0,0,,0,0,28,10.5,2.6,1022.9,63.2,9.9,84.2,7.2,7,10,2022-10-02T06:52:22,2022-10-02T18:33:42,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AV597,72616654781,72518014735,F7290,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-03,55.4,40.8,47.8,55.4,37.1,46.7,36,65.4,0,0,0,,0,0,18.1,8.7,348.5,1026.2,41.8,9.9,104.6,9,5,10,2022-10-03T06:53:29,2022-10-03T18:31:57,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AV597,72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-04,57.3,44.5,50.7,57.3,42.2,50.4,41,70.7,0.037,100,12.5,rain,0,0,20.6,7.9,346.3,1020.7,85.7,9.9,57,4.8,3,10,2022-10-04T06:54:37,2022-10-04T18:30:13,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-05,60.3,49.3,53.3,60.3,47.6,53.2,49.2,86.1,0.231,100,54.17,rain,0,0,19.7,6.7,290.3,1016.1,87.1,8.6,47.8,4.2,2,10,2022-10-05T06:55:44,2022-10-05T18:28:29,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72616654781,72518014735,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-06,73.5,43.3,55.9,73.5,43.3,55.9,48.9,80.3,0,0,0,rain,0,0,11,4.7,356.5,1014.8,40.8,7.7,177.5,15.2,7,10,2022-10-06T06:56:52,2022-10-06T18:26:46,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,F7290,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-07,69.6,48.3,57,69.6,44.8,56.7,49.4,77.1,0.01,100,8.33,rain,0,0,27.7,16.2,269.8,1014.6,61.5,9.7,126,10.9,7,10,2022-10-07T06:58:00,2022-10-07T18:25:03,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72616654781,72518014735,F7290,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-08,52.2,38.4,46.1,52.2,37,43.6,35.5,67.3,0,0,0,rain,0,0,24.2,12.6,279.4,1020.2,57.3,9.9,130.6,11.3,7,10,2022-10-08T06:59:09,2022-10-08T18:23:20,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,F7290,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-09,58.9,33.6,46.8,58.9,30.5,46,36.2,69.2,0,0,0,,0,0,23.7,11.3,248.7,1018.8,58.3,9.8,161.3,13.9,8,10,2022-10-09T07:00:18,2022-10-09T18:21:38,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,F7290,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-10,58.3,40.6,49.8,58.3,40.6,49.6,43.1,78.5,0.019,100,12.5,rain,0,0,15,6.2,33.9,1021.6,79.5,9.8,70.8,6.1,4,10,2022-10-10T07:01:27,2022-10-10T18:19:57,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72616654781,72518014735,F7290,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-11,65.1,35.6,48.1,65.1,35.6,48.1,40.4,78,0,0,0,,0,0,18.1,7.6,218.7,1025.2,32.7,7.2,172.7,14.9,6,10,2022-10-11T07:02:36,2022-10-11T18:18:17,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72616654781,72518014735,F7290,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-12,70.1,40,55,70.1,40,55,41.3,64,0,0,0,,0,0,29.3,15,159.2,1021.4,26.7,9.5,162.3,14,7,10,2022-10-12T07:03:46,2022-10-12T18:16:37,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F8113,72616654781,72518014735,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-13,69.5,52.8,61.4,69.5,52.8,61.4,52,71.6,0.87,100,25,rain,0,0,37.1,22.3,145.1,1011.5,74.8,8.9,57.9,5,4,10,2022-10-13T07:04:56,2022-10-13T18:14:58,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72616654781,72518014735,F7290,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-14,62.4,42.4,52.8,62.4,42.4,52.8,45.9,79.1,0.491,100,41.67,rain,0,0,15.4,8.3,302.9,1012.6,65,8.1,107.2,9.4,6,10,2022-10-14T07:06:06,2022-10-14T18:13:19,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72616654781,72518014735,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-15,68.5,37.3,52.2,68.5,37.3,52.2,40.6,70.2,0,0,0,rain,0,0,28.1,14.2,159.7,1015.6,35.1,7.8,146,12.6,6,10,2022-10-15T07:07:16,2022-10-15T18:11:42,0.65,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"F8113,72616654781,72518014735,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-16,60.4,38,48.7,60.4,38,48.6,38.2,69.8,0,0,0,rain,0,0,10.1,5.2,346.8,1014.3,31.1,9.5,134.1,11.7,7,10,2022-10-16T07:08:27,2022-10-16T18:10:05,0.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72616654781,72518014735,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-17,54.5,37.2,46.9,54.5,37.2,46.7,43.3,87.3,0.445,100,37.5,rain,0,0,25.3,9.4,114.7,1006.2,76.7,7.4,44.5,3.8,3,10,2022-10-17T07:09:39,2022-10-17T18:08:29,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72616654781,72518014735,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-18,55.2,40.9,48.4,55.2,40.9,48,38.5,70.5,0.007,100,8.33,rain,0,0,17.4,5.8,275,1003,73.9,8.8,110.9,9.6,7,10,2022-10-18T07:10:50,2022-10-18T18:06:54,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72616654781,72518014735,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-19,50.8,31.8,42,50.8,31.8,40,30.7,66.7,0,0,0,,0,0,27.1,12.1,179.8,1008,62.6,9.3,144,12.5,7,10,2022-10-19T07:12:02,2022-10-19T18:05:20,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-20,54.7,36.7,44.9,54.7,31.8,42.6,28.9,56.4,0,0,0,,0,0,32.7,14.6,180.8,1012.1,21.6,9.9,156.2,13.4,6,10,2022-10-20T07:13:14,2022-10-20T18:03:47,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-21,59.8,30.8,44.5,59.8,30.8,44.3,28.2,57.4,0,0,0,,0,0,19.5,8.8,130.8,1019,16,9.9,155.8,13.4,6,10,2022-10-21T07:14:27,2022-10-21T18:02:14,0.92,Clear,Clear conditions throughout the day.,clear-day,"72616654781,72518014735,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-22,69.7,35.9,50.7,69.7,35.9,50.5,33.6,55.7,0,0,0,,0,0,20.6,7.4,112.7,1023.5,8.1,9.9,148.4,12.8,6,10,2022-10-22T07:15:40,2022-10-22T18:00:43,0.96,Clear,Clear conditions throughout the day.,clear-day,"72616654781,72518014735,F4085,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-23,63.1,37,50.2,63.1,37,50.2,38.3,65.9,0,0,0,,0,0,13.6,4.4,31.7,1026.9,43.2,9.9,83,7.2,5,10,2022-10-23T07:16:53,2022-10-23T17:59:13,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-24,61.3,55.4,58.4,61.3,55.4,58.4,50.2,74.7,0.179,100,33.33,rain,0,0,20.4,7.1,30.9,1023.4,98.4,8.7,70.9,6.2,7,10,2022-10-24T07:18:06,2022-10-24T17:57:44,1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-25,72.5,59.6,65.3,72.5,59.6,65.3,58.9,80.3,0.179,100,37.5,rain,0,0,26.8,9.8,107.6,1019.2,88.9,8.2,79.1,6.9,6,10,2022-10-25T07:19:20,2022-10-25T17:56:17,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-26,76.1,60.5,67,76.1,60.5,67,58.6,75.8,0.02,100,8.33,rain,0,0,21.9,11.1,156.3,1009.4,75.1,9,105.5,9.1,6,10,2022-10-26T07:20:34,2022-10-26T17:54:50,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
"42.7104206,-73.5138454",2022-10-27,63.1,41.3,54.3,63.1,39.4,53.8,40.1,59.9,0,0,0,rain,0,0,31.6,18.1,288.2,1019.4,46.7,9.9,136.8,11.7,6,10,2022-10-27T07:21:48,2022-10-27T17:53:25,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72616654781,72518014735,72507554768,KDDH,KALB,KAQW,C8192"
