name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"41.1547851,-74.0247721",2022-09-25,70.4,53,60.8,70.4,53,60.8,52.2,73.5,0.091,100,8.33,rain,0,0,23.5,9.5,205.4,1007.2,62.4,9.5,61.3,5.3,4,10,2022-09-25T06:46:36,2022-09-25T18:48:14,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72503794745,72502594741,KTEB,KHPN,KCDW,F7184,C2073,72409454743"
"41.1547851,-74.0247721",2022-09-26,73.7,56.1,63.4,73.7,56.1,63.4,53.2,72.1,0.031,100,4.17,rain,0,0,24.2,14.1,247.2,1005.2,28.5,9.9,90.5,7.9,6,10,2022-09-26T06:47:38,2022-09-26T18:46:32,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72503794745,72502594741,KTEB,KHPN,KCDW,F7184,C2073,72409454743"
"41.1547851,-74.0247721",2022-09-27,67.8,54,60.6,67.8,54,60.6,47.2,62.4,0,0,0,rain,0,0,24.2,13.2,277,1010.8,28.9,9.9,132.1,11.4,8,10,2022-09-27T06:48:39,2022-09-27T18:44:50,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72503794745,72502594741,KTEB,KHPN,KCDW,F7184,C2073,72409454743"
"41.1547851,-74.0247721",2022-09-28,68.5,49.3,59.6,68.5,47.8,59.5,47.1,64.4,0,0,0,rain,0,0,21.7,13.1,307.2,1018.9,32.6,9.9,69.9,6,7,10,2022-09-28T06:49:40,2022-09-28T18:43:08,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72503794745,72502594741,KTEB,KHPN,KCDW,F7184,C2073,72409454743"
"41.1547851,-74.0247721",2022-09-29,66,50.2,58.1,66,50.2,58.1,44.2,61,0,0,0,,0,0,26.6,13,8.2,1027,6.7,9.9,81.5,6.9,6,10,2022-09-29T06:50:42,2022-09-29T18:41:26,0.07,Clear,Clear conditions throughout the day.,clear-day,"72503794745,72502594741,KTEB,KHPN,KCDW,F7184,72409454743"
"41.1547851,-74.0247721",2022-09-30,61.6,48,55.2,61.6,45.1,54.8,43.5,65.2,0,0,0,,0,0,15.2,8.1,40.9,1025.6,10.3,9.9,64.1,5.4,3,10,2022-09-30T06:51:44,2022-09-30T18:39:45,0.12,Clear,Clear conditions throughout the day.,clear-day,"72503794745,72502594741,KTEB,KHPN,KCDW,F7184,72409454743"
"41.1547851,-74.0247721",2022-10-01,59.8,51.9,56.4,59.8,51.9,56.4,50.9,82.1,0.317,100,62.5,rain,0,0,27.1,10.4,35.8,1017.3,92.9,7.5,45.6,3.9,2,10,2022-10-01T06:52:46,2022-10-01T18:38:04,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72503794745,72502594741,KTEB,KHPN,KCDW,F7184,C2073,72409454743"
"41.1547851,-74.0247721",2022-10-02,60.4,51.1,57.3,60.4,51.1,57.3,40.9,54.7,0,0,0,rain,0,0,29,14.6,40.4,1018.6,93.4,9.9,48.1,4.2,2,10,2022-10-02T06:53:48,2022-10-02T18:36:23,0.22,Overcast,Cloudy skies throughout the day.,cloudy,"72503794745,72502594741,KTEB,KHPN,KCDW,F7184,72409454743"
"41.1547851,-74.0247721",2022-10-03,51.9,47.5,50.4,51.9,43.8,49.5,37.2,61.5,0.134,100,25,rain,0,0,28.2,12.8,32.5,1023,74.4,9.8,24.9,2.2,1,10,2022-10-03T06:54:51,2022-10-03T18:34:43,0.28,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72503794745,72502594741,KTEB,KHPN,KCDW,F7184,C2073,72409454743"
"41.1547851,-74.0247721",2022-10-04,53.3,45,49.6,53.3,39.8,47.1,46.4,88.6,0.864,100,75,rain,0,0,32.2,12.2,20.4,1016.1,100,5.4,25.8,2.2,1,10,2022-10-04T06:55:53,2022-10-04T18:33:03,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72503794745,72502594741,KTEB,KHPN,KCDW,F7184,C2073,RAWN4,72409454743"
