name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.591294,-74.4381718",2022-09-25,65.3,49.1,57.5,65.3,49.1,57.5,51.2,80,0,0,0,rain,0,0,26.8,11,162.4,1005.7,89.7,10,72.8,6.1,4,10,2022-09-25T06:48:20,2022-09-25T18:49:47,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74499404741,APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2022-09-26,69.8,55.1,61.1,69.8,55.1,61.1,54.8,80.8,0.228,100,4.17,rain,0,0,24.8,9.6,167.8,1003.1,80,9.7,107.8,9.4,6,10,2022-09-26T06:49:25,2022-09-26T18:48:00,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"74499404741,APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2022-09-27,66.8,50.3,57.5,66.8,50.3,57.5,49.5,75.5,0,0,0,rain,0,0,19.9,10.4,179.1,1009,67.4,10.1,108.8,9.4,4,10,2022-09-27T06:50:31,2022-09-27T18:46:14,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74499404741,APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2022-09-28,67.6,53.1,58.3,67.6,53.1,58.3,51.6,79.3,0.059,100,8.33,rain,0,0,27.3,9.1,274.6,1018.3,94.4,10.1,87.7,7.4,4,10,2022-09-28T06:51:36,2022-09-28T18:44:28,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"AT729,74499404741,APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2022-09-29,61.5,47.5,54.6,61.5,47.5,54.6,45.9,73.3,0,0,0,rain,0,0,22.6,8.5,342.7,1028.2,72.8,10.4,170.5,14.8,10,10,2022-09-29T06:52:42,2022-09-29T18:42:42,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74499404741,APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2022-09-30,61.3,41.9,50.5,61.3,40.9,50.1,43.2,77.8,0,0,0,,0,0,7.2,5.5,343.1,1027.1,69.8,9.9,173.6,15,7,10,2022-09-30T06:53:48,2022-09-30T18:40:57,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74499404741,APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2022-10-01,66,46.1,55,66,43.9,54.6,46.3,74.6,0,0,0,,0,0,28.6,11,344.7,1020.1,89.3,9.5,99,8.4,6,10,2022-10-01T06:54:55,2022-10-01T18:39:11,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2022-10-02,57.7,48.1,53,57.7,43.9,52,42.3,67.2,0,0,0,rain,0,0,35.1,12.2,341.8,1022.8,85.6,9.9,73.3,6.2,3,10,2022-10-02T06:56:01,2022-10-02T18:37:27,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AT729,APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2022-10-03,55.6,42.1,49.3,55.6,40,48.2,37.4,64.4,0,0,0,,0,0,22.4,8.4,338.2,1026,98.2,9.9,120.1,10.2,5,10,2022-10-03T06:57:08,2022-10-03T18:35:42,0.28,Overcast,Cloudy skies throughout the day.,cloudy,"AT729,APBN6,99799199999,72518014735,D7831,KALB"
"42.591294,-74.4381718",2022-10-04,57.9,47.4,51.8,57.9,45.8,51.3,41.7,68.9,0.012,100,4.17,rain,0,0,19.2,7.3,341.4,1020.3,95.3,9.9,73,6.3,3,10,2022-10-04T06:58:15,2022-10-04T18:33:58,0.34,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"AT729,APBN6,99799199999,72518014735,D7831,KALB"
