name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.2667252,-77.3855253",2022-09-25,64.3,53,57.5,64.3,53,57.5,53.3,86,0.25,100,41.67,rain,0,0,31.1,17.8,224.7,1004.2,84.4,9.1,77,6.7,7,10,2022-09-25T07:00:07,2022-09-25T19:01:35,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-09-26,62.7,51.7,56.6,62.7,51.7,56.6,50,79.6,0.119,100,54.17,rain,0,0,28.9,13.3,221.2,1003.4,67.3,9.7,96.9,8.3,7,10,2022-09-26T07:01:11,2022-09-26T18:59:49,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-09-27,60.8,52.5,56.1,60.8,52.5,56.1,48.2,74.9,0.026,100,20.83,rain,0,0,31.5,12.5,228.6,1009.2,84.3,9.8,74.5,6.4,4,10,2022-09-27T07:02:16,2022-09-27T18:58:04,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"GMFN6,72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-09-28,58.4,51.2,54.2,58.4,51.2,54.2,49.8,85.1,0.13,100,54.17,rain,0,0,28.2,11.2,312.9,1021.6,97.6,9.4,74.8,6.5,6,10,2022-09-28T07:03:20,2022-09-28T18:56:19,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-09-29,59.1,40.4,51.4,59.1,40.4,51.4,43.8,77.2,0,0,0,rain,0,0,19.7,9.5,339.6,1030.9,61.3,9.9,109.8,9.4,5,10,2022-09-29T07:04:25,2022-09-29T18:54:34,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-09-30,60.2,38.5,47.6,60.2,34.8,46.5,41.6,81.6,0,0,0,freezingrain,0,0,8.7,5.9,150.5,1027.6,27.7,7.8,104.7,9.1,5,10,2022-09-30T07:05:30,2022-09-30T18:52:49,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-10-01,66.4,46.1,54.5,66.4,46.1,54.5,45.6,74.2,0,0,0,,0,0,35.6,12.2,8.2,1020.6,18.7,9.9,142,12.2,7,10,2022-10-01T07:06:36,2022-10-01T18:51:05,0.17,Clear,Clear conditions throughout the day.,clear-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-10-02,58,44.3,52.7,58,44.3,52.5,43.6,71.3,0,0,0,,0,0,30,14.4,3.3,1023.7,27.9,9.9,115.3,10.1,6,10,2022-10-02T07:07:41,2022-10-02T18:49:21,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-10-03,56.6,34.9,45.3,56.6,31.9,45.1,37.7,76.6,0,0,0,,0,0,14.3,9.2,348.1,1027.3,1.1,9.8,93,8.2,4,10,2022-10-03T07:08:47,2022-10-03T18:47:38,0.28,Clear,Clear conditions throughout the day.,clear-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-10-04,56.2,43.5,49,56.2,41.6,48.7,42.8,79.8,0.039,100,20.83,rain,0,0,19.9,6.9,332.4,1022.3,51.3,9.9,52.5,4.5,2,10,2022-10-04T07:09:53,2022-10-04T18:45:55,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"GMFN6,72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-10-05,70.4,40.4,54.1,70.4,38.7,53.9,42.3,68.8,0,0,0,,0,0,16.1,8.9,345,1018,11.8,9.9,132.3,11.3,5,10,2022-10-05T07:11:00,2022-10-05T18:44:12,0.39,Clear,Clear conditions throughout the day.,clear-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-10-06,73.8,45.5,58.5,73.8,43.5,57.9,49.7,75.3,0,0,0,,0,0,16.1,5.5,291.8,1015.9,22.2,9.8,99.9,8.6,4,10,2022-10-06T07:12:06,2022-10-06T18:42:30,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E4781,72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-10-07,59.6,46.4,53.9,59.6,43.8,53.3,45.3,73.3,0.008,100,8.33,rain,0,0,27.1,11.2,300.3,1017.2,81.7,9.7,54.7,4.6,3,10,2022-10-07T07:13:13,2022-10-07T18:40:49,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-10-08,53,40.1,45.7,53,37.7,43.6,34.1,65.3,0,0,0,rain,0,0,25.9,10.1,284.7,1022.9,78.6,9.9,87.7,7.6,5,10,2022-10-08T07:14:20,2022-10-08T18:39:08,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-10-09,58.7,37.6,49.3,58.7,35,48.1,37.9,66,0,0,0,,0,0,26.6,13.2,261,1019.7,65.8,9.9,59.3,5.3,3,10,2022-10-09T07:15:28,2022-10-09T18:37:27,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-10-10,60.6,41.4,51.5,60.6,41.4,50.9,41.9,70.8,0,0,0,rain,0,0,20.1,10.8,311.1,1022.1,60,9.8,128.8,11,6,10,2022-10-10T07:16:35,2022-10-10T18:35:47,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-10-11,72.7,38.4,52.9,72.7,35.1,51.4,42.1,71.5,0,0,0,rain,0,0,25.5,11.5,330.4,1024.8,35.8,8.2,104.6,9.1,5,10,2022-10-11T07:17:43,2022-10-11T18:34:08,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72519454778,KELM,72515614748,72498894704,KPEO,F6197,KDSV"
"42.2667252,-77.3855253",2022-10-12,68,40.1,56.2,68,37.6,55.3,44.4,67,0,0,0,rain,0,0,39.4,12.4,160,1018.2,6.9,9.2,91,7.8,4,10,2022-10-12T07:18:52,2022-10-12T18:32:29,0.54,Clear,Clear conditions throughout the day.,clear-day,"72519454778,KELM,TT284,72515614748,72498894704,KPEO,F6197,KDSV"
