name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"40.943554,-72.6922184",2022-09-25,72.6,45.9,62.4,72.6,45.9,62.4,55.3,78.6,0.039,100,4.17,rain,0,0,30.8,15,200.8,1008,47.5,9.9,101.3,8.8,4,30,2022-09-25T06:41:16,2022-09-25T18:42:55,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-09-26,71.9,57.8,65.3,71.9,57.8,65.3,57.8,78,0.177,100,12.5,rain,0,0,35,19,217.3,1006,18,9.8,143.6,12.4,7,10,2022-09-26T06:42:16,2022-09-26T18:41:14,0,Rain,Clear conditions throughout the day with early morning rain.,rain,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-09-27,70,48.1,62,70,48.1,62,50,66.7,0,0,0,,0,0,31.1,15.7,232.8,1011,30.1,9.9,167.1,14.3,8,10,2022-09-27T06:43:17,2022-09-27T18:39:32,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-09-28,69.7,42.5,56.3,69.7,42.5,56.3,46.9,73.4,0,0,0,,0,0,21.7,12.8,291.6,1018.6,12.9,9.9,170.2,14.7,8,10,2022-09-28T06:44:18,2022-09-28T18:37:51,0.04,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-09-29,65.8,52.4,59.2,65.8,52.4,59.2,48.1,67.9,0,0,0,,0,0,23.9,14.9,0.9,1026.4,15.1,9.9,151.2,13,8,10,2022-09-29T06:45:19,2022-09-29T18:36:10,0.07,Clear,Clear conditions throughout the day.,clear-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-09-30,64,51.8,58.1,64,51.8,58.1,48.7,70.9,0,0,0,,0,0,21.7,9.1,37.6,1025.6,33.6,9.9,109.4,9.4,5,10,2022-09-30T06:46:20,2022-09-30T18:34:29,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-01,59.3,52.8,57.2,59.3,52.8,57.2,53.9,89,1.168,100,50,rain,0,0,31.5,17,35,1017.2,93.2,7.4,28.7,2.3,1,10,2022-10-01T06:47:22,2022-10-01T18:32:49,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-02,60.3,51.3,57.1,60.3,51.3,57.1,47,69.5,0.013,100,16.67,rain,0,0,41.4,24.9,38.8,1018.2,100,9.7,46.3,4,2,10,2022-10-02T06:48:23,2022-10-02T18:31:09,0.22,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"TT587,KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV,D4559"
"40.943554,-72.6922184",2022-10-03,53.4,49.7,52.1,53.4,44,51.4,43.2,71.9,0.192,100,45.83,rain,0,0,38.5,20.6,32.8,1021.8,99.1,9.6,22.3,2,1,10,2022-10-03T06:49:25,2022-10-03T18:29:29,0.28,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
"40.943554,-72.6922184",2022-10-04,58.1,51,55,58.1,51,55,52.3,90.9,0.387,100,87.5,rain,0,0,34.9,19.8,34.1,1014.8,100,7.6,20,1.7,1,10,2022-10-04T06:50:27,2022-10-04T18:27:50,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KFOK,72209864761,KISP,E4141,72501654790,74486514719,KHWV"
