name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.4532811,-76.4737116",2022-09-25,62.9,50,55.7,62.9,50,55.7,52.3,88.8,0.171,100,16.67,rain,0,0,31.1,14.9,169,1004.6,92.1,9.4,72.6,6.3,7,10,2022-09-25T06:56:28,2022-09-25T18:57:55,1,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KITH,72515594761,KELM,TT284,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2022-09-26,64.1,52,56.7,64.1,52,56.7,50.2,79.2,0.16,100,8.33,rain,0,0,37.8,21.8,220.2,1003.6,74,9.9,159,13.6,9,10,2022-09-26T06:57:33,2022-09-26T18:56:09,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KITH,E8599,72515594761,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2022-09-27,59,48.9,53.7,59,45.3,53.5,47.9,80.9,0.044,100,12.5,rain,0,0,27.7,13.8,208.5,1009.2,84.3,9.9,69.3,5.8,4,10,2022-09-27T06:58:38,2022-09-27T18:54:23,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KITH,72515594761,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2022-09-28,56.9,50,52.7,56.9,47.7,52.5,49.9,90.7,0.258,100,25,rain,0,0,19,13.8,294.8,1021,99,9.4,73.8,6.3,6,10,2022-09-28T06:59:44,2022-09-28T18:52:38,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KITH,72515594761,C3806,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2022-09-29,56.9,41,49.8,56.9,37.9,48.6,44,82.3,0,0,0,rain,0,0,19.7,13.8,340.8,1030.4,61.1,9.9,128.1,11.1,8,10,2022-09-29T07:00:49,2022-09-29T18:50:52,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KITH,F1825,72515594761,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2022-09-30,56.9,34.1,45.3,56.9,31,44.4,42.1,89.5,0,0,0,rain,0,0,7.2,10.2,336,1027.6,2.5,9.7,114.8,9.9,5,10,2022-09-30T07:01:55,2022-09-30T18:49:07,0.12,Clear,Clear conditions throughout the day.,clear-day,"KITH,72515594761,KELM,TT284,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2022-10-01,65.9,45,53.4,65.9,43.2,53.1,46.2,79.1,0,0,0,,0,0,18.1,12.7,349.7,1020.3,30.5,9.9,134.6,11.7,9,10,2022-10-01T07:03:01,2022-10-01T18:47:23,0.17,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KITH,72515594761,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2022-10-02,60.1,42.2,50.7,60.1,40.7,49.9,44.3,80.1,0,0,0,,0,0,23,10.3,3.3,1023,17.5,9.9,105.4,9.1,5,10,2022-10-02T07:04:07,2022-10-02T18:45:38,0.22,Clear,Clear conditions throughout the day.,clear-day,"KITH,E8599,72515594761,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2022-10-03,55.1,36,44.9,55.1,36,44.6,38.9,81.5,0,0,0,rain,0,0,12.8,10.3,324,1026.7,5.3,9.8,101.9,8.6,5,10,2022-10-03T07:05:13,2022-10-03T18:43:54,0.28,Clear,Clear conditions throughout the day.,clear-day,"KITH,72515594761,E5134,KELM,72515614748,72515004725,KBGM,F6085"
"42.4532811,-76.4737116",2022-10-04,53.9,43.1,47.9,53.9,40.1,46.8,43.2,84.3,0.07,100,20.83,rain,0,0,16.8,10.3,327.9,1021.8,75.3,9.9,53.3,4.7,2,10,2022-10-04T07:06:20,2022-10-04T18:42:11,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KITH,72515594761,KELM,TT284,72515614748,72515004725,KBGM,F6085"
