name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.5551053,-73.8381388",2022-09-25,57.1,42.4,51.6,57.1,41.8,51.4,49,91.1,0.127,100,41.67,rain,0,0,20.6,8.6,57,1005.8,64.1,8.7,37.1,3.4,2,10,2022-09-25T06:45:59,2022-09-25T18:47:19,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SRON6,KGFL,72522014750,KRUT,72516594737,72102899999,K6B0"
"43.5551053,-73.8381388",2022-09-26,66.5,51.5,57.9,66.5,51.5,57.9,53.8,87.1,0.137,100,25,rain,0,0,24.2,11.6,183.8,1002.6,63.7,8.7,79.7,7,3,10,2022-09-26T06:47:07,2022-09-26T18:45:29,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SRON6,KGFL,72522014750,KRUT,72516594737,72102899999,K6B0"
"43.5551053,-73.8381388",2022-09-27,61.3,42.4,52.3,61.3,40,51.9,48.3,87,0.054,100,29.17,rain,0,0,21.1,11.8,186.8,1008.6,70.9,7.9,69.4,5.9,3,10,2022-09-27T06:48:15,2022-09-27T18:43:40,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SRON6,KGFL,72522014750,KRUT,72516594737,72102899999,K6B0,99999900425"
"43.5551053,-73.8381388",2022-09-28,62.6,50.5,55.1,62.6,50.5,55.1,51.6,88.4,0.154,100,37.5,rain,0,0,21.9,7.7,266.6,1018,79.4,9.5,132,11.4,5,10,2022-09-28T06:49:24,2022-09-28T18:41:51,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SRON6,KGFL,72522014750,KRUT,72516594737,72102899999,K6B0"
"43.5551053,-73.8381388",2022-09-29,57,38.3,50.7,57,38.3,50.3,43.3,77.2,0.002,100,4.17,rain,0,0,20.1,10.1,21.6,1028.7,57.9,9.9,167.3,14.4,7,10,2022-09-29T06:50:33,2022-09-29T18:40:02,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SRON6,KGFL,72522014750,KRUT,72516594737,72102899999,K6B0,99999900425"
"43.5551053,-73.8381388",2022-09-30,60.2,32.9,45.1,60.2,32.9,45.1,38.6,80.9,0,0,0,,0,0,7.2,3.8,30.4,1027.5,2.6,8.5,187.3,16.2,7,10,2022-09-30T06:51:42,2022-09-30T18:38:14,0.12,Clear,Clear conditions throughout the day.,clear-day,"SRON6,KGFL,72522014750,KRUT,72516594737,72102899999,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-01,65.7,39.6,51.3,65.7,39.6,51.1,43.8,78.5,0,0,0,,0,0,29.3,10.1,19.4,1021.1,0,9.4,172.4,14.9,6,10,2022-10-01T06:52:51,2022-10-01T18:36:26,0.17,Clear,Clear conditions throughout the day.,clear-day,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-02,57.2,40,49.1,57.2,39.7,47.1,39.3,70,0,0,0,,0,0,33.3,15.4,28.5,1024.4,18.7,9.9,193.2,16.8,7,10,2022-10-02T06:54:01,2022-10-02T18:34:38,0.22,Clear,Clear conditions throughout the day.,clear-day,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-03,56.1,32.5,43.8,56.1,32.5,43.4,34.7,73.1,0,0,0,,0,0,12.1,10.5,24.4,1027,0,9.9,202.1,17.6,7,10,2022-10-03T06:55:10,2022-10-03T18:32:51,0.28,Clear,Clear conditions throughout the day.,clear-day,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-04,59.3,40.1,49.1,59.3,39.3,48.6,41.1,75.7,0.009,100,4.17,rain,0,0,11.6,10.8,11.8,1021.5,36.1,9.9,113,9.8,4,10,2022-10-04T06:56:20,2022-10-04T18:31:04,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-05,64.2,44.5,53.5,64.2,44.5,53.2,44.9,75.1,0,0,0,,0,0,13,9.2,15.6,1016.4,44.9,9.7,166,14.1,6,10,2022-10-05T06:57:30,2022-10-05T18:29:17,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-06,70.6,36.9,52.5,70.6,36.9,52.5,46.4,82.1,0,0,0,,0,0,8.9,7.3,127.6,1014.5,0.7,9.3,203,17.5,6,10,2022-10-06T06:58:41,2022-10-06T18:27:31,0.43,Clear,Clear conditions throughout the day.,clear-day,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0"
"43.5551053,-73.8381388",2022-10-07,65.8,48.3,55.7,65.8,43.8,55.5,49.1,80,0.103,100,25,rain,0,0,22.1,12.2,256,1014,53.3,8.4,121.6,10.5,4,10,2022-10-07T06:59:52,2022-10-07T18:25:46,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,E5855,99999900425"
"43.5551053,-73.8381388",2022-10-08,54,36.7,45.4,54,34.3,43,33.7,65.4,0.002,100,4.17,rain,0,0,23.5,11,290.2,1019.9,41.3,9.9,211.6,18.3,7,10,2022-10-08T07:01:03,2022-10-08T18:24:01,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-09,56,36.7,45,56,32.6,42.8,37,75.1,0,0,0,rain,0,0,23,12.3,211.2,1018,65.6,9.8,76.1,6.4,2,10,2022-10-09T07:02:14,2022-10-09T18:22:16,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AV693,SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-10,52.3,36.8,44.2,52.3,36.8,43.8,42.1,92.2,0.193,100,37.5,rain,0,0,11.4,5.8,177,1021.6,88.8,8,115.5,10.3,6,10,2022-10-10T07:03:26,2022-10-10T18:20:33,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-11,61.6,35.2,45.6,61.6,35.2,45.2,40.8,85.1,0,0,0,,0,0,12.8,7,184.1,1025,49.4,6.1,188.4,16.1,7,10,2022-10-11T07:04:38,2022-10-11T18:18:49,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,E5855,99999900425"
"43.5551053,-73.8381388",2022-10-12,67.6,36.8,52.3,67.6,36.8,52.3,42.7,73.1,0,0,0,,0,0,28.2,13.3,171.4,1020.8,13.4,8.5,156.4,13.7,6,10,2022-10-12T07:05:50,2022-10-12T18:17:07,0.54,Clear,Clear conditions throughout the day.,clear-day,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,E5855,99999900425"
"43.5551053,-73.8381388",2022-10-13,65.2,46.7,56.9,65.2,45.7,56.8,52.2,84.9,0.867,100,41.67,rain,0,0,29.5,12.5,167.3,1011,71.9,8.4,41.5,3.3,0,10,2022-10-13T07:07:02,2022-10-13T18:15:25,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SRON6,KGFL,72522014750,LPSN6,AT188,KRUT,72516594737,K6B0,E5855,99999900425"
"43.5551053,-73.8381388",2022-10-14,61.9,40.9,52.2,61.9,40.9,52.1,47.8,86.4,0.463,100,45.83,rain,0,0,9.6,8.5,38.4,1012.4,61.9,8,171.6,14.7,6,10,2022-10-14T07:08:15,2022-10-14T18:13:44,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-15,66.1,35.8,50,66.1,35.8,49.8,41.6,76.3,0,0,0,,0,0,28.9,16.1,184,1015.2,30.2,6.7,160.3,14.2,6,10,2022-10-15T07:09:29,2022-10-15T18:12:04,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,E5855,99999900425"
"43.5551053,-73.8381388",2022-10-16,57.6,34.8,46.6,57.6,34.6,46.4,38.6,76.1,0,0,0,,0,0,10.3,7.8,62.2,1014.3,11.8,8.8,71.1,6.3,3,10,2022-10-16T07:10:42,2022-10-16T18:10:25,0.7,Clear,Clear conditions throughout the day.,clear-day,"AV693,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,E5855,99999900425"
"43.5551053,-73.8381388",2022-10-17,50.3,32.6,42.9,50.3,32.6,42.5,40.6,91.6,0.59,100,41.67,rain,0,0,22.8,6.7,37.5,1006.2,70.4,6.8,45.6,3.7,1,10,2022-10-17T07:11:56,2022-10-17T18:08:46,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"AV693,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,E5855,99999900425"
"43.5551053,-73.8381388",2022-10-18,54.9,34.7,46.7,54.9,33.6,46.1,40.3,81.3,0.017,100,12.5,rain,0,0,18.1,8.3,209.1,1002.7,60,7,132.9,11.5,6,10,2022-10-18T07:13:10,2022-10-18T18:07:09,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-19,48.6,27.6,38.9,44.2,27.6,36.5,31.1,75.9,0,0,0,,0,0,21.7,12.1,191.5,1007.5,51.2,8.8,96.8,8.3,4,10,2022-10-19T07:14:24,2022-10-19T18:05:32,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SRON6,KGFL,72522014750,LPSN6,AT188,KRUT,72516594737,K6B0,E5855,99999900425"
"43.5551053,-73.8381388",2022-10-20,54.1,36.5,43.8,54.1,31.1,40.5,29.5,60.3,0,0,0,,0,0,24.2,15.3,211.5,1011.3,41.9,9.9,74.1,6.4,3,10,2022-10-20T07:15:39,2022-10-20T18:03:56,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SRON6,KGFL,72522014750,LPSN6,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-21,56.8,27.6,40.7,56.8,27.2,40.1,28.7,66.5,0,0,0,,0,0,19.2,12.8,182.8,1018.7,1.2,9.9,177.9,15.4,6,10,2022-10-21T07:16:54,2022-10-21T18:02:22,0.92,Clear,Clear conditions throughout the day.,clear-day,"SRON6,KGFL,72522014750,LPSN6,AT188,KRUT,72516594737,K6B0,E5855,99999900425"
"43.5551053,-73.8381388",2022-10-22,67.1,29.6,45.2,67.1,29.6,45.2,33.7,68,0,0,0,,0,0,14.5,8.3,136,1023.2,0,9.9,170.1,15.2,6,10,2022-10-22T07:18:10,2022-10-22T18:00:48,0.96,Clear,Clear conditions throughout the day.,clear-day,"SRON6,KGFL,72522014750,LPSN6,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-23,63.6,33.9,48.3,63.6,33.9,48.2,39.5,74,0,0,0,,0,0,6.3,4.3,39.2,1026.9,2.5,9.5,143.8,12.7,5,10,2022-10-23T07:19:25,2022-10-23T17:59:15,0.98,Clear,Clear conditions throughout the day.,clear-day,"SRON6,KGFL,72522014750,LPSN6,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-24,60.8,51.6,56.1,60.8,51.6,56.1,51.4,84.3,0.023,100,8.33,rain,0,0,20.8,8.8,0.4,1023.7,91.1,9.9,93.8,8.4,3,10,2022-10-24T07:20:41,2022-10-24T17:57:44,1,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,99999900425"
"43.5551053,-73.8381388",2022-10-25,71.6,57.4,63.5,71.6,57.4,63.5,60.2,89.5,0.193,100,37.5,rain,0,0,21.3,9.1,139.6,1018.9,89.9,9.1,69.6,6.3,1,10,2022-10-25T07:21:58,2022-10-25T17:56:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SRON6,KGFL,72522014750,AT188,KRUT,72516594737,K6B0,99999900425"
