name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.3123766,-73.4394282",2022-09-25,57.5,41.6,51.6,57.5,41.6,51.4,48.7,90.2,0.109,100,37.5,rain,0,0,23,9.9,127.4,1005.8,66.8,8.6,71.1,6.1,3,10,2022-09-25T06:44:22,2022-09-25T18:45:44,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2022-09-26,66.9,51.1,57.9,66.9,51.1,57.9,53.5,86.1,0.114,100,16.67,rain,0,0,32.2,12,191.4,1002.7,66,8.7,87.8,7.8,5,10,2022-09-26T06:45:30,2022-09-26T18:43:55,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2022-09-27,62.1,40.7,51.9,62.1,38.6,51.4,48,87.3,0.058,100,20.83,rain,0,0,21.9,12.2,196.5,1008.7,75.5,7.6,111.2,9.7,8,10,2022-09-27T06:46:37,2022-09-27T18:42:07,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2022-09-28,63.3,51.7,55.3,63.3,51.7,55.3,51.5,87.3,0.165,100,37.5,rain,0,0,18.6,8,232.4,1018,84.4,9.5,98.4,8.4,8,10,2022-09-28T06:47:45,2022-09-28T18:40:19,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,E5855,KDDH"
"43.3123766,-73.4394282",2022-09-29,57.6,38.3,51.2,57.6,38.3,50.8,43.5,76.2,0.001,100,4.17,rain,0,0,22.6,9.7,23.7,1028.7,61.7,9.9,160.7,13.9,8,10,2022-09-29T06:48:53,2022-09-29T18:38:31,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2022-09-30,60.2,32.9,45,60.2,32.9,45,38.3,80.4,0,0,0,,0,0,12.1,4.3,26.5,1027.5,3.1,8.3,176.3,15.2,7,10,2022-09-30T06:50:02,2022-09-30T18:36:43,0.12,Clear,Clear conditions throughout the day.,clear-day,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2022-10-01,66,39.3,51.4,66,39.3,51.3,43.4,77.1,0,0,0,,0,0,34.2,10.3,20.2,1021,1.2,9.4,162.4,14,8,10,2022-10-01T06:51:10,2022-10-01T18:34:56,0.17,Clear,Clear conditions throughout the day.,clear-day,"AV693,KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2022-10-02,57.8,40.3,49.9,57.8,38.3,47.9,39.5,68.5,0,0,0,,0,0,34,15.2,32.9,1024.2,20.2,9.9,162,13.9,8,10,2022-10-02T06:52:19,2022-10-02T18:33:09,0.22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,DBYV1,E5855,KDDH"
"43.3123766,-73.4394282",2022-10-03,56.1,33.6,44.3,56.1,32.9,43.9,34.4,71.2,0,0,0,,0,0,18.1,10.6,28.4,1027,0,9.9,151,13.1,5,10,2022-10-03T06:53:28,2022-10-03T18:31:22,0.28,Clear,Clear conditions throughout the day.,clear-day,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2022-10-04,59.2,40.4,49.6,59.2,40.2,49.1,40.7,73.3,0.015,100,12.5,rain,0,0,18.3,12.2,13.3,1021.4,43.6,9.9,121.2,10.5,9,10,2022-10-04T06:54:37,2022-10-04T18:29:36,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,LSC06,KDDH"
"43.3123766,-73.4394282",2022-10-05,64,44.4,53.7,64,44.4,53.6,44.9,74.2,0.001,100,4.17,rain,0,0,17,9.5,9.6,1016.3,49.8,9.7,99.8,8.4,4,10,2022-10-05T06:55:46,2022-10-05T18:27:50,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,E5855,KDDH"
"43.3123766,-73.4394282",2022-10-06,70.5,36.5,52.3,70.5,36.5,52.3,46.3,82.2,0,0,0,,0,0,11.4,7.1,132.1,1014.6,1.6,9.1,191.6,16.3,7,10,2022-10-06T06:56:56,2022-10-06T18:26:05,0.43,Clear,Clear conditions throughout the day.,clear-day,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2022-10-07,65.9,48.6,55.6,65.9,44.3,55.4,48.8,79.4,0.093,100,8.33,rain,0,0,21,12.4,254.3,1014.1,51.2,8.3,115.6,10.1,7,10,2022-10-07T06:58:06,2022-10-07T18:24:20,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,E5855,KDDH"
"43.3123766,-73.4394282",2022-10-08,54.5,36.6,45.8,54.5,34.1,43.3,33.7,64.6,0.001,100,4.17,rain,0,0,19.9,11.5,284,1020,37.8,9.9,227.1,19.6,9,10,2022-10-08T06:59:17,2022-10-08T18:22:36,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,E5855,KDDH"
"43.3123766,-73.4394282",2022-10-09,56.7,37,44.9,56.7,31,42.8,36.6,74.5,0,0,0,,0,0,22.9,13.4,211.3,1018.1,61.5,9.9,143.2,12.3,8,10,2022-10-09T07:00:27,2022-10-09T18:20:52,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,E9444,KDDH"
"43.3123766,-73.4394282",2022-10-10,52.8,36.5,44.6,52.8,36.5,44.2,42.2,91.1,0.211,100,25,rain,0,0,11,6.6,201.5,1021.7,90.3,7.8,36.2,3.1,3,10,2022-10-10T07:01:38,2022-10-10T18:19:09,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,KDDH"
"43.3123766,-73.4394282",2022-10-11,62.1,35.2,45.5,62.1,35.2,45.1,40.7,85,0,0,0,,0,0,15,7.5,173.6,1025.1,51.2,5.9,150.9,13,7,10,2022-10-11T07:02:49,2022-10-11T18:17:27,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,D4722,72522014750,KRUT,72516594737,72616654781,E5855,KDDH"
