name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.202,-77.0104",2022-09-25,62.2,53.8,57.1,62.2,53.8,57.1,53.4,87.2,0.115,100,33.33,rain,0,0,21.9,8.4,215.4,1003.6,90.5,9.2,43.9,3.8,2,10,2022-09-25T06:58:39,2022-09-25T19:00:01,1,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72529014768,72519454778,72514654773,F2101,KROC,KFZY,GVAN6,KPEO"
"43.202,-77.0104",2022-09-26,61.1,53.4,56.6,61.1,53.4,56.6,51.2,82.7,0.14,100,58.33,rain,0,0,37.3,17.8,220.2,1002,72.7,9.5,71.3,6.1,4,10,2022-09-26T06:59:47,2022-09-26T18:58:12,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72529014768,72519454778,72514654773,F2101,KROC,KFZY,GVAN6,KPEO"
"43.202,-77.0104",2022-09-27,60.2,54.1,56.3,60.2,54.1,56.3,50,79.7,0.119,100,54.17,rain,0,0,28.6,13.9,237.2,1007.7,87.7,9,111.8,9.8,7,10,2022-09-27T07:00:54,2022-09-27T18:56:24,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72529014768,72519454778,72514654773,F2101,KROC,KFZY,GVAN6,KPEO"
"43.202,-77.0104",2022-09-28,56.6,51.5,54.3,56.6,51.5,54.3,50.5,87.2,0.48,100,66.67,rain,0,0,21.3,11.6,313.3,1021.1,99.3,8.9,54.8,4.6,2,10,2022-09-28T07:02:02,2022-09-28T18:54:36,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72529014768,72519454778,72514654773,F2101,KROC,KFZY,GVAN6,KPEO"
"43.202,-77.0104",2022-09-29,56.3,40.9,50.6,56.3,40.9,50.4,43.3,77.4,0.08,100,29.17,rain,0,0,20.8,10.7,349,1031,58.9,9.6,184.5,15.9,7,10,2022-09-29T07:03:09,2022-09-29T18:52:49,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72529014768,72519454778,72514654773,F2101,KROC,KFZY,KPEO"
"43.202,-77.0104",2022-09-30,60.2,38.1,47.8,60.2,38.1,47.8,41.6,81,0,0,0,,0,0,9.2,5.9,356.1,1027.6,25.9,9.1,151.1,13.2,5,10,2022-09-30T07:04:17,2022-09-30T18:51:01,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,72519454778,72514654773,F2101,KROC,KFZY,GVAN6,KPEO"
"43.202,-77.0104",2022-10-01,64.2,45.2,53.9,64.2,45.2,53.9,46,76.4,0,0,0,,0,0,34.4,16.1,29.6,1021.1,32.5,9.9,128.8,11.2,7,10,2022-10-01T07:05:25,2022-10-01T18:49:14,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,72519454778,72514654773,F2101,KROC,KFZY,GVAN6,KPEO"
"43.202,-77.0104",2022-10-02,56.9,45.7,52.2,56.9,42.7,50.9,41.6,67.4,0,0,0,,0,0,34.4,16.1,28,1024.6,29.6,9.9,163,14.1,6,10,2022-10-02T07:06:34,2022-10-02T18:47:28,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,72519454778,72514654773,F2101,KROC,KFZY,GVAN6,KPEO"
"43.202,-77.0104",2022-10-03,56,34,45.2,56,34,45,37.1,75.2,0,0,0,,0,0,20.8,9.3,357.2,1027.3,20.7,9.8,139.5,12.1,5,10,2022-10-03T07:07:42,2022-10-03T18:45:41,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,72519454778,72514654773,F2101,KROC,KFZY,KPEO"
"43.202,-77.0104",2022-10-04,59.6,40.7,49.1,59.6,40.7,49.1,39.9,73,0,0,0,,0,0,18.3,8.9,341.5,1022.3,39.2,9.9,94,8.1,3,10,2022-10-04T07:08:51,2022-10-04T18:43:55,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,72519454778,72514654773,F2101,KROC,KFZY,GVAN6,KPEO"
