name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"41.1527698,-73.745912",2022-09-25,70.2,53.6,61.4,70.2,53.6,61.4,52.7,73.4,0.131,100,8.33,rain,0,0,25.1,11.2,186.9,1007,56.2,9.5,65.2,5.7,3,10,2022-09-25T06:45:29,2022-09-25T18:47:07,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDXR,72503794745,72502594741,KTEB,72508654734,KHPN,E5627"
"41.1527698,-73.745912",2022-09-26,73.2,56.8,63.1,73.2,56.8,63.1,53.6,73.4,0.044,100,4.17,rain,0,0,25.3,11.5,242.7,1004.9,36.2,9.9,164.2,14.2,7,10,2022-09-26T06:46:31,2022-09-26T18:45:25,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDXR,72503794745,72502594741,KTEB,72508654734,KHPN,E5627"
"41.1527698,-73.745912",2022-09-27,68,54.8,60.4,68,54.8,60.4,47.1,62.4,0,0,0,,0,0,22.8,11.8,268.2,1010.5,27.3,9.9,139.5,12.2,8,10,2022-09-27T06:47:32,2022-09-27T18:43:43,0.01,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDXR,72503794745,72502594741,KTEB,72508654734,KHPN,E5627"
"41.1527698,-73.745912",2022-09-28,67,49.7,59.1,67,46.5,58.9,47.8,67.2,0,0,0,rain,0,0,22.4,14.1,302.6,1018.5,28.3,9.9,152.9,13.2,8,10,2022-09-28T06:48:33,2022-09-28T18:42:01,0.04,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDXR,72503794745,72502594741,KTEB,72508654734,KHPN,E5627"
"41.1527698,-73.745912",2022-09-29,64.3,51.1,57.3,64.3,51.1,57.3,44.2,62.1,0,0,0,,0,0,29.5,16.6,356.9,1026.7,11.6,9.9,160.1,13.9,7,10,2022-09-29T06:49:35,2022-09-29T18:40:19,0.07,Clear,Clear conditions throughout the day.,clear-day,"KDXR,72503794745,72502594741,KTEB,72508654734,KHPN,E5627"
"41.1527698,-73.745912",2022-09-30,61.2,47.3,54.6,61.2,43.8,53.9,43.8,67,0,0,0,,0,0,19,8.1,33.5,1025.6,12.6,9.9,94.3,8.2,4,10,2022-09-30T06:50:37,2022-09-30T18:38:38,0.12,Clear,Clear conditions throughout the day.,clear-day,"KDXR,72503794745,72502594741,KTEB,F8740,72508654734,KHPN,E5627"
"41.1527698,-73.745912",2022-10-01,60.3,51.4,56.5,60.3,51.4,56.5,50.4,80.5,0.236,100,37.5,rain,0,0,32.9,11,33,1017.4,92.5,7.3,47.6,4.1,3,10,2022-10-01T06:51:39,2022-10-01T18:36:57,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDXR,72503794745,72502594741,KTEB,72508654734,KHPN,E5627"
"41.1527698,-73.745912",2022-10-02,60.2,49.2,56.4,60.2,44.6,56.2,40.7,56.2,0,0,0,rain,0,0,34,16.9,35,1018.8,90.9,9.9,49,4.2,3,10,2022-10-02T06:52:41,2022-10-02T18:35:17,0.22,Overcast,Cloudy skies throughout the day.,cloudy,"KDXR,72503794745,72502594741,KTEB,F8740,72508654734,KHPN,E5627"
"41.1527698,-73.745912",2022-10-03,51.5,47.3,49.9,51.5,42.6,48.5,37.6,63.2,0.018,100,25,rain,0,0,30.9,14.5,23.9,1023,63.6,9.8,27.4,2.4,1,10,2022-10-03T06:53:44,2022-10-03T18:33:36,0.28,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KDXR,72503794745,72502594741,KTEB,72508654734,KHPN,E5627,TS745"
"41.1527698,-73.745912",2022-10-04,53.7,46.4,50.5,53.7,40.2,48.3,46.5,86.3,0.149,100,79.17,rain,0,0,34.2,14.5,22.9,1016.1,100,5.5,21.7,1.9,1,10,2022-10-04T06:54:46,2022-10-04T18:31:57,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDXR,72503794745,72502594741,KTEB,F8740,72508654734,KHPN,E5627,TS745"
