name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.6431,-77.1485",2022-09-25,64.2,52.2,57.5,64.2,52.2,57.5,53.2,85.7,0.137,100,41.67,rain,0,0,25.1,13.5,205.7,1003.9,81.1,9.5,78.7,6.8,4,10,2022-09-25T06:59:11,2022-09-25T19:00:36,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F3795,72519454778,KELM,TT284,72515614748,GVAN6,KPEO,72498894704,KDSV"
"42.6431,-77.1485",2022-09-26,62.1,53,56.9,62.1,53,56.9,50.4,79.6,0.192,100,41.67,rain,0,0,26.4,17.9,219.8,1002.7,55.9,9.6,128,11.1,10,10,2022-09-26T07:00:16,2022-09-26T18:58:50,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"F3795,72519454778,KELM,72515614748,GVAN6,KPEO,72498894704,KDSV"
"42.6431,-77.1485",2022-09-27,63.9,53.1,56.8,63.9,53.1,56.8,48.1,73,0,0,0,rain,0,0,27.7,16.8,227.5,1008.4,73.6,9.9,82.2,7.1,3,10,2022-09-27T07:01:22,2022-09-27T18:57:03,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F3795,72519454778,KELM,72515614748,GVAN6,KPEO,72498894704,KDSV"
"42.6431,-77.1485",2022-09-28,57.8,51.2,54,57.8,51.2,54,49.5,84.8,0.066,100,33.33,rain,0,0,23.5,10,290.4,1021.2,99,9.3,75.9,6.5,8,10,2022-09-28T07:02:28,2022-09-28T18:55:17,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"F3795,72519454778,KELM,72515614748,GVAN6,KPEO,72498894704,KDSV"
"42.6431,-77.1485",2022-09-29,57.9,39,51,57.9,39,50.9,43,75.9,0,0,0,rain,0,0,19.7,12.5,331.1,1030.8,58.3,9.8,135.2,11.8,7,10,2022-09-29T07:03:34,2022-09-29T18:53:31,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F3795,72519454778,KELM,72515614748,GVAN6,KPEO,72498894704,KDSV"
"42.6431,-77.1485",2022-09-30,59.1,38.1,48.4,59.1,35.9,47.9,42.2,81.5,0,0,0,rain,0,0,8.7,7.9,121.6,1027.5,33.7,7.1,167.2,14.3,7,10,2022-09-30T07:04:40,2022-09-30T18:51:45,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"F3795,72519454778,KELM,72515614748,GVAN6,KPEO,72498894704,KDSV"
"42.6431,-77.1485",2022-10-01,65.9,45,54.3,65.9,45,54.3,45,73.1,0,0,0,,0,0,33.6,10.3,10.4,1020.7,15.2,9.9,141.1,12.1,7,10,2022-10-01T07:05:47,2022-10-01T18:50:00,0.17,Clear,Clear conditions throughout the day.,clear-day,"F3795,72519454778,KELM,72515614748,GVAN6,KPEO,72498894704,KDSV"
"42.6431,-77.1485",2022-10-02,58.9,44.9,52,58.9,44.9,51.4,42.2,69.8,0,0,0,,0,0,25.3,11.6,358.5,1023.9,11.1,9.9,164.7,14.3,7,10,2022-10-02T07:06:53,2022-10-02T18:48:15,0.22,Clear,Clear conditions throughout the day.,clear-day,"F3795,72519454778,KELM,72515614748,E6819,GVAN6,KPEO,72498894704,KDSV"
"42.6431,-77.1485",2022-10-03,56.9,34.1,45.3,56.9,30.1,44.7,36.6,74.1,0,0,0,,0,0,14.8,9.2,338.3,1027.1,2.6,9.7,141.3,12.2,5,10,2022-10-03T07:08:00,2022-10-03T18:46:30,0.28,Clear,Clear conditions throughout the day.,clear-day,"F3795,72519454778,KELM,72515614748,GVAN6,KPEO,72498894704,KDSV"
"42.6431,-77.1485",2022-10-04,57.7,42.2,50.3,57.7,42.2,49.9,41,71.2,0.002,100,8.33,rain,0,0,18.3,11.1,344.5,1022.1,49.6,9.9,79.6,7,4,10,2022-10-04T07:09:08,2022-10-04T18:44:46,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"F3795,72519454778,KELM,72515614748,GVAN6,KPEO,72498894704,KDSV"
"42.6431,-77.1485",2022-10-05,70.1,40.9,55.9,70.1,39.2,55.5,40.6,61.3,0,0,0,,0,0,14.1,9.1,328,1017.7,12,9.9,194.4,16.9,7,10,2022-10-05T07:10:15,2022-10-05T18:43:03,0.39,Clear,Clear conditions throughout the day.,clear-day,"F3795,72519454778,KELM,72515614748,GVAN6,KPEO,72498894704,KDSV"
"42.6431,-77.1485",2022-10-06,73.2,49.8,60.2,73.2,47,60,51.2,75,0,0,0,,0,0,10.3,7.9,221.7,1015.4,11.1,9.9,137.6,11.6,6,10,2022-10-06T07:11:23,2022-10-06T18:41:19,0.43,Clear,Clear conditions throughout the day.,clear-day,"F3795,72519454778,KELM,72515614748,GVAN6,KPEO,72498894704,KDSV"
