Week Ending Date,County,Season,FIPS,Count
2020-02-15,DELAWARE,2019-2020,36025,48
2020-02-15,STEUBEN,2019-2020,36101,151
2020-02-15,SCHOHARIE,2019-2020,36095,24
2020-02-15,ST LAWRENCE,2019-2020,36089,307
2020-02-15,CORTLAND,2019-2020,36023,129
2020-02-15,COLUMBIA,2019-2020,36021,17
2020-02-15,WAYNE,2019-2020,36117,92
2020-02-15,MONROE,2019-2020,36055,598
2020-02-15,ONEIDA,2019-2020,36065,340
2020-02-15,ULSTER,2019-2020,36111,66
2020-02-15,ESSEX,2019-2020,36031,19
2020-02-15,NASSAU,2019-2020,36059,538
2020-02-15,RICHMOND,2019-2020,36085,186
2020-02-15,HAMILTON,2019-2020,36041,4
2020-02-15,WYOMING,2019-2020,36121,64
2020-02-15,ALLEGANY,2019-2020,36003,54
2020-02-15,ERIE,2019-2020,36029,484
2020-02-15,WASHINGTON,2019-2020,36115,26
2020-02-15,KINGS,2019-2020,36047,1556
2020-02-15,GREENE,2019-2020,36039,14
2020-02-15,CATTARAUGUS,2019-2020,36009,70
2020-02-15,CAYUGA,2019-2020,36011,54
2020-02-15,FULTON,2019-2020,36035,66
2020-02-15,ROCKLAND,2019-2020,36087,146
2020-02-15,ONONDAGA,2019-2020,36067,414
2020-02-15,DUTCHESS,2019-2020,36027,130
2020-02-15,LEWIS,2019-2020,36049,28
2020-02-15,CLINTON,2019-2020,36019,57
2020-02-15,GENESEE,2019-2020,36037,93
2020-02-15,TIOGA,2019-2020,36107,104
2020-02-15,ORLEANS,2019-2020,36073,38
2020-02-15,SCHENECTADY,2019-2020,36093,142
2020-02-15,OTSEGO,2019-2020,36077,61
2020-02-15,WARREN,2019-2020,36113,20
2020-02-15,CHEMUNG,2019-2020,36015,151
2020-02-15,BRONX,2019-2020,36005,1532
2020-02-15,PUTNAM,2019-2020,36079,36
2020-02-15,TOMPKINS,2019-2020,36109,227
2020-02-15,CHAUTAUQUA,2019-2020,36013,93
2020-02-15,MADISON,2019-2020,36053,53
2020-02-15,SULLIVAN,2019-2020,36105,47
2020-02-15,ALBANY,2019-2020,36001,198
2020-02-15,NIAGARA,2019-2020,36063,85
2020-02-15,JEFFERSON,2019-2020,36045,280
2020-02-15,ONTARIO,2019-2020,36069,119
2020-02-15,OSWEGO,2019-2020,36075,104
2020-02-15,FRANKLIN,2019-2020,36033,73
2020-02-15,ORANGE,2019-2020,36071,237
2020-02-15,BROOME,2019-2020,36007,257
2020-02-15,CHENANGO,2019-2020,36017,75
2020-02-15,SENECA,2019-2020,36099,17
2020-02-15,LIVINGSTON,2019-2020,36051,94
2020-02-15,YATES,2019-2020,36123,19
2020-02-15,NEW YORK,2019-2020,36061,799
2020-02-15,SUFFOLK,2019-2020,36103,628
2020-02-15,SARATOGA,2019-2020,36091,332
2020-02-15,WESTCHESTER,2019-2020,36119,636
2020-02-15,HERKIMER,2019-2020,36043,70
2020-02-15,SCHUYLER,2019-2020,36097,42
2020-02-15,RENSSELAER,2019-2020,36083,90
2020-02-15,QUEENS,2019-2020,36081,1746
2020-02-15,MONTGOMERY,2019-2020,36057,83
2020-02-22,MADISON,2019-2020,36053,49
2020-02-22,TOMPKINS,2019-2020,36109,138
2020-02-22,COLUMBIA,2019-2020,36021,8
2020-02-22,JEFFERSON,2019-2020,36045,255
2020-02-22,PUTNAM,2019-2020,36079,30
2020-02-22,SULLIVAN,2019-2020,36105,45
2020-02-22,BRONX,2019-2020,36005,1108
2020-02-22,YATES,2019-2020,36123,8
2020-02-22,ERIE,2019-2020,36029,395
2020-02-22,CHAUTAUQUA,2019-2020,36013,73
2020-02-22,SENECA,2019-2020,36099,18
2020-02-22,HERKIMER,2019-2020,36043,56
2020-02-22,CLINTON,2019-2020,36019,62
2020-02-22,WESTCHESTER,2019-2020,36119,431
2020-02-22,NASSAU,2019-2020,36059,327
2020-02-22,DUTCHESS,2019-2020,36027,88
2020-02-22,LEWIS,2019-2020,36049,40
2020-02-22,RENSSELAER,2019-2020,36083,110
2020-02-22,ORLEANS,2019-2020,36073,23
2020-02-22,ROCKLAND,2019-2020,36087,113
2020-02-22,ONONDAGA,2019-2020,36067,500
2020-02-22,CHEMUNG,2019-2020,36015,102
2020-02-22,DELAWARE,2019-2020,36025,30
2020-02-22,ONTARIO,2019-2020,36069,63
2020-02-22,LIVINGSTON,2019-2020,36051,43
2020-02-22,TIOGA,2019-2020,36107,65
2020-02-22,ORANGE,2019-2020,36071,223
2020-02-22,OTSEGO,2019-2020,36077,36
2020-02-22,OSWEGO,2019-2020,36075,98
2020-02-22,SUFFOLK,2019-2020,36103,375
2020-02-22,SCHENECTADY,2019-2020,36093,305
2020-02-22,GENESEE,2019-2020,36037,67
2020-02-22,WARREN,2019-2020,36113,22
2020-02-22,ALBANY,2019-2020,36001,246
2020-02-22,NIAGARA,2019-2020,36063,50
2020-02-22,ULSTER,2019-2020,36111,51
2020-02-22,ESSEX,2019-2020,36031,25
2020-02-22,FULTON,2019-2020,36035,49
2020-02-22,NEW YORK,2019-2020,36061,495
2020-02-22,BROOME,2019-2020,36007,199
2020-02-22,RICHMOND,2019-2020,36085,111
2020-02-22,HAMILTON,2019-2020,36041,3
2020-02-22,WYOMING,2019-2020,36121,62
2020-02-22,CHENANGO,2019-2020,36017,70
2020-02-22,ALLEGANY,2019-2020,36003,50
2020-02-22,ONEIDA,2019-2020,36065,355
2020-02-22,WASHINGTON,2019-2020,36115,28
2020-02-22,SCHUYLER,2019-2020,36097,20
2020-02-22,KINGS,2019-2020,36047,863
2020-02-22,CATTARAUGUS,2019-2020,36009,47
2020-02-22,MONROE,2019-2020,36055,460
2020-02-22,QUEENS,2019-2020,36081,967
2020-02-22,WAYNE,2019-2020,36117,67
2020-02-22,SCHOHARIE,2019-2020,36095,20
2020-02-22,FRANKLIN,2019-2020,36033,47
2020-02-22,SARATOGA,2019-2020,36091,284
2020-02-22,GREENE,2019-2020,36039,20
2020-02-22,STEUBEN,2019-2020,36101,85
2020-02-22,MONTGOMERY,2019-2020,36057,61
2020-02-22,CORTLAND,2019-2020,36023,75
2020-02-22,CAYUGA,2019-2020,36011,75
2020-02-22,ST LAWRENCE,2019-2020,36089,327
2020-02-29,JEFFERSON,2019-2020,36045,202
2020-02-29,COLUMBIA,2019-2020,36021,5
2020-02-29,MADISON,2019-2020,36053,45
2020-02-29,ONEIDA,2019-2020,36065,178
2020-02-29,RENSSELAER,2019-2020,36083,103
2020-02-29,SCHUYLER,2019-2020,36097,21
2020-02-29,NIAGARA,2019-2020,36063,51
2020-02-29,ALLEGANY,2019-2020,36003,41
2020-02-29,ONONDAGA,2019-2020,36067,414
2020-02-29,STEUBEN,2019-2020,36101,95
2020-02-29,ULSTER,2019-2020,36111,36
2020-02-29,QUEENS,2019-2020,36081,756
2020-02-29,WYOMING,2019-2020,36121,31
2020-02-29,LEWIS,2019-2020,36049,29
2020-02-29,ALBANY,2019-2020,36001,139
2020-02-29,TIOGA,2019-2020,36107,75
2020-02-29,LIVINGSTON,2019-2020,36051,30
2020-02-29,CHAUTAUQUA,2019-2020,36013,41
2020-02-29,BRONX,2019-2020,36005,740
2020-02-29,MONTGOMERY,2019-2020,36057,40
2020-02-29,OTSEGO,2019-2020,36077,29
2020-02-29,CATTARAUGUS,2019-2020,36009,38
2020-02-29,CHEMUNG,2019-2020,36015,123
2020-02-29,WAYNE,2019-2020,36117,51
2020-02-29,OSWEGO,2019-2020,36075,89
2020-02-29,DUTCHESS,2019-2020,36027,61
2020-02-29,NEW YORK,2019-2020,36061,406
2020-02-29,ERIE,2019-2020,36029,312
2020-02-29,FRANKLIN,2019-2020,36033,51
2020-02-29,GREENE,2019-2020,36039,13
2020-02-29,SARATOGA,2019-2020,36091,364
2020-02-29,YATES,2019-2020,36123,8
2020-02-29,SULLIVAN,2019-2020,36105,25
2020-02-29,DELAWARE,2019-2020,36025,19
2020-02-29,BROOME,2019-2020,36007,227
2020-02-29,CHENANGO,2019-2020,36017,36
2020-02-29,CAYUGA,2019-2020,36011,65
2020-02-29,TOMPKINS,2019-2020,36109,100
2020-02-29,SCHOHARIE,2019-2020,36095,12
2020-02-29,RICHMOND,2019-2020,36085,92
